"","Date","concentrations.TP","Flow"
"192",2013-05-21,0.35,4740
"193",2013-05-30,0.047,546
"194",2013-06-06,0.04,762
"195",2013-06-12,0.04,222
"196",2013-06-25,0.036,34
"197",2013-07-08,0.036,5.2
"198",2013-07-19,0.026,4.7
"199",2013-07-31,0.04,19
"200",2013-08-07,0.044,14
"201",2013-08-08,0.35,384
"202",2013-08-13,0.106,1690
"203",2013-08-20,0.03,141
"204",2013-08-28,0.034,8.7
"205",2013-09-04,0.04,2.2
"206",2013-09-11,0.04,0.01
"207",2013-09-18,0.032,0.04
"208",2013-09-20,0.297,156
"209",2013-10-02,0.032,0.61
"210",2013-10-05,0.066,367
"211",2013-10-24,0.026,54
"212",2013-10-30,0.03,38
"213",2013-11-06,0.068,677
"214",2013-11-13,0.038,170
"215",2013-11-22,0.268,410
"216",2013-12-02,0.018,87
"217",2013-12-12,0.022,99
"218",2013-12-18,0.044,629
"219",2013-12-21,0.352,5300
"220",2014-01-09,0.042,374
"221",2014-01-10,0.114,1050
"222",2014-01-22,0.016,290
"223",2014-01-28,0.028,162
"224",2014-02-06,0.026,140
"225",2014-02-12,0.016,108
"226",2014-02-21,0.016,155
"227",2014-02-25,0.02,129
"228",2014-03-07,0.056,630
"229",2014-03-11,0.048,415
"230",2014-03-16,0.192,9150
"231",2014-03-27,0.039,489
"232",2014-04-03,0.052,793
"233",2014-04-04,0.12,3180
"234",2014-04-07,0.206,3820
"235",2014-04-14,0.05,1400
"236",2014-04-22,0.026,521
"237",2014-04-28,0.028,442
"238",2014-05-09,0.048,644
"239",2014-05-13,0.102,1740
"240",2014-05-20,0.038,539
"241",2014-05-28,0.028,193
"242",2014-06-02,0.04,193
"243",2014-06-10,0.04,296
"244",2014-07-01,0.034,117
"245",2014-07-09,0.042,32
"246",2014-07-23,0.038,38
"247",2014-07-29,0.042,12
"248",2014-08-05,0.036,15
"249",2014-08-12,0.113,303
"250",2014-08-19,0.048,49
"251",2014-08-27,0.03,13
"252",2014-09-02,0.122,274
"253",2014-09-10,0.035,21
"254",2014-09-17,0.032,51
"255",2014-09-18,0.088,192
"256",2014-09-24,0.038,29
"257",2014-10-01,0.034,20
"258",2014-10-03,0.048,65
"259",2014-10-08,0.032,19
"260",2014-10-10,0.474,909
"261",2014-10-13,0.576,5050
"262",2014-10-22,0.036,255
"263",2014-10-29,0.026,96
"264",2014-11-04,0.07,292
"265",2014-11-12,0.042,176
"266",2014-11-19,0.03,62
"267",2014-12-05,0.024,181
