"","TN.Date","TN.Flow","TN.concentrations.TN","lnC","lnQ","Flow"
"3",2009-08-05,69,0.56,-0.579818495252942,4.23410650459726,69
"5",2009-08-19,7.4,0.45,-0.798507696217772,2.00148000021012,7.4
"6",2009-08-20,245,0.68,-0.385662480811985,5.50125821054473,245
"8",2009-09-02,64,0.39,-0.941608539858445,4.15888308335967,64
"9",2009-09-05,249,0.47,-0.755022584278033,5.51745289646471,249
"12",2009-09-16,723,0.38,-0.967584026261706,6.58340922215876,723
"13",2009-09-17,1020,0.43,-0.843970070294529,6.92755790627832,1020
"14",2009-09-22,10200,0.97,-0.0304592074847086,9.23014299927236,10200
"17",2009-10-09,22800,0.84,-0.174353387144778,10.0345158149425,22800
"18",2009-10-14,2950,0.69,-0.371063681390832,7.98956044933387,2950
"20",2009-10-28,1550,0.47,-0.755022584278033,7.34601020991329,1550
"34",2010-02-04,1820,0.64,-0.446287102628419,7.50659178007084,1820
"41",2010-03-23,3770,0.79,-0.23572233352107,8.23483028044206,3770
"46",2010-04-24,585,0.42,-0.867500567704723,6.37161184723186,585
"49",2010-05-12,391,0.44,-0.82098055206983,5.96870755998537,391
"50",2010-05-13,721,0.56,-0.579818495252942,6.58063913728495,721
"51",2010-05-14,2700,0.79,-0.23572233352107,7.90100705199242,2700
"52",2010-05-15,7540,0.71,-0.342490308946776,8.927977461002,7540
"53",2010-05-15,7540,0.87,-0.139262067333508,8.927977461002,7540
"60",2010-07-08,32,0.29,-1.23787435600162,3.46573590279973,32
"61",2010-07-13,4710,0.79,-0.23572233352107,8.45744318701046,4710
"68",2010-09-01,4.5,0.32,-1.13943428318836,1.50407739677627,4.5
"69",2010-09-09,1990,0.66,-0.415515443961666,7.59588991771854,1990
"75",2010-10-20,32,0.325,-1.1239300966524,3.46573590279973,32
"88",2011-02-04,230,0.55,-0.59783700075562,5.4380793089232,230
"89",2011-02-08,393,0.59,-0.527632742082372,5.97380961186926,393
"90",2011-02-14,1240,0.9,-0.105360515657826,7.12286665859908,1240
"91",2011-02-25,1900,1.01,0.00995033085316809,7.54960916515453,1900
"92",2011-02-28,1570,1.18,0.165514438477573,7.35883089834235,1570
"94",2011-03-14,957,0.76,-0.27443684570176,6.86380339145295,957
"97",2011-04-11,3100,0.44,-0.82098055206983,8.03915739047324,3100
"99",2011-04-23,3590,0.62,-0.478035800943,8.18590748148232,3590
"100",2011-04-25,36600,0.72,-0.328504066972036,10.5078035193895,36600
"101",2011-04-26,20900,1.39,0.3293037471426,9.9475044379529,20900
"104",2011-05-24,18500,0.73,-0.3147107448397,9.82552601106642,18500
"111",2011-08-11,43,0.37,-0.994252273343867,3.76120011569356,43
"116",2011-09-19,64,1.24,0.215111379616945,4.15888308335967,64
"119",2011-10-12,70,0.36,-1.02165124753198,4.24849524204936,70
"121",2011-11-03,17,0.41,-0.891598119283784,2.83321334405622,17
"122",2011-11-08,5160,0.96,-0.0408219945202552,8.54869185847561,5160
"126",2011-12-15,3840,1.57,0.451075619360217,8.25322764558177,3840
"128",2012-01-11,820,0.87,-0.139262067333508,6.7093043402583,820
"130",2012-01-25,4390,1.33,0.285178942233662,8.38708450606922,4390
"132",2012-02-04,3050,1.25,0.22314355131421,8.02289686960146,3050
"133",2012-02-16,769,0.87,-0.139262067333508,6.64509096950564,769
"135",2012-03-12,2380,0.6,-0.510825623765991,7.77485576666552,2380
"136",2012-03-20,8820,0.985,-0.0151136378100482,9.08477714900084,8820
"141",2012-05-01,93,0.47,-0.755022584278033,4.53259949315326,93
"145",2012-06-01,4.9,0.37,-0.994252273343867,1.58923520511658,4.9
"146",2012-06-05,72,0.51,-0.673344553263766,4.27666611901606,72
"154",2012-08-17,32,0.73,-0.3147107448397,3.46573590279973,32
"159",2012-09-25,0.41,0.52,-0.653926467406664,-0.891598119283784,0.41
"160",2012-10-01,1.4,0.41,-0.891598119283784,0.336472236621213,1.4
"170",2013-01-04,68,0.48,-0.7339691750802,4.21950770517611,68
"172",2013-01-15,297,0.56,-0.579818495252942,5.6937321388027,297
"174",2013-01-30,4880,1.67,0.512823626428664,8.49290049884719,4880
"176",2013-02-11,952,1.23,0.207014169384326,6.85856503479136,952
"178",2013-02-27,883,1.03,0.0295588022415444,6.78332520060396,883
"180",2013-03-10,2800,1.31,0.27002713721306,7.9373746961633,2800
"182",2013-03-29,1260,0.6,-0.510825623765991,7.13886699994552,1260
"183",2013-04-03,2220,0.98,-0.0202027073175195,7.70526247486633,2220
"184",2013-04-11,1250,0.91,-0.0943106794712413,7.13089883029635,1250
"185",2013-04-18,1730,1.39,0.3293037471426,7.45587668749182,1730
"187",2013-04-27,2470,0.93,-0.0725706928348354,7.81197342962202,2470
"188",2013-05-10,2620,1.09,0.0861776962410524,7.87092959675514,2620
"189",2013-05-21,4740,0.87,-0.139262067333508,8.46379241468912,4740
"190",2013-05-21,4740,1.77,0.570979546585738,8.46379241468912,4740
"197",2013-07-31,19,0.47,-0.755022584278033,2.94443897916644,19
"199",2013-08-08,384,1.14,0.131028262406404,5.95064255258773,384
"200",2013-08-13,1690,1,0,7.43248380791712,1690
"205",2013-09-18,0.04,0.43,-0.843970070294529,-3.2188758248682,0.04
"206",2013-09-20,156,0.84,-0.174353387144778,5.04985600724954,156
"208",2013-10-05,367,1.55,0.438254930931155,5.90536184805457,367
"211",2013-11-06,677,0.6,-0.510825623765991,6.51767127291227,677
"213",2013-11-22,410,0.79,-0.23572233352107,6.01615715969835,410
"216",2013-12-18,629,0.86,-0.150822889734584,6.44413125670044,629
"217",2013-12-21,5300,1.34,0.29266961396282,8.57546209954021,5300
"219",2014-01-10,1050,1.07,0.0676586484738149,6.95654544315157,1050
"226",2014-03-07,630,0.6,-0.510825623765991,6.44571981938558,630
"228",2014-03-16,9150,1.67,0.512823626428664,9.12150915826957,9150
"231",2014-04-04,3180,1,0,8.06463647577422,3180
"232",2014-04-07,3820,0.9,-0.105360515657826,8.24800570160062,3820
"236",2014-05-09,644,0.44,-0.82098055206983,6.46769872610435,644
"237",2014-05-13,1740,0.54,-0.616186139423817,7.46164039220858,1740
"241",2014-06-10,296,0.48,-0.7339691750802,5.69035945432406,296
"250",2014-09-02,274,0.65,-0.430782916092454,5.61312810638807,274
"252",2014-09-17,51,0.39,-0.941608539858445,3.93182563272433,51
"253",2014-09-18,192,0.61,-0.49429632181478,5.25749537202778,192
"256",2014-10-03,65,0.5,-0.693147180559945,4.17438726989564,65
"258",2014-10-10,909,1.08,0.0769610411361284,6.81234509417748,909
"259",2014-10-13,5050,1.3,0.262364264467491,8.52714352226941,5050
"262",2014-11-04,292,0.55,-0.59783700075562,5.67675380226828,292
"267",2014-12-17,551,0.5,-0.693147180559945,6.31173480915291,551
"1",2015-01-04,1720,0.74,-0.301105092783922,7.4500795698075,1720
"93",2015-03-05,1910,0.76,-0.27443684570176,7.55485852104068,1910
"10",2015-03-10,2080,0.76,-0.27443684570176,7.64012317269536,2080
"11",2015-03-14,6960,1.08,0.0769610411361284,8.84793475332846,6960
"131",2015-03-26,3560,1.11,0.104360015324243,8.17751582384608,3560
"171",2015-04-24,583,0.66,-0.415515443961666,6.36818718635049,583
"19",2015-05-08,857,1.68,0.518793793415168,6.75343791859778,857
"201",2015-05-11,13300,1.2,0.182321556793955,9.49551931420985,13300
"21",2015-06-19,13000,0.72,-0.328504066972036,9.47270463644367,13000
