"","TN.Date","TN.Flow","TN.concentrations.TN","lnC","lnQ","Flow"
"58",2010-06-16,116,0.39,-0.941608539858445,4.75359019110636,116
"59",2010-06-24,46,0.28,-1.27296567581289,3.8286413964891,46
"62",2010-07-22,103,0.38,-0.967584026261706,4.63472898822964,103
"63",2010-07-28,61,0.33,-1.10866262452161,4.11087386417331,61
"64",2010-08-05,9.3,0.29,-1.23787435600162,2.23001440015921,9.3
"65",2010-08-10,5,0.24,-1.42711635564015,1.6094379124341,5
"66",2010-08-19,1.5,0.22,-1.51412773262978,0.405465108108164,1.5
"67",2010-08-26,1.7,0.345,-1.06421086195078,0.53062825106217,1.7
"70",2010-09-16,502,1.13,0.122217632724249,6.21860011969173,502
"71",2010-09-22,90,0.67,-0.400477566597125,4.49980967033027,90
"72",2010-09-29,56,0.51,-0.673344553263766,4.02535169073515,56
"73",2010-10-06,18,0.43,-0.843970070294529,2.89037175789616,18
"74",2010-10-14,13,0.41,-0.891598119283784,2.56494935746154,13
"76",2010-10-27,32,0.52,-0.653926467406664,3.46573590279973,32
"77",2010-11-02,21,0.31,-1.17118298150295,3.04452243772342,21
"78",2010-11-10,21,0.32,-1.13943428318836,3.04452243772342,21
"79",2010-11-17,22,0.29,-1.23787435600162,3.09104245335832,22
"80",2010-11-30,249,0.54,-0.616186139423817,5.51745289646471,249
"81",2010-12-07,114,0.61,-0.49429632181478,4.7361984483945,114
"82",2010-12-14,61,0.6,-0.510825623765991,4.11087386417331,61
"83",2010-12-19,46,0.55,-0.59783700075562,3.8286413964891,46
"84",2011-01-05,222,0.81,-0.210721031315653,5.40267738187228,222
"85",2011-01-11,111,0.79,-0.23572233352107,4.70953020131233,111
"86",2011-01-18,67,0.73,-0.3147107448397,4.20469261939097,67
"87",2011-01-25,56,0.635,-0.454130280089445,4.02535169073515,56
"93",2011-03-04,685,0.82,-0.198450938723838,6.52941883826223,685
"95",2011-03-29,400,0.47,-0.755022584278033,5.99146454710798,400
"96",2011-04-06,580,0.39,-0.941608539858445,6.36302810354046,580
"98",2011-04-22,1130,0.62,-0.478035800943,7.02997291170639,1130
"102",2011-05-12,708,0.55,-0.59783700075562,6.56244409369372,708
"103",2011-05-19,579,0.39,-0.941608539858445,6.361302477573,579
"105",2011-06-08,197,0.25,-1.38629436111989,5.28320372873799,197
"106",2011-06-15,92,0.44,-0.82098055206983,4.52178857704904,92
"107",2011-07-15,4.7,0.24,-1.42711635564015,1.54756250871601,4.7
"108",2011-07-21,1.3,0.23,-1.46967597005894,0.262364264467491,1.3
"109",2011-07-29,1.3,0.28,-1.27296567581289,0.262364264467491,1.3
"110",2011-08-03,0.36,0.22,-1.51412773262978,-1.02165124753198,0.36
"112",2011-08-18,13,1.61,0.476234178996372,2.56494935746154,13
"113",2011-09-01,1.9,0.56,-0.579818495252942,0.641853886172395,1.9
"114",2011-09-08,0.87,0.34,-1.07880966137193,-0.139262067333508,0.87
"115",2011-09-16,0.82,0.45,-0.798507696217772,-0.198450938723838,0.82
"117",2011-09-30,3.3,0.65,-0.430782916092454,1.19392246847243,3.3
"118",2011-10-06,2.9,0.5,-0.693147180559945,1.06471073699243,2.9
"120",2011-10-26,3.9,0.54,-0.616186139423817,1.3609765531356,3.9
"123",2011-11-17,215,2.73,1.00430160919687,5.37063802812766,215
"124",2011-12-01,377,1.58,0.457424847038875,5.93224518744801,377
"125",2011-12-08,693,1.42,0.350656871613169,6.5410299991899,693
"127",2012-01-05,177,1,0,5.17614973257383,177
"129",2012-01-19,234,0.76,-0.27443684570176,5.4553211153577,234
"131",2012-02-02,582,0.98,-0.0202027073175195,6.36647044773144,582
"134",2012-03-01,266,0.72,-0.328504066972036,5.5834963087817,266
"137",2012-03-29,792,0.765,-0.267879445155601,6.67456139181443,792
"138",2012-04-12,189,0.46,-0.776528789498996,5.24174701505964,189
"139",2012-04-15,187,0.44,-0.82098055206983,5.23110861685459,187
"140",2012-04-26,64,0.39,-0.941608539858445,4.15888308335967,64
"142",2012-05-10,21,0.36,-1.02165124753198,3.04452243772342,21
"143",2012-05-16,10,0.31,-1.17118298150295,2.30258509299405,10
"144",2012-05-24,5.7,0.31,-1.17118298150295,1.7404661748405,5.7
"147",2012-06-14,2.4,0.68,-0.385662480811985,0.8754687373539,2.4
"148",2012-06-21,1.2,0.39,-0.941608539858445,0.182321556793955,1.2
"149",2012-06-28,0.36,0.38,-0.967584026261706,-1.02165124753198,0.36
"150",2012-07-12,1.4,0.49,-0.713349887877465,0.336472236621213,1.4
"151",2012-07-19,0.07,0.35,-1.04982212449868,-2.65926003693278,0.07
"152",2012-08-02,0.74,0.54,-0.616186139423817,-0.301105092783922,0.74
"153",2012-08-15,1.2,0.43,-0.843970070294529,0.182321556793955,1.2
"155",2012-08-20,1.2,0.56,-0.579818495252942,0.182321556793955,1.2
"156",2012-08-29,2.1,0.86,-0.150822889734584,0.741937344729377,2.1
"157",2012-09-05,0.14,0.47,-0.755022584278033,-1.96611285637283,0.14
"158",2012-09-11,0.63,0.94,-0.0618754037180875,-0.462035459596559,0.63
"161",2012-10-09,1.6,0.45,-0.798507696217772,0.470003629245736,1.6
"162",2012-10-15,15,0.87,-0.139262067333508,2.70805020110221,15
"163",2012-10-24,21,0.81,-0.210721031315653,3.04452243772342,21
"164",2012-10-31,9.4,0.645,-0.438504962186365,2.24070968927596,9.4
"165",2012-11-07,6.7,0.57,-0.562118918153541,1.90210752639692,6.7
"166",2012-11-14,7.6,0.49,-0.713349887877465,2.02814824729229,7.6
"167",2012-11-28,7.1,0.48,-0.7339691750802,1.96009478404727,7.1
"168",2012-12-05,17,0.68,-0.385662480811985,2.83321334405622,17
"169",2012-12-12,7.4,0.52,-0.653926467406664,2.00148000021012,7.4
"171",2013-01-10,45,0.41,-0.891598119283784,3.80666248977032,45
"173",2013-01-23,67,0.87,-0.139262067333508,4.20469261939097,67
"175",2013-02-06,275,1.505,0.408792898200839,5.61677109766657,275
"177",2013-02-20,350,0.95,-0.0512932943875506,5.85793315448346,350
"179",2013-03-06,296,0.99,-0.0100503358535015,5.69035945432406,296
"181",2013-03-19,414,0.95,-0.0512932943875506,6.02586597382531,414
"186",2013-04-24,610,0.63,-0.462035459596559,6.41345895716736,610
"191",2013-05-30,546,0.745,-0.294371060602578,6.30261897574491,546
"192",2013-06-06,762,0.51,-0.673344553263766,6.63594655568665,762
"193",2013-06-12,222,0.39,-0.941608539858445,5.40267738187228,222
"194",2013-06-25,34,0.39,-0.941608539858445,3.52636052461616,34
"195",2013-07-08,5.2,0.36,-1.02165124753198,1.64865862558738,5.2
"196",2013-07-19,4.7,0.36,-1.02165124753198,1.54756250871601,4.7
"198",2013-08-07,14,0.61,-0.49429632181478,2.63905732961526,14
"201",2013-08-20,141,1.89,0.636576829071551,4.94875989037817,141
"202",2013-08-28,8.7,0.48,-0.7339691750802,2.16332302566054,8.7
"203",2013-09-04,2.2,0.49,-0.713349887877465,0.78845736036427,2.2
"204",2013-09-11,0.01,0.42,-0.867500567704723,-4.60517018598809,0.01
"207",2013-10-02,0.61,0.71,-0.342490308946776,-0.49429632181478,0.61
"209",2013-10-24,54,0.5,-0.693147180559945,3.98898404656427,54
"210",2013-10-30,38,0.55,-0.59783700075562,3.63758615972639,38
"212",2013-11-13,170,0.48,-0.7339691750802,5.13579843705026,170
"214",2013-12-02,87,0.61,-0.49429632181478,4.46590811865458,87
"215",2013-12-12,99,0.61,-0.49429632181478,4.59511985013459,99
"218",2014-01-09,374,1.05,0.048790164169432,5.92425579741453,374
"220",2014-01-22,290,0.8,-0.22314355131421,5.66988092298052,290
"221",2014-01-28,162,0.75,-0.287682072451781,5.08759633523238,162
"222",2014-02-06,140,0.79,-0.23572233352107,4.9416424226093,140
"223",2014-02-12,108,0.81,-0.210721031315653,4.68213122712422,108
"224",2014-02-21,155,0.66,-0.415515443961666,5.04342511691925,155
"225",2014-02-25,129,0.62,-0.478035800943,4.85981240436167,129
"227",2014-03-11,415,0.71,-0.342490308946776,6.0282785202307,415
"229",2014-03-27,489,0.795,-0.229413164327805,6.19236248947487,489
"230",2014-04-03,793,0.6,-0.510825623765991,6.67582322163485,793
"233",2014-04-14,1400,0.53,-0.63487827243597,7.24422751560335,1400
"234",2014-04-22,521,0.39,-0.941608539858445,6.25575004175337,521
"235",2014-04-28,442,0.44,-0.82098055206983,6.0913098820777,442
"238",2014-05-20,539,0.31,-1.17118298150295,6.289715570909,539
"239",2014-05-28,193,0.305,-1.18744350237473,5.26269018890489,193
"240",2014-06-02,193,0.35,-1.04982212449868,5.26269018890489,193
"242",2014-07-01,117,0.3,-1.20397280432594,4.76217393479776,117
"243",2014-07-09,32,0.29,-1.23787435600162,3.46573590279973,32
"244",2014-07-23,38,0.26,-1.34707364796661,3.63758615972639,38
"245",2014-07-29,12,0.34,-1.07880966137193,2.484906649788,12
"246",2014-08-05,15,0.31,-1.17118298150295,2.70805020110221,15
"247",2014-08-12,303,0.43,-0.843970070294529,5.71373280550937,303
"248",2014-08-19,49,0.28,-1.27296567581289,3.89182029811063,49
"249",2014-08-27,13,0.36,-1.02165124753198,2.56494935746154,13
"251",2014-09-10,21,0.51,-0.673344553263766,3.04452243772342,21
"254",2014-09-24,29,0.45,-0.798507696217772,3.36729582998647,29
"255",2014-10-01,20,0.41,-0.891598119283784,2.99573227355399,20
"257",2014-10-08,19,0.39,-0.941608539858445,2.94443897916644,19
"260",2014-10-22,255,0.61,-0.49429632181478,5.54126354515843,255
"261",2014-10-29,96,0.47,-0.755022584278033,4.56434819146784,96
"263",2014-11-12,176,0.41,-0.891598119283784,5.17048399503815,176
"264",2014-11-19,62,0.36,-1.02165124753198,4.12713438504509,62
"265",2014-12-05,181,0.33,-1.10866262452161,5.19849703126583,181
"266",2014-12-10,290,0.4,-0.916290731874155,5.66988092298052,290
"211",2015-01-07,687,0.62,-0.478035800943,6.53233429222235,687
"3",2015-01-14,276,0.6,-0.510825623765991,5.62040086571715,276
"41",2015-01-21,146,0.51,-0.673344553263766,4.98360662170834,146
"5",2015-01-28,85,0.5,-0.693147180559945,4.44265125649032,85
"6",2015-02-04,128,0.48,-0.7339691750802,4.85203026391962,128
"75",2015-02-11,87,0.42,-0.867500567704723,4.46590811865458,87
"8",2015-02-25,298,0.555,-0.588787165235702,5.6970934865054,298
"12",2015-03-19,1410,0.66,-0.415515443961666,7.25134498337221,1410
"14",2015-04-01,699,0.51,-0.673344553263766,6.54965074223381,699
"154",2015-04-13,385,0.5,-0.693147180559945,5.95324333428778,385
"1610",2015-04-22,578,0.41,-0.891598119283784,6.35957386867238,578
"18",2015-04-29,274,0.33,-1.10866262452161,5.61312810638807,274
