"","TN.Date","TN.Flow","TN.concentrations.TN","lnC","lnQ","Flow"
"1",2009-07-08,18,0.34,-1.07880966137193,2.89037175789616,18
"2",2009-07-29,3.2,0.42,-0.867500567704723,1.16315080980568,3.2
"4",2009-08-12,33,0.69,-0.371063681390832,3.49650756146648,33
"7",2009-08-26,36,0.5,-0.693147180559945,3.58351893845611,36
"10",2009-09-09,111,0.455,-0.787457860031187,4.70953020131233,111
"11",2009-09-09,111,0.66,-0.415515443961666,4.70953020131233,111
"15",2009-09-29,370,0.875,-0.133531392624523,5.91350300563827,370
"16",2009-10-07,150,0.68,-0.385662480811985,5.01063529409626,150
"19",2009-10-21,502,0.68,-0.385662480811985,6.21860011969173,502
"21",2009-11-04,797,0.5,-0.693147180559945,6.68085467879022,797
"22",2009-11-11,330,0.37,-0.994252273343867,5.79909265446053,330
"23",2009-11-18,564,0.48,-0.7339691750802,6.33505425149806,564
"24",2009-11-24,368,0.37,-0.994252273343867,5.90808293816893,368
"25",2009-12-02,267,0.28,-1.27296567581289,5.58724865840025,267
"26",2009-12-09,264,0.28,-1.27296567581289,5.57594910314632,264
"27",2009-12-16,188,0.29,-1.23787435600162,5.23644196282995,188
"28",2009-12-22,141,0.26,-1.34707364796661,4.94875989037817,141
"29",2009-12-31,712,0.53,-0.63487827243597,6.56807791141198,712
"30",2010-01-06,386,0.48,-0.7339691750802,5.95583736946483,386
"31",2010-01-13,222,0.56,-0.579818495252942,5.40267738187228,222
"32",2010-01-20,211,0.44,-0.82098055206983,5.35185813347607,211
"33",2010-01-27,805,0.65,-0.430782916092454,6.69084227741856,805
"35",2010-02-11,844,0.62,-0.478035800943,6.73815249459596,844
"36",2010-02-17,529,0.6,-0.510825623765991,6.2709884318583,529
"37",2010-02-24,759,0.56,-0.579818495252942,6.63200177739563,759
"38",2010-03-03,372,0.51,-0.673344553263766,5.91889385427315,372
"39",2010-03-10,309,0.52,-0.653926467406664,5.73334127689775,309
"40",2010-03-17,218,0.49,-0.713349887877465,5.38449506278909,218
"42",2010-03-31,791,0.57,-0.562118918153541,6.67329796776765,791
"43",2010-04-07,778,0.37,-0.994252273343867,6.65672652417839,778
"44",2010-04-14,316,0.42,-0.867500567704723,5.75574221358691,316
"45",2010-04-21,171,0.34,-1.07880966137193,5.14166355650266,171
"47",2010-04-28,258,0.46,-0.776528789498996,5.55295958492162,258
"48",2010-05-05,183,0.52,-0.653926467406664,5.20948615284142,183
"54",2010-05-17,2930,0.59,-0.527632742082372,7.98275770201111,2930
"55",2010-05-26,986,0.57,-0.562118918153541,6.89365635460264,986
"56",2010-06-02,234,0.29,-1.23787435600162,5.4553211153577,234
"57",2010-06-09,116,0.34,-1.07880966137193,4.75359019110636,116
