"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ","Flow"
"253",2014-09-17,51,0.032,-3.44201937618241,3.93182563272433,51
"254",2014-09-18,192,0.088,-2.43041846450393,5.25749537202778,192
"257",2014-10-03,65,0.048,-3.03655426807425,4.17438726989564,65
"259",2014-10-10,909,0.474,-0.746547957287061,6.81234509417748,909
"260",2014-10-13,5050,0.576,-0.551647618286246,8.52714352226941,5050
"263",2014-11-04,292,0.07,-2.65926003693278,5.67675380226828,292
"268",2014-12-17,551,0.056,-2.88240358824699,6.31173480915291,551
"1",2015-01-04,1720,0.092,-2.3859667019331,7.4500795698075,1720
"9",2015-03-05,1910,0.1,-2.30258509299405,7.55485852104068,1910
"104",2015-03-10,2080,0.088,-2.43041846450393,7.64012317269536,2080
"111",2015-03-14,6960,0.314,-1.15836229307388,8.84793475332846,6960
"13",2015-03-26,3560,0.274,-1.29462717259407,8.17751582384608,3560
"17",2015-04-24,583,0.198,-1.6194882482876,6.36818718635049,583
"192",2015-05-08,857,1.08,0.0769610411361284,6.75343791859778,857
"202",2015-05-11,13300,0.564,-0.572701027484078,9.49551931420985,13300
"21",2015-06-19,13000,0.426,-0.853315932712767,9.47270463644367,13000
