"","SRP.Date","SRP.Flow","SRP.concentrations.SRP","lnC","lnQ","Flow"
"1",2009-07-15,3.5,0.007,-4.96184512992682,1.25276296849537,3.5
"3",2009-07-29,3.2,0.004,-5.52146091786225,1.16315080980568,3.2
"5",2009-08-12,33,0.006,-5.11599580975408,3.49650756146648,33
"8",2009-08-26,36,0.003,-5.80914299031403,3.58351893845611,36
"11",2009-09-09,111,0.007,-4.96184512992682,4.70953020131233,111
"12",2009-09-09,111,0.013,-4.3428059215206,4.70953020131233,111
"16",2009-09-29,370,0.004,-5.52146091786225,5.91350300563827,370
"17",2009-10-07,150,0.011,-4.50986000618377,5.01063529409626,150
"20",2009-10-21,502,0.004,-5.52146091786225,6.21860011969173,502
"22",2009-11-04,797,0.0065,-5.03595310208055,6.68085467879022,797
"23",2009-11-18,564,0.005,-5.29831736654804,6.33505425149806,564
"24",2009-11-24,368,0.005,-5.29831736654804,5.90808293816893,368
"25",2009-12-16,188,0.003,-5.80914299031403,5.23644196282995,188
"26",2009-12-31,712,0.005,-5.29831736654804,6.56807791141198,712
"27",2010-01-06,386,0.006,-5.11599580975408,5.95583736946483,386
"28",2010-02-11,844,0.005,-5.29831736654804,6.73815249459596,844
"29",2010-02-17,529,0.003,-5.80914299031403,6.2709884318583,529
"30",2010-03-03,372,0.004,-5.52146091786225,5.91889385427315,372
"31",2010-03-10,309,0.008,-4.8283137373023,5.73334127689775,309
"33",2010-05-05,183,0.006,-5.11599580975408,5.20948615284142,183
"38",2010-05-17,2930,0.018,-4.01738352108597,7.98275770201111,2930
"39",2010-05-26,986,0.0085,-4.76768911548587,6.89365635460264,986
"40",2010-06-02,234,0.004,-5.52146091786225,5.4553211153577,234
"41",2010-06-09,116,0.008,-4.8283137373023,4.75359019110636,116
"42",2010-06-16,116,0.004,-5.52146091786225,4.75359019110636,116
"43",2010-06-24,46,0.009,-4.71053070164592,3.8286413964891,46
"46",2010-07-22,103,0.004,-5.52146091786225,4.63472898822964,103
"47",2010-07-28,61,0.003,-5.80914299031403,4.11087386417331,61
"48",2010-08-05,9.3,0.007,-4.96184512992682,2.23001440015921,9.3
"49",2010-08-10,5,0.003,-5.80914299031403,1.6094379124341,5
"50",2010-08-19,1.5,0.005,-5.29831736654804,0.405465108108164,1.5
"51",2010-08-26,1.7,0.0065,-5.03595310208055,0.53062825106217,1.7
"54",2010-09-16,502,0.01,-4.60517018598809,6.21860011969173,502
"55",2010-09-29,56,0.004,-5.52146091786225,4.02535169073515,56
"56",2010-10-06,18,0.013,-4.3428059215206,2.89037175789616,18
"57",2010-10-14,13,0.004,-5.52146091786225,2.56494935746154,13
"58",2010-10-27,32,0.008,-4.8283137373023,3.46573590279973,32
"59",2010-11-02,21,0.006,-5.11599580975408,3.04452243772342,21
"60",2010-11-10,21,0.005,-5.29831736654804,3.04452243772342,21
"61",2010-11-17,22,0.007,-4.96184512992682,3.09104245335832,22
"62",2010-11-30,249,0.008,-4.8283137373023,5.51745289646471,249
"63",2010-12-07,114,0.004,-5.52146091786225,4.7361984483945,114
"64",2010-12-14,61,0.003,-5.80914299031403,4.11087386417331,61
"65",2010-12-19,46,0.009,-4.71053070164592,3.8286413964891,46
"66",2011-01-05,222,0.004,-5.52146091786225,5.40267738187228,222
"67",2011-01-11,111,0.006,-5.11599580975408,4.70953020131233,111
"68",2011-01-25,56,0.005,-5.29831736654804,4.02535169073515,56
"74",2011-03-04,685,0.014,-4.26869794936688,6.52941883826223,685
"76",2011-03-29,400,0.004,-5.52146091786225,5.99146454710798,400
"77",2011-04-06,580,0.007,-4.96184512992682,6.36302810354046,580
"79",2011-04-22,1130,0.009,-4.71053070164592,7.02997291170639,1130
"83",2011-05-12,708,0.005,-5.29831736654804,6.56244409369372,708
"84",2011-05-19,579,0.003,-5.80914299031403,6.361302477573,579
"86",2011-06-15,92,0.01,-4.60517018598809,4.52178857704904,92
"87",2011-08-18,13,0.005,-5.29831736654804,2.56494935746154,13
"88",2011-09-01,1.9,0.003,-5.80914299031403,0.641853886172395,1.9
"89",2011-09-16,0.82,0.005,-5.29831736654804,-0.198450938723838,0.82
"91",2011-09-30,3.3,0.003,-5.80914299031403,1.19392246847243,3.3
"95",2011-11-17,215,0.008,-4.8283137373023,5.37063802812766,215
"96",2011-12-01,377,0.008,-4.8283137373023,5.93224518744801,377
"97",2011-12-08,693,0.003,-5.80914299031403,6.5410299991899,693
"99",2012-01-05,177,0.012,-4.42284862919414,5.17614973257383,177
"102",2012-02-02,582,0.0025,-5.99146454710798,6.36647044773144,582
"105",2012-03-01,266,0.005,-5.29831736654804,5.5834963087817,266
"108",2012-04-12,189,0.004,-5.52146091786225,5.24174701505964,189
"109",2012-05-10,21,0.004,-5.52146091786225,3.04452243772342,21
"110",2012-05-16,10,0.004,-5.52146091786225,2.30258509299405,10
"113",2012-06-14,2.4,0.003,-5.80914299031403,0.8754687373539,2.4
"114",2012-06-28,0.36,0.006,-5.11599580975408,-1.02165124753198,0.36
"115",2012-08-15,1.2,0.004,-5.52146091786225,0.182321556793955,1.2
"116",2012-08-20,1.2,0.005,-5.29831736654804,0.182321556793955,1.2
"117",2012-08-29,2.1,0.007,-4.96184512992682,0.741937344729377,2.1
