"","Site","Const","Opt_MSE","f05_MSE"
"1","Sager","NO3",0.084656669158003,0.0851052700359807
"2","Sager","TN",0.0493810001449996,0.0496209595578731
"3","Sager","SRP",0.664770887098912,0.670502201886772
"4","Sager","TP",0.439875916279294,0.443887827081813
"5","Sager","TSS",0.820667350477374,0.864118752093627
"6","Sager","Cl",0.127687786880876,0.130375774990014
"7","Sager","SO4",0.0581995460850513,0.058868027806077
