"","X.5.45.","NO3test5to45modes","NO3test5to45stdevs","X.5.45..1","TNtest5to45modes","TNtest5to45stdevs","X.5.45..2","SRPtest5to45modes","SRPtest5to45stdevs","X.5.45..3","TPtest5to45modes","TPtest5to45stdevs","X.5.45..4","TSStest5to45modes","TSStest5to45stdevs","X.5.45..5","Cltest5to45modes","Cltest5to45stdevs","X.5.45..6","SO4test5to45modes","SO4test5to45stdevs"
"folds.5",5,0.65,0.0814040331716839,5,0.7,0.122884002123865,5,1,0.236765612907482,5,0.25,0.19669969056475,5,0.25,0.190140976885813,5,0.65,0.066683012260426,5,0.6,0.140661635479244
"folds.6",6,0.65,0.0713013420727926,6,0.65,0.11312960845114,6,0.7,0.227147602966735,6,0.25,0.180419902841514,6,0.25,0.167980735584553,6,0.65,0.0596281436531066,6,0.6,0.13672693317066
"folds.7",7,0.65,0.0645907847101231,7,0.65,0.108444456751833,7,0.7,0.225479557900558,7,0.25,0.161477909062246,7,0.25,0.141362940620875,7,0.65,0.0516591586136347,7,0.6,0.125016505416791
"folds.8",8,0.65,0.0595353210661911,8,0.65,0.0952515766948918,8,0.7,0.216730592325241,8,0.25,0.154143302344467,8,0.25,0.132408948449981,8,0.65,0.0375346353232431,8,0.55,0.125897617968769
"folds.9",9,0.65,0.0594291959337271,9,0.65,0.0929914372800389,9,0.7,0.210178906345696,9,0.25,0.138434466812285,9,0.25,0.119008205401783,9,0.65,0.0409216884376071,9,0.55,0.117260650092263
"folds.10",10,0.65,0.0537251933118569,10,0.65,0.0883638397092847,10,0.7,0.204528315476933,10,0.25,0.122523679556452,10,0.25,0.100146589254649,10,0.65,0.0356357953455498,10,0.55,0.104412173149982
"folds.11",11,0.65,0.0519257767037363,11,0.65,0.0870113123017258,11,0.7,0.202072439414114,11,0.25,0.110816866396221,11,0.25,0.100359202216187,11,0.65,0.0313046319253235,11,0.55,0.108626318989355
"folds.12",12,0.65,0.045930241530903,12,0.65,0.0801624351926513,12,0.7,0.202764767775497,12,0.25,0.0987923956458058,12,0.25,0.0907991436329908,12,0.65,0.0277503167563918,12,0.55,0.0924117819189601
"folds.13",13,0.65,0.0491061239705539,13,0.65,0.0825421753451574,13,0.7,0.205427939039796,13,0.25,0.098928076218353,13,0.25,0.0740247063969669,13,0.65,0.0281109894476827,13,0.55,0.100816238344395
"folds.14",14,0.65,0.0501227472290755,14,0.7,0.076806635515815,14,0.7,0.192714078925792,14,0.25,0.0808246876277919,14,0.25,0.062787257781653,14,0.65,0.0283047904277909,14,0.55,0.0922719437944796
"folds.15",15,0.65,0.0435371736046966,15,0.65,0.0761715964918165,15,0.7,0.187202677177284,15,0.25,0.077865271466171,15,0.25,0.0490159419226292,15,0.65,0.0260936463220145,15,0.55,0.0882668172703142
"folds.16",16,0.65,0.0421812370226,16,0.65,0.0761757194927638,16,0.7,0.18422028828176,16,0.25,0.0598020592144308,16,0.25,0.0492177039527687,16,0.65,0.0256045521947386,16,0.55,0.0899268415815703
