"","Date","TP","TP_ros"
"1",2009-06-01,0.604,0.604
"2",2009-07-01,0.544,0.544
"3",2009-08-01,0.44047619047619,0.44047619047619
"4",2009-09-01,0.167272727272727,0.167272727272727
"5",2009-10-01,0.150909090909091,0.150909090909091
"6",2009-11-01,0.142631578947368,0.142631578947368
"7",2009-12-01,0.219,0.219
"8",2010-01-01,0.186190476190476,0.186190476190476
"9",2010-02-01,0.2075,0.2075
"10",2010-03-01,0.317272727272727,0.317272727272727
"11",2010-04-01,0.407727272727273,0.407727272727273
"12",2010-05-01,0.290952380952381,0.29090751979933
"13",2010-06-01,0.338181818181818,0.338181818181818
"14",2010-07-01,0.247647058823529,0.247647058823529
"15",2010-08-01,0.226363636363636,0.226363636363636
"16",2010-09-01,0.255,0.255
"17",2010-10-01,0.316363636363636,0.316363636363636
"18",2010-11-01,0.243478260869565,0.243478260869565
"19",2010-12-01,0.192941176470588,0.192941176470588
"20",2011-01-01,0.195454545454545,0.195454545454545
"21",2011-02-01,0.127,0.127
"22",2011-03-01,0.105,0.105051994109173
"23",2011-04-01,0.151428571428571,0.151428571428571
"24",2011-05-01,0.147272727272727,0.150089033846659
"25",2011-06-01,0.259090909090909,0.259090909090909
"26",2011-07-01,0.237272727272727,0.237272727272727
"27",2011-08-01,0.213333333333333,0.213333333333333
"28",2011-09-01,0.23,0.23
"29",2011-10-01,0.373181818181818,0.373181818181818
"30",2011-11-01,0.227272727272727,0.227272727272727
"31",2011-12-01,0.136190476190476,0.136190476190476
"32",2012-01-01,0.155,0.155
"33",2012-02-01,0.128095238095238,0.13231986518948
"34",2012-03-01,0.137142857142857,0.139896163893292
"35",2012-04-01,0.249545454545455,0.249545454545455
"36",2012-05-01,0.353478260869565,0.353478260869565
"37",2012-06-01,0.2655,0.2655
"38",2012-07-01,0.361111111111111,0.361111111111111
"39",2012-08-01,0.362727272727273,0.362727272727273
"40",2012-09-01,0.398095238095238,0.398095238095238
"41",2012-10-01,0.275652173913043,0.275652173913043
"42",2012-11-01,0.19952380952381,0.19952380952381
"43",2012-12-01,0.34,0.34
"44",2013-01-01,0.223913043478261,0.223913043478261
"45",2013-02-01,0.2475,0.2475
"46",2013-03-01,0.115833333333333,0.115833333333333
"47",2013-04-01,0.102142857142857,0.100743787168823
"48",2013-05-01,0.195384615384615,0.195384615384615
"49",2013-06-01,0.356666666666667,0.356666666666667
"50",2013-07-01,0.183333333333333,0.183333333333333
"51",2013-08-01,0.398333333333333,0.398333333333333
"52",2013-09-01,0.353076923076923,0.353076923076923
"53",2013-10-01,0.292142857142857,0.292142857142857
"54",2013-11-01,0.3025,0.3025
"55",2013-12-01,0.19,0.19
"56",2014-01-01,0.189230769230769,0.189230769230769
"57",2014-02-01,0.125833333333333,0.125833333333333
"58",2014-03-01,0.126923076923077,0.126923076923077
"59",2014-04-01,0.228461538461538,0.228461538461538
"60",2014-05-01,0.287692307692308,0.287692307692308
"61",2014-06-01,0.322307692307692,0.322307692307692
"62",2014-07-01,0.395,0.395
"63",2014-08-01,0.205,0.205
"64",2014-09-01,0.249285714285714,0.249285714285714
"65",2014-10-01,0.263846153846154,0.263846153846154
"66",2014-11-01,0.1775,0.1775
"67",2014-12-01,0.127333333333333,0.127333333333333
"68",2015-01-01,0.185833333333333,0.185833333333333
"69",2015-02-01,0.1875,0.182803208787299
"70",2015-03-01,0.132,0.113526902051845
"71",2015-04-01,0.171875,0.165889994836517
"72",2015-05-01,0.153478260869565,0.131799032708406
"73",2015-06-01,0.175454545454545,0.172874593911972
"74",2015-07-01,0.184615384615385,0.182796832944514
