SITE,Date,TP
Springdale,2000-01-31,4.6
Springdale,2000-02-29,5.7
Springdale,2000-03-31,5.1
Springdale,2000-04-30,5.2
Springdale,2000-05-31,6.4
Springdale,2000-06-30,5
Springdale,2000-07-31,5.8
Springdale,2000-08-31,4.8
Springdale,2000-09-30,6.6
Springdale,2000-10-31,8.5
Springdale,2000-11-30,6.1
Springdale,2000-12-31,3.5
Springdale,2001-01-31,2.9
Springdale,2001-02-28,3.7
Springdale,2001-03-31,5.2
Springdale,2001-04-30,7.5
Springdale,2001-05-31,8.9
Springdale,2001-06-30,10.1
Springdale,2001-07-31,6.4
Springdale,2001-08-31,5.6
Springdale,2001-09-30,7.2
Springdale,2001-10-31,10.2
Springdale,2001-11-30,11.3
Springdale,2001-12-31,7.7
Springdale,2002-01-31,6.3
Springdale,2002-02-28,5.6
Springdale,2002-03-31,4.9
Springdale,2002-04-30,7.6
Springdale,2002-05-31,8.8
Springdale,2002-06-30,12
Springdale,2002-07-31,9.4
Springdale,2002-08-31,7.7
Springdale,2002-09-30,9
Springdale,2002-10-31,8.4
Springdale,2002-11-30,2.3
Springdale,2002-12-31,4.9
Springdale,2003-01-31,1.6
Springdale,2003-02-28,3.5
Springdale,2003-03-31,1.8
Springdale,2003-04-30,2.2
Springdale,2003-05-31,1.1
Springdale,2003-06-30,0.9
Springdale,2003-07-31,1.1
Springdale,2003-08-31,1.8
Springdale,2003-09-30,2.1
Springdale,2003-10-31,0.6
Springdale,2003-11-30,0.6
Springdale,2003-12-31,0.7
Springdale,2004-01-31,0.8
Springdale,2004-02-29,0.7
Springdale,2004-03-31,0.7
Springdale,2004-04-30,0.5
Springdale,2004-05-31,0.5
Springdale,2004-06-30,0.7
Springdale,2004-07-31,1
Springdale,2004-08-31,1.2
Springdale,2004-09-30,0.7
Springdale,2004-10-31,0.4
Springdale,2004-11-30,0.48
Springdale,2004-12-31,0.46
Springdale,2005-01-31,0.66
Springdale,2005-02-28,0.61
Springdale,2005-03-31,0.52
Springdale,2005-04-30,0.47
Springdale,2005-05-31,0.57
Springdale,2005-06-30,0.91
Springdale,2005-07-31,0.94
Springdale,2005-08-31,0.62
Springdale,2005-09-30,1.11
Springdale,2005-10-31,0.91
Springdale,2005-11-30,3.16
Springdale,2005-12-31,1.34
Springdale,2006-01-31,0.32
Springdale,2006-02-28,0.48
Springdale,2006-03-31,0.46
Springdale,2006-04-30,0.6
Springdale,2006-05-31,0.78
Springdale,2006-06-30,0.39
Springdale,2006-07-31,0.43
Springdale,2006-08-31,1
Springdale,2006-09-30,0.79
Springdale,2006-10-31,0.7
Springdale,2006-11-30,0.3
Springdale,2006-12-31,0.2
Springdale,2007-01-31,0.2
Springdale,2007-02-28,0.2
Springdale,2007-03-31,0.2
Springdale,2007-04-30,0.2
Springdale,2007-05-31,0.3
Springdale,2007-06-30,0.6
Springdale,2007-07-31,0.4
Springdale,2007-08-31,0.2
Springdale,2007-09-30,0.2
Springdale,2007-10-31,0.3
Springdale,2007-11-30,0.2
Springdale,2007-12-31,0.2
Springdale,2008-01-31,0.3
Springdale,2008-02-29,0.4
Springdale,2008-03-31,0.9
Springdale,2008-04-30,0.3
Springdale,2008-05-31,0.4
Springdale,2008-06-30,0.4
Springdale,2008-07-31,0.4
Springdale,2008-08-31,0.3
Springdale,2008-09-30,0.6
Springdale,2008-10-31,0.4
Springdale,2008-11-30,0.3
Springdale,2008-12-31,0.2
Springdale,2009-01-31,0.4
Springdale,2009-02-28,0.3
Springdale,2009-03-31,0.4
Springdale,2009-04-30,0.6
Springdale,2009-05-31,0.5
Springdale,2009-06-30,0.5
Springdale,2009-07-31,0.4
Springdale,2009-08-31,0.5
Springdale,2009-09-30,0.6
Springdale,2009-10-31,0.4
Springdale,2009-11-30,0.2
Springdale,2009-12-31,0.2
Springdale,2010-01-31,0.2
Springdale,2010-02-28,0.2
Springdale,2010-03-31,0.2
Springdale,2010-04-30,0.3
Springdale,2010-05-31,0.2
Springdale,2010-06-30,0.3
Springdale,2010-07-31,0.3
Springdale,2010-08-31,0.3
Springdale,2010-09-30,0.4
