SITE,Date,TP
Rogers,1/31/1996,1.2
Rogers,2/29/1996,1.64
Rogers,3/31/1996,4.3
Rogers,4/30/1996,3.63
Rogers,5/31/1996,1.55
Rogers,6/30/1996,
Rogers,7/31/1996,3.22
Rogers,8/31/1996,2.07
Rogers,9/30/1996,4.22
Rogers,10/31/1996,3.23
Rogers,11/30/1996,3.65
Rogers,12/31/1996,3.89
Rogers,1/31/1997,4.72
Rogers,2/28/1997,3.17
Rogers,3/31/1997,3.44
Rogers,4/30/1997,3.75
Rogers,5/31/1997,6.41
Rogers,6/30/1997,3.16
Rogers,7/31/1997,3.06
Rogers,8/31/1997,3.71
Rogers,9/30/1997,2.81
Rogers,10/31/1997,1.11
Rogers,11/30/1997,1.68
Rogers,12/31/1997,1.51
Rogers,1/31/1998,1.99
Rogers,2/28/1998,1.05
Rogers,3/31/1998,1.6
Rogers,4/30/1998,1.75
Rogers,5/31/1998,2.26
Rogers,6/30/1998,1.66
Rogers,7/31/1998,0.79
Rogers,8/31/1998,0.8
Rogers,9/30/1998,0.46
Rogers,10/31/1998,0.42
Rogers,11/30/1998,0.38
Rogers,12/31/1998,2.92
Rogers,1/31/1999,2.33
Rogers,2/28/1999,2.04
Rogers,3/31/1999,2.93
Rogers,4/30/1999,2.52
Rogers,5/31/1999,1.88
Rogers,6/30/1999,2.34
Rogers,7/31/1999,2.15
Rogers,8/31/1999,1.84
Rogers,9/30/1999,2.86
Rogers,10/31/1999,2.98
Rogers,11/30/1999,3.35
Rogers,12/31/1999,3.74
Rogers,1/31/2000,2.79
Rogers,2/29/2000,2.36
Rogers,3/31/2000,1.87
Rogers,4/30/2000,2.28
Rogers,5/31/2000,1.99
Rogers,6/30/2000,1.51
Rogers,7/31/2000,0.87
Rogers,8/31/2000,0.99
Rogers,9/30/2000,0.31
Rogers,10/31/2000,0.43
Rogers,11/30/2000,0.62
Rogers,12/31/2000,0.27
Rogers,1/31/2001,0.22
Rogers,2/28/2001,0.38
Rogers,3/31/2001,1.31
Rogers,4/30/2001,1.32
Rogers,5/31/2001,1.6
Rogers,6/30/2001,1.83
Rogers,7/31/2001,0.9
Rogers,8/31/2001,0.81
Rogers,9/30/2001,0.75
Rogers,10/31/2001,0.28
Rogers,11/30/2001,0.24
Rogers,12/31/2001,2.06
Rogers,1/31/2002,0.32
Rogers,2/28/2002,0.69
Rogers,3/31/2002,0.57
Rogers,4/30/2002,0.57
Rogers,5/31/2002,1.12
Rogers,6/30/2002,0.24
Rogers,7/31/2002,0.33
Rogers,8/31/2002,0.45
Rogers,9/30/2002,0.47
Rogers,10/31/2002,0.23
Rogers,11/30/2002,0.17
Rogers,12/31/2002,0.26
Rogers,1/31/2003,0.31
Rogers,2/28/2003,0.23
Rogers,3/31/2003,0.38
Rogers,4/30/2003,0.96
Rogers,5/31/2003,0.23
Rogers,6/30/2003,0.2
Rogers,7/31/2003,0.42
Rogers,8/31/2003,0.25
Rogers,9/30/2003,0.32
Rogers,10/31/2003,0.22
Rogers,11/30/2003,0.63
Rogers,12/31/2003,0.57
Rogers,1/31/2004,0.3
Rogers,2/29/2004,0.42
Rogers,3/31/2004,0.38
Rogers,4/30/2004,0.33
Rogers,5/31/2004,0.32
Rogers,6/30/2004,0.36
Rogers,7/31/2004,0.75
Rogers,8/31/2004,0.58
Rogers,9/30/2004,0.43
Rogers,10/31/2004,0.42
Rogers,11/30/2004,0.44
Rogers,12/31/2004,0.34
Rogers,1/31/2005,0.46
Rogers,2/28/2005,0.38
Rogers,3/31/2005,0.45
Rogers,4/30/2005,0.44
Rogers,5/31/2005,0.92
Rogers,6/30/2005,1.02
Rogers,7/31/2005,0.74
Rogers,8/31/2005,2.18
Rogers,9/30/2005,0.62
Rogers,10/31/2005,1.15
Rogers,11/30/2005,0.38
Rogers,12/31/2005,0.26
Rogers,1/31/2006,0.41
Rogers,2/28/2006,0.23
Rogers,3/31/2006,0.44
Rogers,4/30/2006,0.31
Rogers,5/31/2006,0.62
Rogers,6/30/2006,1.16
Rogers,7/31/2006,0.83
Rogers,8/31/2006,0.89
Rogers,9/30/2006,0.68
Rogers,10/31/2006,0.88
Rogers,11/30/2006,0.75
Rogers,12/31/2006,1
Rogers,1/31/2007,1
Rogers,2/28/2007,1.09
Rogers,3/31/2007,1.25
Rogers,4/30/2007,0.61
Rogers,5/31/2007,0.33
Rogers,6/30/2007,0.57
Rogers,7/31/2007,0.62
Rogers,8/31/2007,0.52
Rogers,9/30/2007,0.74
Rogers,10/31/2007,0.38
Rogers,11/30/2007,0.43
Rogers,12/31/2007,0.3
Rogers,1/31/2008,0.25
Rogers,2/29/2008,0.44
Rogers,3/31/2008,0.6
Rogers,4/30/2008,1.08
Rogers,5/31/2008,1.74
Rogers,6/30/2008,1.13
Rogers,7/31/2008,0.277727273
Rogers,8/31/2008,0.369
Rogers,9/30/2008,0.488571429
Rogers,10/31/2008,0.694761905
Rogers,11/30/2008,0.971666667
Rogers,12/31/2008,0.833333333
Rogers,1/31/2009,0.399473684
Rogers,2/28/2009,0.452352941
Rogers,3/31/2009,0.208695652
Rogers,4/30/2009,0.262727273
Rogers,5/31/2009,0.135
Rogers,6/30/2009,0.419545455
Rogers,7/31/2009,0.235238095
Rogers,8/31/2009,0.160454545
Rogers,9/30/2009,0.157142857
Rogers,10/31/2009,0.367619048
Rogers,11/30/2009,0.0985
Rogers,12/31/2009,0.10047619
Rogers,1/31/2010,0.085789474
Rogers,2/28/2010,0.116315789
Rogers,3/31/2010,0.155217391
Rogers,4/30/2010,0.267619048
Rogers,5/31/2010,0.2845
Rogers,6/30/2010,0.274090909
Rogers,7/31/2010,0.4985
Rogers,8/31/2010,0.619565217
Rogers,9/30/2010,0.33952381
Rogers,10/31/2010,0.464545455
Rogers,11/30/2010,0.508
Rogers,12/31/2010,0.2205
Rogers,1/31/2011,0.185909091
Rogers,2/28/2011,0.151111111
Rogers,3/31/2011,0.149565217
Rogers,4/30/2011,0.216
Rogers,5/31/2011,0.197272727
Rogers,6/30/2011,0.172272727
Rogers,7/31/2011,0.255
Rogers,8/31/2011,0.253478261
Rogers,9/30/2011,0.4265
Rogers,10/31/2011,0.200909091
Rogers,11/30/2011,0.183157895
Rogers,12/31/2011,0.083888889
Rogers,1/31/2012,0.130909091
Rogers,2/29/2012,0.0965
Rogers,3/31/2012,0.174285714
Rogers,4/30/2012,0.173636364
Rogers,5/31/2012,0.118571429
Rogers,6/30/2012,0.18
Rogers,7/31/2012,0.327272727
Rogers,8/31/2012,0.211818182
Rogers,9/30/2012,0.2955
Rogers,10/31/2012,0.31173913
Rogers,11/30/2012,0.331578947
Rogers,12/31/2012,0.138947368
Rogers,1/31/2013,0.139565217
Rogers,2/28/2013,0.117368421
Rogers,3/31/2013,0.139047619
Rogers,4/30/2013,0.123181818
Rogers,5/31/2013,0.389090909
Rogers,6/30/2013,0.265238095
Rogers,7/31/2013,0.322272727
Rogers,8/31/2013,0.357
Rogers,9/30/2013,0.199047619
Rogers,10/31/2013,0.169565217
Rogers,11/30/2013,0.195
Rogers,12/31/2013,0.219047619
Rogers,1/31/2014,0.214545455
Rogers,2/28/2014,0.244444444
Rogers,3/31/2014,0.156666667
Rogers,4/30/2014,0.185909091
Rogers,5/31/2014,0.166
Rogers,6/30/2014,0.232272727
Rogers,7/31/2014,0.290454545
Rogers,8/31/2014,0.2425
Rogers,9/30/2014,0.21
Rogers,10/31/2014,0.13047619
Rogers,11/30/2014,0.113157895
Rogers,12/31/2014,0.115217391
Rogers,1/31/2015,0.119
Rogers,2/28/2015,0.107368421
Rogers,3/31/2015,0.091818182
Rogers,4/30/2015,0.114545455
Rogers,5/31/2015,0.1755
