"","Date","concentrations.NO3","Flow"
"1",2011-07-15,0.016,37
"2",2011-07-21,0.014,23
"3",2011-07-29,0.01,19
"4",2011-08-03,0.01,16
"5",2011-08-11,0.48,127
"6",2011-08-18,0.1,102
"7",2011-09-01,0.01,23
"8",2011-09-08,0.004,15
"9",2011-09-16,0.08,14
"10",2011-09-22,0.941,121
"11",2011-09-26,1.334,121
"12",2011-10-06,0.212,41
"13",2011-10-13,1.777,224
"14",2011-10-26,0.552,57
"15",2011-11-03,0.25,62
"16",2011-11-09,2.737,4380
"17",2011-11-17,2.542,209
"18",2011-12-01,2.43,307
"19",2011-12-08,2.106,735
"20",2011-12-15,2.065,2750
"21",2012-01-05,1.592,218
"22",2012-01-12,1.571,267
"23",2012-01-19,1.02,175
"24",2012-01-26,0.9305,7540
"25",2012-02-02,1.858,670
"26",2012-02-09,1.405,746
"27",2012-02-16,1.499,533
"28",2012-03-01,0.98,290
"29",2012-03-13,0.5905,1820
"30",2012-03-20,0.967,3890
"31",2012-03-21,0.705,12800
"32",2012-03-22,1.052,13300
"33",2012-03-29,1.409,988
"34",2012-04-12,0.729,215
"35",2012-04-19,0.705,188
"36",2012-04-26,0.605,122
"37",2012-05-02,0.67,122
"38",2012-05-10,0.403,61
"39",2012-05-16,0.217,48
"40",2012-05-24,0.0525,32
"41",2012-06-01,0.004,26
"42",2012-06-05,0.021,27
"43",2012-06-14,0.023,25
"44",2012-06-21,0.899,15
"45",2012-06-28,0.103,9
"46",2012-07-12,0.004,11
"47",2012-07-19,0.004,6.1
"48",2012-08-02,0.008,4.3
"49",2012-08-17,0.004,5.3
"50",2012-08-20,0.004,6.3
"51",2012-08-29,0.0645,13
"52",2012-09-05,0.069,10
"53",2012-09-11,0.004,51
"54",2012-09-25,0.018,16
"55",2012-10-01,0.004,17
"56",2012-10-09,0.004,16
"57",2012-10-15,2.115,164
"58",2012-10-24,0.417,40
"59",2012-10-31,0.058,28
"60",2012-11-07,0.146,22
"61",2012-11-14,0.379,26
"62",2012-11-28,0.004,23
"63",2012-12-05,0.189,45
"64",2012-12-12,0.324,45
"65",2013-01-10,0.697,71
"66",2013-01-15,1.212,188
"67",2013-01-23,1.074,86
"68",2013-01-31,2.142,2430
"69",2013-02-06,2.726,251
"70",2013-02-11,2.559,566
"71",2013-02-20,1.721,297
"72",2013-02-27,1.585,1620
"73",2013-03-06,1.703,338
"74",2013-03-11,1.521,2510
"75",2013-03-19,1.523,396
"76",2013-03-29,1.062,416
"77",2013-04-03,0.932,710
"78",2013-04-12,0.852,899
"79",2013-04-19,0.926,3080
"80",2013-04-24,1.095,651
"81",2013-04-27,0.985,2870
"82",2013-05-10,0.861,4280
"83",2013-05-22,0.814,1920
"84",2013-05-22,1.006,1920
"85",2013-05-30,0.769,287
"86",2013-06-06,0.626,514
"87",2013-06-12,0.518,192
"88",2013-06-25,0.193,59
"89",2013-07-08,0.063,24
"90",2013-07-19,0.0495,15
"91",2013-07-31,0.283,76
"92",2013-08-07,0.746,195
"93",2013-08-09,1.156,2570
"94",2013-08-14,1.202,2250
"95",2013-08-20,1.003,287
"96",2013-08-28,0.432,91
"97",2013-09-04,0.237,53
"98",2013-09-11,0.132,35
"99",2013-09-18,0.134,39
"100",2013-09-23,0.127,42
"101",2013-10-02,0.131,31
"102",2013-10-06,0.826,602
"103",2013-10-24,0.4415,61
"104",2013-10-30,0.346,60
"105",2013-11-06,0.518,110
"106",2013-11-13,0.527,131
"107",2013-11-22,0.9505,709
"108",2013-12-02,1.201,147
"109",2013-12-12,1.158,136
"110",2013-12-18,1.702,902
"111",2014-01-09,1.919,400
"112",2014-01-12,1.333,2080
"113",2014-01-22,1.702,365
"114",2014-01-28,1.647,233
"115",2014-02-06,1.56,173
"116",2014-02-12,1.499,142
"117",2014-02-21,1.041,187
"118",2014-02-25,0.922,156
"119",2014-03-07,1.101,241
"120",2014-03-11,1.169,842
"121",2014-03-17,1.229,7440
"122",2014-03-27,1.487,556
"123",2014-04-03,0.887,727
"124",2014-04-07,0.864,3330
"125",2014-04-14,1,972
"126",2014-04-22,0.611,476
"127",2014-04-28,0.629,376
"128",2014-05-13,0.617,326
"129",2014-05-14,0.63,649
"130",2014-05-20,0.284,428
"131",2014-05-28,0.413,176
"132",2014-06-02,0.399,308
"133",2014-06-10,0.623,1150
"134",2014-06-20,0.4075,143
"135",2014-07-01,0.264,256
"136",2014-07-09,0.183,85
"137",2014-07-23,0.164,62
"138",2014-07-29,0.085,41
"139",2014-08-05,0.132,48
"140",2014-08-12,0.117,38
"141",2014-08-19,0.072,32
"142",2014-08-27,0.126,26
"143",2014-09-04,0.191,41
"144",2014-09-10,0.139,23
"145",2014-09-17,0.069,37
"146",2014-09-24,0.0755,26
"147",2014-10-01,0.061,18
"148",2014-10-08,0.053,28
"149",2014-10-10,0.841,636
"150",2014-10-13,0.995,1520
"151",2014-10-14,0.78,3110
"152",2014-10-22,0.657,173
"153",2014-10-29,0.375,79
"154",2014-11-06,0.457,161
