"","West_cenreg.y","X1","X2"
"1",0.2,-1.6094379124341,1
"2",0.26,-1.34707364796661,1
"3",0.76,-0.27443684570176,1
"4",0.45,-0.798507696217772,1
"5",0.24,-1.42711635564015,1
"6",0.59,-0.527632742082372,1
"7",0.44,-0.82098055206983,1
"8",0.44,-0.82098055206983,1
"9",0.25,-1.38629436111989,1
"10",0.66,-0.415515443961666,1
"11",0.3,-1.20397280432594,1
"12",0.22,-1.51412773262978,1
"13",0.21,-1.56064774826467,1
"14",0.19,-1.66073120682165,1
"15",0.21,-1.56064774826467,1
"16",0.23,-1.46967597005894,1
"17",0.24,-1.42711635564015,1
"18",0.15,-1.89711998488588,1
"19",0.18,-1.71479842809193,1
"20",0.68,-0.385662480811985,1
"21",0.77,-0.261364764134408,1
"22",1.76,0.56531380905006,1
"23",0.72,-0.328504066972036,1
"24",0.77,-0.261364764134408,1
"25",1.1,0.0953101798043249,1
"26",1.06,0.0582689081239758,1
"27",1.03,0.0295588022415444,1
"28",0.68,-0.385662480811985,1
"29",0.54,-0.616186139423817,1
"30",1.5,0.405465108108164,1
"31",0.36,-1.02165124753198,1
"32",0.41,-0.891598119283784,1
"33",0.61,-0.49429632181478,1
"34",0.61,-0.49429632181478,1
"35",0.44,-0.82098055206983,1
"36",0.45,-0.798507696217772,1
"37",0.55,-0.59783700075562,1
"38",0.54,-0.616186139423817,1
"39",0.56,-0.579818495252942,1
"40",0.41,-0.891598119283784,1
"41",0.39,-0.941608539858445,1
"42",0.58,-0.544727175441672,1
"43",0.46,-0.776528789498996,1
"44",0.44,-0.82098055206983,1
"45",0.49,-0.713349887877465,1
"46",0.54,-0.616186139423817,1
"47",0.59,-0.527632742082372,1
"48",0.59,-0.527632742082372,1
"49",0.46,-0.776528789498996,1
"50",0.49,-0.713349887877465,1
"51",0.29,-1.23787435600162,1
"52",0.74,-0.301105092783922,1
"53",0.76,-0.27443684570176,1
"54",1.24,0.215111379616945,1
"55",0.92,-0.083381608939051,1
"56",0.23,-1.46967597005894,1
"57",1.62,0.482426149244293,1
"58",1.58,0.457424847038875,1
"59",1.48,0.392042087776024,1
"60",0.4,-0.916290731874155,1
"61",0.96,-0.0408219945202552,1
"62",1.72,0.542324290825362,1
"63",1.34,0.29266961396282,1
"64",1.42,0.350656871613169,1
"65",1.46,0.378436435720245,1
"66",1.02,0.0198026272961797,1
"67",0.82,-0.198450938723838,1
"68",0.38,-0.967584026261706,1
"69",0.42,-0.867500567704723,1
"70",0.36,-1.02165124753198,1
"71",0.49,-0.713349887877465,1
"72",0.63,-0.462035459596559,1
"73",0.73,-0.3147107448397,1
"74",0.58,-0.544727175441672,1
"75",0.21,-1.56064774826467,1
"76",0.74,-0.301105092783922,1
"77",0.55,-0.59783700075562,1
"78",0.75,-0.287682072451781,1
"79",0.63,-0.462035459596559,1
"80",0.24,-1.42711635564015,1
"81",0.48,-0.7339691750802,1
"82",0.65,-0.430782916092454,1
"83",0.64,-0.446287102628419,1
"84",0.88,-0.127833371509885,1
"85",0.24,-1.42711635564015,1
"86",0.25,-1.38629436111989,1
"87",0.16,-1.83258146374831,1
"88",0.13,-2.04022082852655,1
"89",0.41,-0.891598119283784,1
"90",0.21,-1.56064774826467,1
"91",0.46,-0.776528789498996,1
"92",0.14,-1.96611285637283,1
"93",0.16,-1.83258146374831,1
"94",0.13,-2.04022082852655,1
"95",0.18,-1.71479842809193,1
"96",0.17,-1.77195684193188,1
