Site,Date,Flow
Richland Creek,2010-01-14,62
Richland Creek,2010-01-15,64
Richland Creek,2010-01-16,67
Richland Creek,2010-01-17,65
Richland Creek,2010-01-18,61
Richland Creek,2010-01-19,56
Richland Creek,2010-01-20,59
Richland Creek,2010-01-21,456
Richland Creek,2010-01-22,291
Richland Creek,2010-01-23,231
Richland Creek,2010-01-24,435
Richland Creek,2010-01-25,348
Richland Creek,2010-01-26,269
Richland Creek,2010-01-27,222
Richland Creek,2010-01-28,197
Richland Creek,2010-01-29,285
Richland Creek,2010-01-30,251
Richland Creek,2010-01-31,216
Richland Creek,2010-02-01,221
Richland Creek,2010-02-02,245
Richland Creek,2010-02-03,290
Richland Creek,2010-02-04,503
Richland Creek,2010-02-05,780
Richland Creek,2010-02-06,582
Richland Creek,2010-02-07,453
Richland Creek,2010-02-08,381
Richland Creek,2010-02-09,340
Richland Creek,2010-02-10,313
Richland Creek,2010-02-11,287
Richland Creek,2010-02-12,249
Richland Creek,2010-02-13,210
Richland Creek,2010-02-14,201
Richland Creek,2010-02-15,180
Richland Creek,2010-02-16,159
Richland Creek,2010-02-17,147
Richland Creek,2010-02-18,136
Richland Creek,2010-02-19,127
Richland Creek,2010-02-20,120
Richland Creek,2010-02-21,197
Richland Creek,2010-02-22,346
Richland Creek,2010-02-23,250
Richland Creek,2010-02-24,210
Richland Creek,2010-02-25,183
Richland Creek,2010-02-26,166
Richland Creek,2010-02-27,150
Richland Creek,2010-02-28,135
Richland Creek,2010-03-01,123
Richland Creek,2010-03-02,113
Richland Creek,2010-03-03,104
Richland Creek,2010-03-04,95
Richland Creek,2010-03-05,88
Richland Creek,2010-03-06,80
Richland Creek,2010-03-07,70
Richland Creek,2010-03-08,63
Richland Creek,2010-03-09,73
Richland Creek,2010-03-10,86
Richland Creek,2010-03-11,87
Richland Creek,2010-03-12,82
Richland Creek,2010-03-13,79
Richland Creek,2010-03-14,75
Richland Creek,2010-03-15,69
Richland Creek,2010-03-16,65
Richland Creek,2010-03-17,61
Richland Creek,2010-03-18,59
Richland Creek,2010-03-19,56
Richland Creek,2010-03-20,137
Richland Creek,2010-03-21,463
Richland Creek,2010-03-22,570
Richland Creek,2010-03-23,1040
Richland Creek,2010-03-24,895
Richland Creek,2010-03-25,899
Richland Creek,2010-03-26,650
Richland Creek,2010-03-27,447
Richland Creek,2010-03-28,380
Richland Creek,2010-03-29,308
Richland Creek,2010-03-30,257
Richland Creek,2010-03-31,219
Richland Creek,2010-04-01,191
Richland Creek,2010-04-02,200
Richland Creek,2010-04-03,531
Richland Creek,2010-04-04,379
Richland Creek,2010-04-05,300
Richland Creek,2010-04-06,250
Richland Creek,2010-04-07,215
Richland Creek,2010-04-08,185
Richland Creek,2010-04-09,158
Richland Creek,2010-04-10,138
Richland Creek,2010-04-11,123
Richland Creek,2010-04-12,110
Richland Creek,2010-04-13,99
Richland Creek,2010-04-14,88
Richland Creek,2010-04-15,79
Richland Creek,2010-04-16,71
Richland Creek,2010-04-17,66
Richland Creek,2010-04-18,61
Richland Creek,2010-04-19,60
Richland Creek,2010-04-20,54
Richland Creek,2010-04-21,48
Richland Creek,2010-04-22,45
Richland Creek,2010-04-23,44
Richland Creek,2010-04-24,162
Richland Creek,2010-04-25,197
Richland Creek,2010-04-26,91
Richland Creek,2010-04-27,62
Richland Creek,2010-04-28,48
Richland Creek,2010-04-29,35
Richland Creek,2010-04-30,107
Richland Creek,2010-05-01,236
Richland Creek,2010-05-02,118
Richland Creek,2010-05-03,84
Richland Creek,2010-05-04,65
Richland Creek,2010-05-05,52
Richland Creek,2010-05-06,44
Richland Creek,2010-05-07,34
Richland Creek,2010-05-08,30
Richland Creek,2010-05-09,26
Richland Creek,2010-05-10,69
Richland Creek,2010-05-11,116
Richland Creek,2010-05-12,109
Richland Creek,2010-05-13,199
Richland Creek,2010-05-14,745
Richland Creek,2010-05-15,2070
Richland Creek,2010-05-16,1210
Richland Creek,2010-05-17,808
Richland Creek,2010-05-18,462
Richland Creek,2010-05-19,339
Richland Creek,2010-05-20,2040
Richland Creek,2010-05-21,864
Richland Creek,2010-05-22,492
Richland Creek,2010-05-23,355
Richland Creek,2010-05-24,277
Richland Creek,2010-05-25,282
Richland Creek,2010-05-26,272
Richland Creek,2010-05-27,212
Richland Creek,2010-05-28,158
Richland Creek,2010-05-29,128
Richland Creek,2010-05-30,106
Richland Creek,2010-05-31,94
Richland Creek,2010-06-01,79
Richland Creek,2010-06-02,66
Richland Creek,2010-06-03,55
Richland Creek,2010-06-04,47
Richland Creek,2010-06-05,41
Richland Creek,2010-06-06,34
Richland Creek,2010-06-07,52
Richland Creek,2010-06-08,45
Richland Creek,2010-06-09,33
Richland Creek,2010-06-10,29
Richland Creek,2010-06-11,73
Richland Creek,2010-06-12,109
Richland Creek,2010-06-13,66
Richland Creek,2010-06-14,47
Richland Creek,2010-06-15,41
Richland Creek,2010-06-16,33
Richland Creek,2010-06-17,27
Richland Creek,2010-06-18,23
Richland Creek,2010-06-19,23
Richland Creek,2010-06-20,16
Richland Creek,2010-06-21,14
Richland Creek,2010-06-22,12
Richland Creek,2010-06-23,10
Richland Creek,2010-06-24,14
Richland Creek,2010-06-25,16
Richland Creek,2010-06-26,9
Richland Creek,2010-06-27,7.6
Richland Creek,2010-06-28,6.7
Richland Creek,2010-06-29,5.6
Richland Creek,2010-06-30,5
Richland Creek,2010-07-01,4.5
Richland Creek,2010-07-02,4.1
Richland Creek,2010-07-03,4.3
Richland Creek,2010-07-04,4.4
Richland Creek,2010-07-05,3.8
Richland Creek,2010-07-06,3.6
Richland Creek,2010-07-07,3.6
Richland Creek,2010-07-08,3.9
Richland Creek,2010-07-09,4.5
Richland Creek,2010-07-10,4.7
Richland Creek,2010-07-11,3.6
Richland Creek,2010-07-12,7.4
Richland Creek,2010-07-13,1150
Richland Creek,2010-07-14,363
Richland Creek,2010-07-15,336
Richland Creek,2010-07-16,703
Richland Creek,2010-07-17,375
Richland Creek,2010-07-18,299
Richland Creek,2010-07-19,239
Richland Creek,2010-07-20,194
Richland Creek,2010-07-21,168
Richland Creek,2010-07-22,150
Richland Creek,2010-07-23,135
Richland Creek,2010-07-24,123
Richland Creek,2010-07-25,113
Richland Creek,2010-07-26,104
Richland Creek,2010-07-27,92
Richland Creek,2010-07-28,77
Richland Creek,2010-07-29,70
Richland Creek,2010-07-30,64
Richland Creek,2010-07-31,58
Richland Creek,2010-08-01,50
Richland Creek,2010-08-02,44
Richland Creek,2010-08-03,39
Richland Creek,2010-08-04,34
Richland Creek,2010-08-05,30
Richland Creek,2010-08-06,28
Richland Creek,2010-08-07,25
Richland Creek,2010-08-08,23
Richland Creek,2010-08-09,20
Richland Creek,2010-08-10,18
Richland Creek,2010-08-11,16
Richland Creek,2010-08-12,14
Richland Creek,2010-08-13,13
Richland Creek,2010-08-14,11
Richland Creek,2010-08-15,9.8
Richland Creek,2010-08-16,8.6
Richland Creek,2010-08-17,7.7
Richland Creek,2010-08-18,6.9
Richland Creek,2010-08-19,6.1
Richland Creek,2010-08-20,5
Richland Creek,2010-08-21,4.2
Richland Creek,2010-08-22,3.6
Richland Creek,2010-08-23,3.2
Richland Creek,2010-08-24,2.7
Richland Creek,2010-08-25,2.2
Richland Creek,2010-08-26,1.8
Richland Creek,2010-08-27,1.6
Richland Creek,2010-08-28,1.6
