Site,Date,Flow
Richland Creek,2013-10-22,19
Richland Creek,2013-10-23,19
Richland Creek,2013-10-24,18
Richland Creek,2013-10-25,17
Richland Creek,2013-10-26,16
Richland Creek,2013-10-27,15
Richland Creek,2013-10-28,14
Richland Creek,2013-10-29,12
Richland Creek,2013-10-30,12
Richland Creek,2013-10-31,14
Richland Creek,2013-11-01,15
Richland Creek,2013-11-02,14
Richland Creek,2013-11-03,13
Richland Creek,2013-11-04,11
Richland Creek,2013-11-05,11
Richland Creek,2013-11-06,14
Richland Creek,2013-11-07,30
Richland Creek,2013-11-08,44
Richland Creek,2013-11-09,41
Richland Creek,2013-11-10,37
Richland Creek,2013-11-11,32
Richland Creek,2013-11-12,24
Richland Creek,2013-11-13,23
Richland Creek,2013-11-14,20
Richland Creek,2013-11-15,19
Richland Creek,2013-11-16,17
Richland Creek,2013-11-17,16
Richland Creek,2013-11-18,16
Richland Creek,2013-11-19,15
Richland Creek,2013-11-20,14
Richland Creek,2013-11-21,41
Richland Creek,2013-11-22,110
Richland Creek,2013-11-23,85
Richland Creek,2013-11-24,72
Richland Creek,2013-11-25,59
Richland Creek,2013-11-26,52
Richland Creek,2013-11-27,45
Richland Creek,2013-11-28,40
Richland Creek,2013-11-29,36
Richland Creek,2013-11-30,32
Richland Creek,2013-12-01,29
Richland Creek,2013-12-02,26
Richland Creek,2013-12-03,25
Richland Creek,2013-12-04,22
Richland Creek,2013-12-05,23
Richland Creek,2013-12-06,26
Richland Creek,2013-12-07,27
Richland Creek,2013-12-08,26
Richland Creek,2013-12-09,26
Richland Creek,2013-12-10,28
Richland Creek,2013-12-11,31
Richland Creek,2013-12-12,33
Richland Creek,2013-12-13,36
Richland Creek,2013-12-14,213
Richland Creek,2013-12-15,248
Richland Creek,2013-12-16,200
Richland Creek,2013-12-17,221
Richland Creek,2013-12-18,197
Richland Creek,2013-12-19,161
Richland Creek,2013-12-20,143
Richland Creek,2013-12-21,1160
Richland Creek,2013-12-22,680
Richland Creek,2013-12-23,428
Richland Creek,2013-12-24,340
Richland Creek,2013-12-25,286
Richland Creek,2013-12-26,226
Richland Creek,2013-12-27,181
Richland Creek,2013-12-28,152
Richland Creek,2013-12-29,137
Richland Creek,2013-12-30,115
Richland Creek,2013-12-31,96
Richland Creek,2014-01-01,85
Richland Creek,2014-01-02,75
Richland Creek,2014-01-03,72
Richland Creek,2014-01-04,60
Richland Creek,2014-01-05,151
Richland Creek,2014-01-06,182
Richland Creek,2014-01-07,124
Richland Creek,2014-01-08,122
Richland Creek,2014-01-09,140
Richland Creek,2014-01-10,343
Richland Creek,2014-01-11,520
Richland Creek,2014-01-12,367
Richland Creek,2014-01-13,307
Richland Creek,2014-01-14,250
Richland Creek,2014-01-15,203
Richland Creek,2014-01-16,168
Richland Creek,2014-01-17,143
Richland Creek,2014-01-18,138
Richland Creek,2014-01-19,112
Richland Creek,2014-01-20,108
Richland Creek,2014-01-21,91
Richland Creek,2014-01-22,82
Richland Creek,2014-01-23,75
Richland Creek,2014-01-24,68
Richland Creek,2014-01-25,61
Richland Creek,2014-01-26,60
Richland Creek,2014-01-27,49
Richland Creek,2014-01-28,42
Richland Creek,2014-01-29,46
Richland Creek,2014-01-30,42
Richland Creek,2014-01-31,41
Richland Creek,2014-02-01,42
Richland Creek,2014-02-02,51
Richland Creek,2014-02-03,54
Richland Creek,2014-02-04,54
Richland Creek,2014-02-05,53
Richland Creek,2014-02-06,53
Richland Creek,2014-02-07,47
Richland Creek,2014-02-08,45
Richland Creek,2014-02-09,44
Richland Creek,2014-02-10,44
Richland Creek,2014-02-11,42
Richland Creek,2014-02-12,42
Richland Creek,2014-02-13,43
Richland Creek,2014-02-14,49
Richland Creek,2014-02-15,61
Richland Creek,2014-02-16,62
Richland Creek,2014-02-17,58
Richland Creek,2014-02-18,56
Richland Creek,2014-02-19,55
Richland Creek,2014-02-20,51
Richland Creek,2014-02-21,49
Richland Creek,2014-02-22,46
Richland Creek,2014-02-23,43
Richland Creek,2014-02-24,42
Richland Creek,2014-02-25,41
Richland Creek,2014-02-26,41
Richland Creek,2014-02-27,40
Richland Creek,2014-02-28,41
Richland Creek,2014-03-01,40
Richland Creek,2014-03-02,41
Richland Creek,2014-03-03,45
Richland Creek,2014-03-04,43
Richland Creek,2014-03-05,43
Richland Creek,2014-03-06,67
Richland Creek,2014-03-07,304
Richland Creek,2014-03-08,358
Richland Creek,2014-03-09,315
Richland Creek,2014-03-10,263
Richland Creek,2014-03-11,210
Richland Creek,2014-03-12,161
Richland Creek,2014-03-13,146
Richland Creek,2014-03-14,126
Richland Creek,2014-03-15,114
Richland Creek,2014-03-16,2810
Richland Creek,2014-03-17,900
Richland Creek,2014-03-18,533
Richland Creek,2014-03-19,404
Richland Creek,2014-03-20,340
Richland Creek,2014-03-21,297
Richland Creek,2014-03-22,254
Richland Creek,2014-03-23,204
Richland Creek,2014-03-24,172
Richland Creek,2014-03-25,143
Richland Creek,2014-03-26,123
Richland Creek,2014-03-27,106
Richland Creek,2014-03-28,147
Richland Creek,2014-03-29,460
Richland Creek,2014-03-30,320
Richland Creek,2014-03-31,261
Richland Creek,2014-04-01,245
Richland Creek,2014-04-02,208
Richland Creek,2014-04-03,211
Richland Creek,2014-04-04,707
Richland Creek,2014-04-05,405
Richland Creek,2014-04-06,338
Richland Creek,2014-04-07,974
Richland Creek,2014-04-08,573
Richland Creek,2014-04-09,461
Richland Creek,2014-04-10,381
Richland Creek,2014-04-11,331
Richland Creek,2014-04-12,290
Richland Creek,2014-04-13,249
Richland Creek,2014-04-14,338
Richland Creek,2014-04-15,285
Richland Creek,2014-04-16,230
Richland Creek,2014-04-17,186
Richland Creek,2014-04-18,155
Richland Creek,2014-04-19,134
Richland Creek,2014-04-20,117
Richland Creek,2014-04-21,107
Richland Creek,2014-04-22,98
Richland Creek,2014-04-23,82
Richland Creek,2014-04-24,74
Richland Creek,2014-04-25,69
Richland Creek,2014-04-26,63
Richland Creek,2014-04-27,59
Richland Creek,2014-04-28,72
Richland Creek,2014-04-29,75
Richland Creek,2014-04-30,51
Richland Creek,2014-05-01,48
Richland Creek,2014-05-02,42
Richland Creek,2014-05-03,36
Richland Creek,2014-05-04,31
Richland Creek,2014-05-05,28
Richland Creek,2014-05-06,25
Richland Creek,2014-05-07,23
Richland Creek,2014-05-08,24
Richland Creek,2014-05-09,52
Richland Creek,2014-05-10,52
Richland Creek,2014-05-11,36
Richland Creek,2014-05-12,26
Richland Creek,2014-05-13,273
Richland Creek,2014-05-14,261
Richland Creek,2014-05-15,266
Richland Creek,2014-05-16,184
Richland Creek,2014-05-17,140
Richland Creek,2014-05-18,119
Richland Creek,2014-05-19,88
Richland Creek,2014-05-20,70
Richland Creek,2014-05-21,59
Richland Creek,2014-05-22,50
Richland Creek,2014-05-23,42
Richland Creek,2014-05-24,36
Richland Creek,2014-05-25,33
Richland Creek,2014-05-26,31
Richland Creek,2014-05-27,29
Richland Creek,2014-05-28,27
Richland Creek,2014-05-29,27
Richland Creek,2014-05-30,25
Richland Creek,2014-05-31,22
Richland Creek,2014-06-01,20
Richland Creek,2014-06-02,20
Richland Creek,2014-06-03,24
Richland Creek,2014-06-04,24
Richland Creek,2014-06-05,19
Richland Creek,2014-06-06,19
Richland Creek,2014-06-07,19
Richland Creek,2014-06-08,17
Richland Creek,2014-06-09,16
Richland Creek,2014-06-10,18
Richland Creek,2014-06-11,33
Richland Creek,2014-06-12,42
Richland Creek,2014-06-13,31
Richland Creek,2014-06-14,28
Richland Creek,2014-06-15,23
Richland Creek,2014-06-16,21
Richland Creek,2014-06-17,18
Richland Creek,2014-06-18,16
Richland Creek,2014-06-19,14
Richland Creek,2014-06-20,14
Richland Creek,2014-06-21,170
Richland Creek,2014-06-22,65
Richland Creek,2014-06-23,49
Richland Creek,2014-06-24,91
Richland Creek,2014-06-25,58
Richland Creek,2014-06-26,67
Richland Creek,2014-06-27,47
Richland Creek,2014-06-28,33
Richland Creek,2014-06-29,29
Richland Creek,2014-06-30,25
Richland Creek,2014-07-01,20
Richland Creek,2014-07-02,18
Richland Creek,2014-07-03,16
Richland Creek,2014-07-04,14
Richland Creek,2014-07-05,13
Richland Creek,2014-07-06,11
Richland Creek,2014-07-07,9.7
Richland Creek,2014-07-08,8.5
Richland Creek,2014-07-09,8.1
Richland Creek,2014-07-10,8.2
Richland Creek,2014-07-11,11
Richland Creek,2014-07-12,17
Richland Creek,2014-07-13,16
Richland Creek,2014-07-14,15
Richland Creek,2014-07-15,13
Richland Creek,2014-07-16,12
Richland Creek,2014-07-17,10
Richland Creek,2014-07-18,10
Richland Creek,2014-07-19,8.4
Richland Creek,2014-07-20,7.4
Richland Creek,2014-07-21,6.6
Richland Creek,2014-07-22,6
Richland Creek,2014-07-23,5.3
Richland Creek,2014-07-24,5.1
Richland Creek,2014-07-25,4.4
Richland Creek,2014-07-26,3.9
Richland Creek,2014-07-27,3.4
Richland Creek,2014-07-28,3.1
Richland Creek,2014-07-29,2.8
Richland Creek,2014-07-30,2.7
Richland Creek,2014-07-31,3.8
Richland Creek,2014-08-01,3.6
Richland Creek,2014-08-02,3.2
Richland Creek,2014-08-03,3.1
Richland Creek,2014-08-04,2.7
Richland Creek,2014-08-05,2.5
Richland Creek,2014-08-06,2.3
Richland Creek,2014-08-07,6.3
Richland Creek,2014-08-08,5.3
Richland Creek,2014-08-09,26
Richland Creek,2014-08-10,33
Richland Creek,2014-08-11,29
Richland Creek,2014-08-12,16
Richland Creek,2014-08-13,11
Richland Creek,2014-08-14,6.1
Richland Creek,2014-08-15,3.1
Richland Creek,2014-08-16,1.4
Richland Creek,2014-08-17,0.63
Richland Creek,2014-08-18,88
Richland Creek,2014-08-19,27
Richland Creek,2014-08-20,13
Richland Creek,2014-08-21,7.3
Richland Creek,2014-08-22,3.6
Richland Creek,2014-08-23,2.1
Richland Creek,2014-08-24,1.7
Richland Creek,2014-08-25,1.1
Richland Creek,2014-08-26,0.74
Richland Creek,2014-08-27,0.6
Richland Creek,2014-08-28,0.65
Richland Creek,2014-08-29,0.37
Richland Creek,2014-08-30,0.42
Richland Creek,2014-08-31,0.41
Richland Creek,2014-09-01,0.27
Richland Creek,2014-09-02,94
Richland Creek,2014-09-03,50
Richland Creek,2014-09-04,29
Richland Creek,2014-09-05,22
Richland Creek,2014-09-06,19
Richland Creek,2014-09-07,17
Richland Creek,2014-09-08,14
Richland Creek,2014-09-09,11
Richland Creek,2014-09-10,9.4
Richland Creek,2014-09-11,9
Richland Creek,2014-09-12,8.3
Richland Creek,2014-09-13,8.4
Richland Creek,2014-09-14,7.5
Richland Creek,2014-09-15,7.3
Richland Creek,2014-09-16,6.5
Richland Creek,2014-09-17,5.8
Richland Creek,2014-09-18,6.3
Richland Creek,2014-09-19,5.6
Richland Creek,2014-09-20,5.3
Richland Creek,2014-09-21,5.3
Richland Creek,2014-09-22,5.2
Richland Creek,2014-09-23,4.2
Richland Creek,2014-09-24,3.9
Richland Creek,2014-09-25,3.7
Richland Creek,2014-09-26,3.5
Richland Creek,2014-09-27,3.2
Richland Creek,2014-09-28,3.2
Richland Creek,2014-09-29,2.9
Richland Creek,2014-09-30,2.6
Richland Creek,2014-10-01,2.5
Richland Creek,2014-10-02,4
Richland Creek,2014-10-03,6.9
Richland Creek,2014-10-04,6.4
Richland Creek,2014-10-05,4.9
Richland Creek,2014-10-06,4.3
Richland Creek,2014-10-07,3.7
Richland Creek,2014-10-08,3.7
Richland Creek,2014-10-09,3.8
Richland Creek,2014-10-10,184
Richland Creek,2014-10-11,319
Richland Creek,2014-10-12,292
Richland Creek,2014-10-13,817
Richland Creek,2014-10-14,474
Richland Creek,2014-10-15,296
Richland Creek,2014-10-16,181
Richland Creek,2014-10-17,121
Richland Creek,2014-10-18,89
Richland Creek,2014-10-19,70
Richland Creek,2014-10-20,61
Richland Creek,2014-10-21,54
Richland Creek,2014-10-22,48
Richland Creek,2014-10-23,43
Richland Creek,2014-10-24,38
Richland Creek,2014-10-25,33
Richland Creek,2014-10-26,27
Richland Creek,2014-10-27,23
Richland Creek,2014-10-28,24
Richland Creek,2014-10-29,23
Richland Creek,2014-10-30,22
Richland Creek,2014-10-31,20
Richland Creek,2014-11-01,21
Richland Creek,2014-11-02,16
Richland Creek,2014-11-03,15
Richland Creek,2014-11-04,64
Richland Creek,2014-11-05,210
Richland Creek,2014-11-06,134
Richland Creek,2014-11-07,92
Richland Creek,2014-11-08,71
Richland Creek,2014-11-09,61
Richland Creek,2014-11-10,46
Richland Creek,2014-11-11,43
Richland Creek,2014-11-12,40
Richland Creek,2014-11-13,39
Richland Creek,2014-11-14,37
Richland Creek,2014-11-15,33
Richland Creek,2014-11-16,31
Richland Creek,2014-11-17,27
Richland Creek,2014-11-18,27
Richland Creek,2014-11-19,24
Richland Creek,2014-11-20,24
Richland Creek,2014-11-21,20
Richland Creek,2014-11-22,22
Richland Creek,2014-11-23,26
Richland Creek,2014-11-24,45
Richland Creek,2014-11-25,54
Richland Creek,2014-11-26,48
Richland Creek,2014-11-27,47
Richland Creek,2014-11-28,39
Richland Creek,2014-11-29,32
Richland Creek,2014-11-30,30
Richland Creek,2014-12-01,34
Richland Creek,2014-12-02,34
Richland Creek,2014-12-03,31
Richland Creek,2014-12-04,29
Richland Creek,2014-12-05,33
Richland Creek,2014-12-06,114
Richland Creek,2014-12-07,119
Richland Creek,2014-12-08,95
Richland Creek,2014-12-09,82
Richland Creek,2014-12-10,75
Richland Creek,2014-12-11,67
Richland Creek,2014-12-12,60
Richland Creek,2014-12-13,54
Richland Creek,2014-12-14,48
Richland Creek,2014-12-15,187
Richland Creek,2014-12-16,195
Richland Creek,2014-12-17,153
Richland Creek,2014-12-18,392
Richland Creek,2014-12-19,313
Richland Creek,2014-12-20,247
Richland Creek,2014-12-21,197
Richland Creek,2014-12-22,168
Richland Creek,2014-12-23,147
Richland Creek,2014-12-24,123
Richland Creek,2014-12-25,106
Richland Creek,2014-12-26,92
Richland Creek,2014-12-27,86
Richland Creek,2014-12-28,97
Richland Creek,2014-12-29,95
Richland Creek,2014-12-30,79
Richland Creek,2014-12-31,73
Richland Creek,2015-01-01,68
Richland Creek,2015-01-02,72
Richland Creek,2015-01-03,560
Richland Creek,2015-01-04,456
Richland Creek,2015-01-05,344
Richland Creek,2015-01-06,294
Richland Creek,2015-01-07,230
Richland Creek,2015-01-08,184
Richland Creek,2015-01-09,154
Richland Creek,2015-01-10,132
Richland Creek,2015-01-11,121
Richland Creek,2015-01-12,111
Richland Creek,2015-01-13,106
Richland Creek,2015-01-14,95
Richland Creek,2015-01-15,84
Richland Creek,2015-01-16,80
Richland Creek,2015-01-17,72
Richland Creek,2015-01-18,68
Richland Creek,2015-01-19,63
Richland Creek,2015-01-20,60
Richland Creek,2015-01-21,55
Richland Creek,2015-01-22,52
Richland Creek,2015-01-23,49
Richland Creek,2015-01-24,47
Richland Creek,2015-01-25,40
Richland Creek,2015-01-26,43
Richland Creek,2015-01-27,41
Richland Creek,2015-01-28,35
Richland Creek,2015-01-29,36
Richland Creek,2015-01-30,37
Richland Creek,2015-01-31,33
Richland Creek,2015-02-01,33
Richland Creek,2015-02-02,40
Richland Creek,2015-02-03,39
Richland Creek,2015-02-04,38
Richland Creek,2015-02-05,38
Richland Creek,2015-02-06,33
Richland Creek,2015-02-07,31
Richland Creek,2015-02-08,33
Richland Creek,2015-02-09,32
Richland Creek,2015-02-10,32
Richland Creek,2015-02-11,29
Richland Creek,2015-02-12,29
Richland Creek,2015-02-13,28
Richland Creek,2015-02-14,26
Richland Creek,2015-02-15,26
Richland Creek,2015-02-16,29
Richland Creek,2015-02-17,30
Richland Creek,2015-02-18,28
Richland Creek,2015-02-19,28
Richland Creek,2015-02-20,26
Richland Creek,2015-02-21,148
Richland Creek,2015-02-22,289
Richland Creek,2015-02-23,191
Richland Creek,2015-02-24,149
Richland Creek,2015-02-25,132
Richland Creek,2015-02-26,106
Richland Creek,2015-02-27,99
Richland Creek,2015-02-28,89
Richland Creek,2015-03-01,89
Richland Creek,2015-03-02,131
Richland Creek,2015-03-03,205
Richland Creek,2015-03-04,441
Richland Creek,2015-03-05,487
Richland Creek,2015-03-06,419
Richland Creek,2015-03-07,410
Richland Creek,2015-03-08,376
Richland Creek,2015-03-09,337
Richland Creek,2015-03-10,535
Richland Creek,2015-03-11,430
Richland Creek,2015-03-12,364
Richland Creek,2015-03-13,711
Richland Creek,2015-03-14,1300
Richland Creek,2015-03-15,636
Richland Creek,2015-03-16,487
Richland Creek,2015-03-17,411
Richland Creek,2015-03-18,396
Richland Creek,2015-03-19,410
Richland Creek,2015-03-20,363
Richland Creek,2015-03-21,328
Richland Creek,2015-03-22,299
Richland Creek,2015-03-23,273
Richland Creek,2015-03-24,232
Richland Creek,2015-03-25,205
Richland Creek,2015-03-26,906
Richland Creek,2015-03-27,529
Richland Creek,2015-03-28,417
Richland Creek,2015-03-29,359
Richland Creek,2015-03-30,317
Richland Creek,2015-03-31,280
Richland Creek,2015-04-01,245
Richland Creek,2015-04-02,215
Richland Creek,2015-04-03,181
Richland Creek,2015-04-04,161
Richland Creek,2015-04-05,145
Richland Creek,2015-04-06,144
Richland Creek,2015-04-07,123
Richland Creek,2015-04-08,107
Richland Creek,2015-04-09,93
Richland Creek,2015-04-10,134
Richland Creek,2015-04-11,106
Richland Creek,2015-04-12,87
Richland Creek,2015-04-13,110
Richland Creek,2015-04-14,448
Richland Creek,2015-04-15,344
Richland Creek,2015-04-16,299
Richland Creek,2015-04-17,281
Richland Creek,2015-04-18,230
Richland Creek,2015-04-19,210
Richland Creek,2015-04-20,282
Richland Creek,2015-04-21,186
Richland Creek,2015-04-22,148
Richland Creek,2015-04-23,128
Richland Creek,2015-04-24,166
Richland Creek,2015-04-25,120
Richland Creek,2015-04-26,98
Richland Creek,2015-04-27,84
Richland Creek,2015-04-28,77
Richland Creek,2015-04-29,67
Richland Creek,2015-04-30,60
War Eagle Creek,2009-07-01,67
War Eagle Creek,2009-07-02,58
War Eagle Creek,2009-07-03,57
War Eagle Creek,2009-07-04,55
War Eagle Creek,2009-07-05,50
War Eagle Creek,2009-07-06,42
War Eagle Creek,2009-07-07,37
War Eagle Creek,2009-07-08,37
War Eagle Creek,2009-07-09,40
War Eagle Creek,2009-07-10,37
War Eagle Creek,2009-07-11,35
War Eagle Creek,2009-07-12,32
War Eagle Creek,2009-07-13,34
War Eagle Creek,2009-07-14,34
War Eagle Creek,2009-07-15,33
War Eagle Creek,2009-07-16,30
War Eagle Creek,2009-07-17,28
War Eagle Creek,2009-07-18,26
War Eagle Creek,2009-07-19,24
War Eagle Creek,2009-07-20,24
War Eagle Creek,2009-07-21,99
War Eagle Creek,2009-07-22,115
War Eagle Creek,2009-07-23,75
War Eagle Creek,2009-07-24,52
War Eagle Creek,2009-07-25,39
War Eagle Creek,2009-07-26,33
War Eagle Creek,2009-07-27,29
War Eagle Creek,2009-07-28,30
War Eagle Creek,2009-07-29,35
War Eagle Creek,2009-07-30,32
War Eagle Creek,2009-07-31,28
War Eagle Creek,2009-08-01,32
War Eagle Creek,2009-08-02,32
War Eagle Creek,2009-08-03,25
War Eagle Creek,2009-08-04,22
War Eagle Creek,2009-08-05,21
War Eagle Creek,2009-08-06,19
War Eagle Creek,2009-08-07,18
War Eagle Creek,2009-08-08,16
War Eagle Creek,2009-08-09,15
War Eagle Creek,2009-08-10,17
War Eagle Creek,2009-08-11,39
War Eagle Creek,2009-08-12,53
War Eagle Creek,2009-08-13,35
War Eagle Creek,2009-08-14,25
War Eagle Creek,2009-08-15,20
War Eagle Creek,2009-08-16,16
War Eagle Creek,2009-08-17,15
War Eagle Creek,2009-08-18,15
War Eagle Creek,2009-08-19,15
War Eagle Creek,2009-08-20,19
War Eagle Creek,2009-08-21,28
War Eagle Creek,2009-08-22,31
War Eagle Creek,2009-08-23,23
War Eagle Creek,2009-08-24,17
War Eagle Creek,2009-08-25,15
War Eagle Creek,2009-08-26,15
War Eagle Creek,2009-08-27,14
War Eagle Creek,2009-08-28,14
War Eagle Creek,2009-08-29,14
War Eagle Creek,2009-08-30,14
War Eagle Creek,2009-08-31,13
War Eagle Creek,2009-09-01,12
War Eagle Creek,2009-09-02,14
War Eagle Creek,2009-09-03,15
War Eagle Creek,2009-09-04,15
War Eagle Creek,2009-09-05,19
War Eagle Creek,2009-09-06,48
War Eagle Creek,2009-09-07,78
War Eagle Creek,2009-09-08,53
War Eagle Creek,2009-09-09,51
War Eagle Creek,2009-09-10,92
War Eagle Creek,2009-09-11,52
War Eagle Creek,2009-09-12,36
War Eagle Creek,2009-09-13,30
War Eagle Creek,2009-09-14,28
War Eagle Creek,2009-09-15,28
War Eagle Creek,2009-09-16,142
War Eagle Creek,2009-09-17,495
War Eagle Creek,2009-09-18,317
War Eagle Creek,2009-09-19,226
War Eagle Creek,2009-09-20,171
War Eagle Creek,2009-09-21,135
War Eagle Creek,2009-09-22,2980
War Eagle Creek,2009-09-23,908
War Eagle Creek,2009-09-24,505
War Eagle Creek,2009-09-25,352
War Eagle Creek,2009-09-26,261
War Eagle Creek,2009-09-27,199
War Eagle Creek,2009-09-28,155
War Eagle Creek,2009-09-29,123
War Eagle Creek,2009-09-30,98
War Eagle Creek,2009-10-01,83
War Eagle Creek,2009-10-02,70
War Eagle Creek,2009-10-03,57
War Eagle Creek,2009-10-04,48
War Eagle Creek,2009-10-05,41
War Eagle Creek,2009-10-06,54
War Eagle Creek,2009-10-07,101
War Eagle Creek,2009-10-08,178
War Eagle Creek,2009-10-09,14800
War Eagle Creek,2009-10-10,4010
War Eagle Creek,2009-10-11,1370
War Eagle Creek,2009-10-12,916
War Eagle Creek,2009-10-13,1590
War Eagle Creek,2009-10-14,1980
War Eagle Creek,2009-10-15,1110
War Eagle Creek,2009-10-16,801
War Eagle Creek,2009-10-17,626
War Eagle Creek,2009-10-18,524
War Eagle Creek,2009-10-19,454
War Eagle Creek,2009-10-20,402
War Eagle Creek,2009-10-21,359
War Eagle Creek,2009-10-22,350
War Eagle Creek,2009-10-23,619
War Eagle Creek,2009-10-24,555
War Eagle Creek,2009-10-25,457
War Eagle Creek,2009-10-26,412
War Eagle Creek,2009-10-27,512
War Eagle Creek,2009-10-28,688
War Eagle Creek,2009-10-29,753
War Eagle Creek,2009-10-30,4170
War Eagle Creek,2009-10-31,1720
War Eagle Creek,2009-11-01,1010
War Eagle Creek,2009-11-02,755
War Eagle Creek,2009-11-03,611
War Eagle Creek,2009-11-04,517
War Eagle Creek,2009-11-05,451
War Eagle Creek,2009-11-06,403
War Eagle Creek,2009-11-07,368
War Eagle Creek,2009-11-08,336
War Eagle Creek,2009-11-09,307
War Eagle Creek,2009-11-10,283
War Eagle Creek,2009-11-11,263
War Eagle Creek,2009-11-12,246
War Eagle Creek,2009-11-13,234
War Eagle Creek,2009-11-14,222
War Eagle Creek,2009-11-15,214
War Eagle Creek,2009-11-16,317
War Eagle Creek,2009-11-17,505
War Eagle Creek,2009-11-18,388
War Eagle Creek,2009-11-19,332
War Eagle Creek,2009-11-20,299
War Eagle Creek,2009-11-21,275
War Eagle Creek,2009-11-22,258
War Eagle Creek,2009-11-23,243
War Eagle Creek,2009-11-24,237
War Eagle Creek,2009-11-25,249
War Eagle Creek,2009-11-26,248
War Eagle Creek,2009-11-27,227
War Eagle Creek,2009-11-28,214
War Eagle Creek,2009-11-29,208
War Eagle Creek,2009-11-30,203
War Eagle Creek,2009-12-01,201
War Eagle Creek,2009-12-02,192
War Eagle Creek,2009-12-03,184
War Eagle Creek,2009-12-04,173
War Eagle Creek,2009-12-05,162
War Eagle Creek,2009-12-06,155
War Eagle Creek,2009-12-07,150
War Eagle Creek,2009-12-08,155
War Eagle Creek,2009-12-09,163
War Eagle Creek,2009-12-10,184
War Eagle Creek,2009-12-11,168
War Eagle Creek,2009-12-12,157
War Eagle Creek,2009-12-13,153
War Eagle Creek,2009-12-14,152
War Eagle Creek,2009-12-15,144
War Eagle Creek,2009-12-16,135
War Eagle Creek,2009-12-17,130
War Eagle Creek,2009-12-18,127
War Eagle Creek,2009-12-19,123
War Eagle Creek,2009-12-20,119
War Eagle Creek,2009-12-21,114
War Eagle Creek,2009-12-22,112
War Eagle Creek,2009-12-23,115
War Eagle Creek,2009-12-24,153
War Eagle Creek,2009-12-25,991
War Eagle Creek,2009-12-26,703
War Eagle Creek,2009-12-27,518
War Eagle Creek,2009-12-28,422
War Eagle Creek,2009-12-29,361
War Eagle Creek,2009-12-30,333
War Eagle Creek,2009-12-31,324
War Eagle Creek,2010-01-01,304
War Eagle Creek,2010-01-02,273
War Eagle Creek,2010-01-03,256
War Eagle Creek,2010-01-04,243
War Eagle Creek,2010-01-05,222
War Eagle Creek,2010-01-06,208
War Eagle Creek,2010-01-07,202
War Eagle Creek,2010-01-08,183
War Eagle Creek,2010-01-09,170
War Eagle Creek,2010-01-10,159
War Eagle Creek,2010-01-11,148
War Eagle Creek,2010-01-12,146
War Eagle Creek,2010-01-13,143
War Eagle Creek,2010-01-14,144
War Eagle Creek,2010-01-15,149
War Eagle Creek,2010-01-16,156
War Eagle Creek,2010-01-17,155
War Eagle Creek,2010-01-18,146
War Eagle Creek,2010-01-19,139
War Eagle Creek,2010-01-20,138
War Eagle Creek,2010-01-21,251
War Eagle Creek,2010-01-22,431
War Eagle Creek,2010-01-23,369
War Eagle Creek,2010-01-24,952
War Eagle Creek,2010-01-25,647
War Eagle Creek,2010-01-26,322
War Eagle Creek,2010-01-27,297
War Eagle Creek,2010-01-28,366
War Eagle Creek,2010-01-29,434
War Eagle Creek,2010-01-30,501
War Eagle Creek,2010-01-31,570
War Eagle Creek,2010-02-01,638
War Eagle Creek,2010-02-02,670
War Eagle Creek,2010-02-03,710
War Eagle Creek,2010-02-04,958
War Eagle Creek,2010-02-05,2290
War Eagle Creek,2010-02-06,1780
War Eagle Creek,2010-02-07,1200
War Eagle Creek,2010-02-08,975
War Eagle Creek,2010-02-09,844
War Eagle Creek,2010-02-10,686
War Eagle Creek,2010-02-11,602
War Eagle Creek,2010-02-12,551
War Eagle Creek,2010-02-13,521
War Eagle Creek,2010-02-14,529
War Eagle Creek,2010-02-15,493
War Eagle Creek,2010-02-16,432
War Eagle Creek,2010-02-17,386
War Eagle Creek,2010-02-18,350
War Eagle Creek,2010-02-19,322
War Eagle Creek,2010-02-20,299
War Eagle Creek,2010-02-21,336
War Eagle Creek,2010-02-22,854
War Eagle Creek,2010-02-23,606
War Eagle Creek,2010-02-24,483
War Eagle Creek,2010-02-25,406
War Eagle Creek,2010-02-26,359
War Eagle Creek,2010-02-27,318
War Eagle Creek,2010-02-28,283
War Eagle Creek,2010-03-01,253
War Eagle Creek,2010-03-02,229
War Eagle Creek,2010-03-03,207
War Eagle Creek,2010-03-04,189
War Eagle Creek,2010-03-05,174
War Eagle Creek,2010-03-06,161
War Eagle Creek,2010-03-07,150
War Eagle Creek,2010-03-08,142
War Eagle Creek,2010-03-09,143
War Eagle Creek,2010-03-10,156
War Eagle Creek,2010-03-11,157
War Eagle Creek,2010-03-12,157
War Eagle Creek,2010-03-13,144
War Eagle Creek,2010-03-14,136
War Eagle Creek,2010-03-15,126
War Eagle Creek,2010-03-16,117
War Eagle Creek,2010-03-17,109
War Eagle Creek,2010-03-18,105
War Eagle Creek,2010-03-19,102
War Eagle Creek,2010-03-20,109
War Eagle Creek,2010-03-21,405
War Eagle Creek,2010-03-22,965
War Eagle Creek,2010-03-23,2590
War Eagle Creek,2010-03-24,2090
War Eagle Creek,2010-03-25,1750
War Eagle Creek,2010-03-26,1710
War Eagle Creek,2010-03-27,1050
War Eagle Creek,2010-03-28,868
War Eagle Creek,2010-03-29,670
War Eagle Creek,2010-03-30,553
War Eagle Creek,2010-03-31,474
