"","Site","Const","I_10","I_1000"
"1","FC12","NO3",0.15,0.15
"2","FC12","TN",0.6,0.15
"3","FC12","SRP",0.875,0.85
"4","FC12","TP",0.725,0.7
"5","FC12","TSS",0.775,0.725
"6","FC12","Cl",0.275,0.15
"7","FC12","SO4",0.725,0.725
