"","SO4.Date","SO4.Flow","SO4.concentrations.SO4","lnC","lnQ"
"1",2009-07-07,8.7,4.572,1.51995074593256,2.16332302566054
"2",2009-07-14,7.2,4.113,1.41415268924829,1.97408102602201
"3",2009-07-21,9,3.804,1.33605314468314,2.19722457733622
"4",2009-07-28,7,4.094,1.4095224872391,1.94591014905531
"5",2009-08-04,6.4,3.728,1.31587189682334,1.85629799036563
"6",2009-08-11,8,3.538,1.26356159573759,2.07944154167984
"7",2009-08-18,6.6,3.6,1.28093384546206,1.88706964903238
"8",2009-08-25,5.7,3.565,1.27116405386626,1.7404661748405
"9",2009-09-01,6,3.551,1.26722925396095,1.79175946922805
"10",2009-09-08,6,27.33,3.30798499993998,1.79175946922805
"11",2009-09-15,8.2,3.7855,1.33117797856122,2.10413415427021
"12",2009-09-22,19,4.426,1.48749624162886,2.94443897916644
"13",2009-09-29,6.6,4.017,1.39053535537715,1.88706964903238
"14",2009-10-06,6.1,3.676,1.30182520449344,1.80828877117927
"15",2009-10-09,334,4.371,1.47499181588118,5.8111409929767
"16",2009-10-13,42,7.895,2.06622964770761,3.73766961828337
"17",2009-10-20,22,6.742,1.90835661681187,3.09104245335832
"18",2009-10-27,148,6.616,1.88949095772139,4.99721227376411
"19",2009-11-03,81,7.547,2.02115013330273,4.39444915467244
"20",2009-11-10,13,6.018,1.79475497820785,2.56494935746154
"21",2009-11-17,10,5.071,1.62353803681288,2.30258509299405
"22",2009-11-23,9.3,13.5225,2.60435496476344,2.23001440015921
"23",2009-12-01,7.9,4.352,1.47063550955364,2.06686275947298
"24",2009-12-08,7.9,4.075,1.40487074669283,2.06686275947298
"25",2009-12-15,7.2,4.019,1.39103311546706,1.97408102602201
"26",2009-12-21,8.2,4.087,1.40781120458214,2.10413415427021
"27",2009-12-29,10,4.224,1.44078254640396,2.30258509299405
"28",2010-01-05,10,4.736,1.5551928975817,2.30258509299405
"29",2010-01-12,8.3,4.429,1.48817382494106,2.11625551480255
"30",2010-01-19,8.4,4.209,1.43722508978843,2.12823170584927
"31",2010-01-26,13,5.916,1.77766054484855,2.56494935746154
"32",2010-02-03,15,5.428,1.69157074197262,2.70805020110221
"33",2010-02-10,27,7.135,1.9650122509288,3.29583686600433
"34",2010-02-16,16,6.263,1.83465930354328,2.77258872223978
"35",2010-02-23,17,5.753,1.74972145788116,2.83321334405622
"36",2010-03-02,12,5.431,1.69212327905271,2.484906649788
"37",2010-03-08,14,30.275,3.41032228943916,2.63905732961526
"38",2010-03-16,9.6,4.49,1.50185270175416,2.26176309847379
"39",2010-03-22,42,4.779,1.56423131959602,3.73766961828337
"40",2010-03-30,72,7.444,2.00740833878,4.27666611901606
"41",2010-04-07,48,5.844,1.76541549388845,3.87120101090789
"42",2010-04-13,38,5.067,1.62274892649377,3.63758615972639
"43",2010-04-20,34,4.446,1.492004815542,3.52636052461616
"44",2010-04-27,35,4.335,1.46672161023251,3.55534806148941
"45",2010-05-04,32,4.166,1.42695634283878,3.46573590279973
"46",2010-05-11,32,3.995,1.38504357921824,3.46573590279973
"47",2010-05-14,68,3.45,1.23837423104327,4.21950770517611
"48",2010-05-18,68,6.262,1.83449962290421,4.21950770517611
"49",2010-05-20,261,4.372,1.47522057031429,5.56452040732269
"50",2010-05-26,92,6.75,1.90954250488444,4.52178857704904
"51",2010-06-01,23,6.388,1.85442123035277,3.13549421592915
"52",2010-06-08,12,5.372,1.68120027866099,2.484906649788
"53",2010-06-15,12,4.3715,1.47510619963881,2.484906649788
"54",2010-06-23,7.3,4.598,1.52562142634099,1.98787434815435
"55",2010-08-04,5.5,3.829,1.34260367249516,1.70474809223843
"56",2010-08-09,5.3,3.662,1.29800944625232,1.66770682055808
"57",2010-08-18,5.1,3.577,1.27452446027688,1.62924053973028
"58",2010-08-25,4.2,3.482,1.247606841346,1.43508452528932
"59",2010-09-02,5.9,3.414,1.22788462437225,1.77495235091167
"60",2010-09-08,5.3,3.525,1.25988043626423,1.66770682055808
"61",2010-09-15,10,4.529,1.51050116457408,2.30258509299405
"62",2010-09-23,5.5,3.682,1.30345608281089,1.70474809223843
"63",2010-09-30,5.8,3.5195,1.25831893406605,1.75785791755237
"64",2010-10-07,5.2,3.464,1.24242399070019,1.64865862558738
"65",2010-10-13,5.5,3.396,1.2225982684491,1.70474809223843
"66",2010-10-21,6,3.294,1.19210263175545,1.79175946922805
"67",2010-10-28,6.9,3.358,1.21134555865535,1.93152141160321
"68",2010-11-03,6.8,3.234,1.17371976115492,1.91692261218206
"69",2010-11-11,6.8,3.281,1.18814825397896,1.91692261218206
"70",2010-11-16,6.9,3.218,1.16876004857019,1.93152141160321
"71",2010-11-29,7.5,3.682,1.30345608281089,2.01490302054226
"72",2010-12-09,5.8,3.285,1.18936665193657,1.75785791755237
"73",2010-12-16,5.7,3.267,1.18387213261893,1.7404661748405
"74",2011-01-06,5.4,3.173,1.15467751260106,1.68639895357023
"75",2011-01-12,5.1,3.215,1.16782735768958,1.62924053973028
"76",2011-01-21,5.2,3.171,1.15404699555621,1.64865862558738
"77",2011-01-26,5,3.143,1.14517775781543,1.6094379124341
"78",2011-02-06,6,3.183,1.15782414829996,1.79175946922805
"79",2011-02-12,6.2,3.376,1.21669157673371,1.82454929205105
"80",2011-02-15,14,4.593,1.52453340534366,2.63905732961526
"81",2011-02-24,11,5.072,1.62373521713492,2.39789527279837
"82",2011-03-01,9.1,5.211,1.65077177592708,2.2082744135228
"83",2011-03-08,6.7,4.419,1.4859134261486,1.90210752639692
"84",2011-03-14,11,4.192,1.43317794701874,2.39789527279837
"85",2011-03-31,4.9,3.937,1.3704190119616,1.58923520511658
"86",2011-04-07,4,3.807,1.33684147740036,1.38629436111989
"87",2011-04-14,4.4,3.703,1.30914330193148,1.48160454092422
"88",2011-04-20,4.2,3.443,1.23634318435639,1.43508452528932
"89",2011-04-23,116,5.638,1.72952939269192,4.75359019110636
"90",2011-04-25,1120,6.326,1.84466812488346,7.02108396428914
"91",2011-04-25,1120,6.05,1.80005827204275,7.02108396428914
"92",2011-05-11,3.5,6.454,1.86470009362977,1.25276296849537
"93",2011-05-18,2.2,5.309,1.66940349360153,0.78845736036427
"94",2011-05-23,331,3.997,1.38554407972919,5.80211837537706
"95",2011-06-09,13,5.355,1.67803070389971,2.56494935746154
"96",2011-06-15,9.6,4.683,1.5439389302014,2.26176309847379
"97",2011-07-14,10,3.702,1.30887321415131,2.30258509299405
"98",2011-07-20,6.1,3.644,1.29308197939771,1.80828877117927
"99",2011-07-28,4.8,3.693,1.30643913587043,1.56861591791385
"100",2011-08-04,3.8,3.677,1.30209720231914,1.33500106673234
"101",2011-08-31,4.6,3.547,1.26610217579148,1.52605630349505
"102",2011-09-07,4,3.608,1.28315360220038,1.38629436111989
"103",2011-09-15,5,3.282,1.1884529926679,1.6094379124341
"104",2011-09-21,7.9,4.1,1.41098697371026,2.06686275947298
"105",2011-09-29,7.6,4.476,1.49872979044968,2.02814824729229
"106",2011-10-05,4.6,4.063,1.40192161700559,1.52605630349505
"107",2011-10-12,30,4.885,1.58616928549475,3.40119738166216
"108",2011-10-27,11,4.232,1.442674694556,2.39789527279837
"109",2011-11-02,8.9,3.866,1.35222038078614,2.18605127673809
"110",2011-11-08,73,5.749,1.74902592664115,4.29045944114839
"111",2011-11-16,21,7.178,1.97102079272542,3.04452243772342
"112",2011-11-30,14,6.543,1.8783957758876,2.63905732961526
"113",2011-12-07,12,6.156,1.81742721597663,2.484906649788
"114",2012-01-04,6.4,4.956,1.6005989637669,1.85629799036563
"115",2012-01-12,5.8,4.745,1.55709143206189,1.75785791755237
"116",2012-01-18,5.4,4.235,1.44338332810402,1.68639895357023
"117",2012-01-25,16,4.185,1.43150670394144,2.77258872223978
"118",2012-02-01,10,5.107,1.63061214766551,2.30258509299405
"119",2012-02-08,11,5.6325,1.72855339332426,2.39789527279837
"120",2012-02-15,9.4,57.614,4.05376559372418,2.24070968927596
"121",2012-02-29,7.5,4.234,1.44314717271267,2.01490302054226
"122",2012-03-15,7.3,3.623,1.28730241191294,1.98787434815435
"123",2012-03-20,43,3.946,1.37270240760042,3.76120011569356
"124",2012-03-28,24,7.173,1.9703239771443,3.17805383034795
"125",2012-04-11,8.3,4.862,1.58144987589393,2.11625551480255
"126",2012-04-18,10,3.856,1.3496303767483,2.30258509299405
"127",2012-04-25,7,3.843,1.34625331158271,1.94591014905531
"128",2012-05-01,9.2,4.057,1.40044378422431,2.21920348405499
"129",2012-05-09,5.9,3.754,1.32282193816432,1.77495235091167
"130",2012-05-17,4.8,3.646,1.29363067625647,1.56861591791385
"131",2012-05-23,4.2,3.75,1.32175583998232,1.43508452528932
"132",2012-05-31,4,3.561,1.27004140429564,1.38629436111989
"133",2012-06-06,5,5.521,1.70855900330191,1.6094379124341
"134",2012-06-13,4.9,3.497,1.25190545808124,1.58923520511658
"135",2012-06-20,4.5,3.502,1.25333423386366,1.50407739677627
"136",2012-06-28,4.1,3.442,1.23605269778935,1.41098697371026
"137",2012-07-11,5.2,4.111,1.41366630791574,1.64865862558738
"138",2012-07-18,4.4,3.306,1.19573899939883,1.48160454092422
"139",2012-07-25,3.1,3.183,1.15782414829996,1.1314021114911
"140",2012-08-01,2.9,3.197,1.1622128700777,1.06471073699243
"141",2012-08-16,6,4.256,1.44832975203934,1.79175946922805
"142",2012-08-22,5,3.317,1.19906075996492,1.6094379124341
"143",2012-08-27,17,4.412,1.48432810139126,2.83321334405622
"144",2012-09-06,4.9,3.991,1.3840418260666,1.58923520511658
"145",2012-09-12,4.6,4.155,1.42431242830741,1.52605630349505
"146",2012-09-27,4,3.891,1.35866619400242,1.38629436111989
"147",2012-10-03,3.4,3.408,1.22612560896707,1.22377543162212
"148",2012-10-10,4.4,3.567,1.27172490637675,1.48160454092422
"149",2012-10-16,7.4,6.2185,1.82752872011166,2.00148000021012
"150",2012-10-25,3.6,4.216,1.43888681123906,1.28093384546206
"151",2012-11-01,3.5,4.395,1.48046753113714,1.25276296849537
"152",2012-11-08,3.9,3.835,1.34416943481922,1.3609765531356
"153",2012-11-15,4.4,3.878,1.35531955682046,1.48160454092422
"154",2012-11-29,3.5,3.649,1.29445315745431,1.25276296849537
"155",2012-12-06,3.9,4.15,1.42310833424261,1.3609765531356
"156",2012-12-13,3.3,4.086,1.40756649639543,1.19392246847243
"157",2013-01-03,3.8,4.41,1.48387468945875,1.33500106673234
"158",2013-01-11,3.7,4.016,1.39028638238943,1.30833281965018
"159",2013-01-14,4.4,4.615,1.52931186795482,1.48160454092422
"160",2013-01-24,3.2,4.217,1.43912397476442,1.16315080980568
"161",2013-01-30,13,6.1195,1.81148039384026,2.56494935746154
"162",2013-02-07,4,5.584,1.71990536546007,1.38629436111989
"163",2013-02-13,4.7,5.892,1.77359549860038,1.54756250871601
"164",2013-02-21,4.5,4.742,1.55645898764321,1.50407739677627
"165",2013-02-28,5.5,5.967,1.78624428853994,1.70474809223843
"166",2013-03-07,3.9,5.285,1.6648726193222,1.3609765531356
"167",2013-03-11,26,8.272,2.11287631776607,3.25809653802148
"168",2013-03-20,5.7,7.0635,1.95494067936958,1.7404661748405
"169",2013-03-28,4.8,5.846,1.76575766668905,1.56861591791385
"170",2013-04-04,11,6.915,1.93369296511672,2.39789527279837
"171",2013-04-18,319,3.641,1.2922583691933,5.76519110278484
"172",2013-04-25,5,7.706,2.04199924620397,1.6094379124341
"173",2013-04-29,4.3,7.43,2.00552585872967,1.45861502269952
"174",2013-05-09,137,6.218,1.82744831163656,4.91998092582813
"175",2013-05-21,11,6.006,1.79275896956114,2.39789527279837
"176",2013-05-31,20,5.695,1.73958859689915,2.99573227355399
"177",2013-06-07,11,5.688,1.73835869250094,2.39789527279837
"178",2013-06-13,5.7,5.318,1.67109729282083,1.7404661748405
"179",2013-06-26,4.9,4.63,1.53255686809814,1.58923520511658
"180",2013-07-10,2.8,4.091,1.40878943894726,1.02961941718116
"181",2013-07-17,4.3,4.077,1.40536142383712,1.45861502269952
"182",2013-08-01,9.9,6.269,1.83561685229183,2.29253475714054
"183",2013-08-08,43,3.852,1.34859249393588,3.76120011569356
"184",2013-08-15,21,8.738,2.16768133052924,3.04452243772342
"185",2013-08-21,6.4,7.178,1.97102079272542,1.85629799036563
"186",2013-08-29,3.4,5.284,1.66468338666008,1.22377543162212
"187",2013-09-05,2.9,5.01,1.61143591509677,1.06471073699243
"188",2013-09-12,2.9,4.447,1.49222971152856,1.06471073699243
"189",2013-09-19,3.1,4.184,1.43126772676262,1.1314021114911
"190",2013-09-25,2.7,4.369,1.4745341499693,0.993251773010283
"191",2013-10-03,2.7,4.205,1.43627429342491,0.993251773010283
"192",2013-10-21,3.8,3.987,1.38303906839922,1.33500106673234
"193",2013-10-30,12,4.164,1.42647615075272,2.484906649788
"194",2013-11-07,13,6.828,1.92103180493219,2.56494935746154
"195",2013-11-14,7.3,5.564,1.7163172740612,1.98787434815435
"196",2013-11-21,7,4.599,1.52583888855779,1.94591014905531
"197",2013-12-03,5.1,4.251,1.44715424937665,1.62924053973028
"198",2013-12-13,6.1,3.9605,1.3763702799222,1.80828877117927
"199",2013-12-20,8.9,6.305,1.84134296941688,2.18605127673809
"200",2014-01-08,4.6,5.075,1.62432652492785,1.52605630349505
"201",2014-01-11,23,6.809,1.91824526650083,3.13549421592915
"202",2014-01-23,5.6,5.904,1.77563008729817,1.7227665977411
"203",2014-01-29,4.5,5.308,1.66921511646996,1.50407739677627
"204",2014-02-06,4.2,31.484,3.4494794802802,1.43508452528932
"205",2014-02-13,4.3,4.614,1.52909515975156,1.45861502269952
"206",2014-02-20,4.4,4.278,1.45348561066021,1.48160454092422
"207",2014-02-26,4,4.222,1.44030894942613,1.38629436111989
"208",2014-03-06,4.8,3.979,1.38103053144479,1.56861591791385
"209",2014-03-13,4.4,4.242,1.44503485614249,1.48160454092422
"210",2014-03-16,30,5.781,1.75457667810034,3.40119738166216
"211",2014-03-28,9.5,6.049,1.79989296912478,2.2512917986065
"212",2014-04-03,7.3,5.177,1.64422573791976,1.98787434815435
"213",2014-04-08,7.3,4.718,1.55138498098548,1.98787434815435
"214",2014-04-15,6.3,4.809,1.57048916229553,1.84054963339749
"215",2014-04-24,5.7,4.312,1.4614018336067,1.7404661748405
"216",2014-04-29,5.3,4.124,1.41682356615471,1.66770682055808
"217",2014-05-08,5.9,3.887,1.35763765187009,1.77495235091167
"218",2014-05-13,12,4.326,1.46464332753087,2.484906649788
"219",2014-05-15,8.8,4.757,1.55961721745014,2.17475172148416
"220",2014-05-21,5.3,4.45,1.49290409617815,1.66770682055808
"221",2014-05-29,4.2,3.91,1.36353737399727,1.43508452528932
"222",2014-06-03,5.3,3.857,1.34988967922609,1.66770682055808
"223",2014-06-16,3.4,4.502,1.50452174248454,1.22377543162212
"224",2014-06-19,2.3,4.296,1.45768435720656,0.832909122935104
"225",2014-07-02,12,6.202,1.82487182067826,2.484906649788
"226",2014-07-07,5.5,5.468,1.6989129188617,1.70474809223843
"227",2014-07-22,3.3,4.256,1.44832975203934,1.19392246847243
"228",2014-08-06,4.1,3.88,1.35583515363518,1.41098697371026
"229",2014-08-13,2.4,4.237,1.44385547164442,0.8754687373539
"230",2014-08-21,1.7,3.739,1.31881819599498,0.53062825106217
"231",2014-08-28,1.4,3.959,1.37599146812399,0.336472236621213
"232",2014-09-02,6.3,3.458,1.2406903872611,1.84054963339749
"233",2014-09-11,2.1,4.149,1.42286734135073,0.741937344729377
"234",2014-09-18,5.7,3.895,1.35969367932271,1.7404661748405
"235",2014-09-24,2.2,4.005,1.38754358052032,0.78845736036427
"236",2014-10-01,1.8,3.517,1.25760835349185,0.587786664902119
"237",2014-10-09,2.4,3.145,1.1458138901524,0.8754687373539
"238",2014-10-10,35,3.212,1.16689379608452,3.55534806148941
"239",2014-10-13,71,4.134,1.41924546125958,4.26267987704132
"240",2014-10-23,7.9,6.745,1.90880148965972,2.06686275947298
"241",2014-10-29,6.7,5.956,1.78439911482176,1.90210752639692
"242",2014-11-06,8.8,5.398,1.68602851459581,2.17475172148416
"243",2014-11-13,6.1,4.935,1.59635267288544,1.80828877117927
"244",2014-11-19,4.6,4.951,1.59958957637929,1.52605630349505
"245",2014-12-02,5.5,4.972,1.60382217364846,1.70474809223843
"246",2014-12-11,6.1,5.067,1.62274892649377,1.80828877117927
"247",2014-12-17,12,7.477,2.01183164201778,2.484906649788
"248",2015-01-08,6.1,6.859,1.92556165851718,1.80828877117927
"249",2015-01-15,3.9,5.5885,1.72071091484353,1.3609765531356
"250",2015-01-21,3.1,4.854,1.57980310730441,1.1314021114911
"251",2015-01-29,2.7,4.441,1.49087957630997,0.993251773010283
"252",2015-02-04,3,4.179,1.43007198346578,1.09861228866811
"253",2015-02-11,2.7,3.437,1.2345989978677,0.993251773010283
"254",2015-02-18,2.7,4.086,1.40756649639543,0.993251773010283
"255",2015-02-25,6.4,5.925,1.77918068702119,1.85629799036563
"256",2015-03-06,6,5.523,1.70892119091905,1.79175946922805
"257",2015-03-11,7.9,6.111,1.81009042591278,2.06686275947298
"258",2015-03-14,42,6.245,1.83178114357754,3.73766961828337
"259",2015-03-19,22,7.624,2.0313011663519,3.09104245335832
"260",2015-03-26,29,6.728,1.90627792267065,3.36729582998647
"261",2015-04-01,14,7.182,1.97157789580389,2.63905732961526
"262",2015-04-14,7.9,5.063,1.62195919298777,2.06686275947298
"263",2015-04-22,7.5,4.838,1.57650141218784,2.01490302054226
"264",2015-04-29,6.5,4.631,1.53277282749861,1.87180217690159
"265",2015-05-08,7.4,4.198,1.43460822139844,2.00148000021012
"266",2015-05-11,35,5.224,1.65326339197413,3.55534806148941
"267",2015-05-24,300,5.147,1.63841402067062,5.7037824746562
"268",2015-06-01,58,8.231,2.10790751399051,4.06044301054642
"269",2015-06-19,62,4.963,1.6020103966053,4.12713438504509
