"","Site","Const","I_10","I_1000"
"1","BALLARD","NO3",NA,NA
"2","BALLARD","TN",NA,NA
"3","BALLARD","SRP",NA,NA
"4","BALLARD","TP",NA,NA
"5","BALLARD","TSS",NA,NA
"6","BALLARD","Cl",NA,NA
"7","BALLARD","SO4",NA,NA
