"","Date","concentrations.TP","Flow"
"176",2013-03-06,0.02,312.461
"177",2013-03-10,0.236,2892.943
"178",2013-03-19,0.028,426.42
"179",2013-03-29,0.024,1303.788
"180",2013-04-03,0.058,2302.908
"181",2013-04-11,0.073,1303.963
"182",2013-04-18,0.408,1797.883
"183",2013-04-24,0.022,642.38
"184",2013-04-27,0.132,2560.578
"185",2013-05-10,0.216,2715.047
"186",2013-05-21,0.056,4895.429
"187",2013-05-21,0.322,4895.429
"188",2013-05-30,0.034,575.949
"189",2013-06-06,0.046,797.779
"190",2013-06-25,0.038,39.708
"191",2013-07-08,0.044,13.494
"192",2013-07-19,0.054,4.841
"193",2013-07-31,0.058,23.748
"194",2013-08-07,0.052,22.961
"195",2013-08-08,0.356,404.262
"196",2013-08-13,0.128,1749.364
"197",2013-08-20,0.04,158.041
"198",2013-08-28,0.036,15.862
"199",2013-09-04,0.046,8.996
"200",2013-09-11,0.049,6.075
"201",2013-09-18,0.036,4.358
"202",2013-09-20,0.058,170.505
"203",2013-10-03,0.044,7.73
"204",2013-10-24,0.034,62.737
"205",2013-10-30,0.06,46.505
"206",2013-11-06,0.034,707.707
"207",2013-11-13,0.034,181.707
"208",2013-11-22,0.05,434.43
"209",2013-12-02,0.026,94.716
"210",2013-12-12,0.028,107.849
"211",2013-12-18,0.048,658.546
"212",2013-12-21,0.39,5474.008
"213",2014-01-09,0.036,395.586
"214",2014-01-10,0.102,1092.64
"215",2014-01-22,0.014,307.21
"216",2014-01-28,0.036,175.524
"217",2014-02-06,0.028,150.544
"218",2014-02-12,0.018,116.655
"219",2014-02-21,0.026,169.088
"220",2014-02-25,0.02,140.142
"221",2014-03-07,0.044,658.957
"222",2014-03-11,0.048,439.983
"223",2014-03-16,0.176,9437.961
"224",2014-03-27,0.04,514.81
"225",2014-04-03,0.044,831.798
"226",2014-04-04,0.114,3276.328
"227",2014-04-07,0.228,3947.906
"228",2014-04-14,0.052,1454.068
"229",2014-04-22,0.032,550.4
"230",2014-04-28,0.03,463.306
"231",2014-05-09,0.056,671.211
"232",2014-05-13,0.144,1805.661
"233",2014-05-20,0.04,561.359
"234",2014-05-28,0.032,205.134
"235",2014-06-02,0.044,204.824
"236",2014-06-10,0.052,314.937
"237",2014-07-01,0.042,127.163
"238",2014-07-09,0.05,33.888
"239",2014-07-23,0.044,45.313
"240",2014-07-29,0.048,19.307
"241",2014-08-05,0.052,21.252
"242",2014-08-12,0.138,318.681
"243",2014-08-19,0.055,56.906
"244",2014-08-27,0.042,19.594
"245",2014-09-02,0.06,289.956
"246",2014-09-10,0.04,29.629
"247",2014-09-17,0.05,60.374
"248",2014-09-18,0.064,206.517
"249",2014-09-24,0.046,37.359
"250",2014-10-01,0.046,27.191
"251",2014-10-08,0.052,24.738
"252",2014-10-10,0.344,944.331
"253",2014-10-13,0.486,5217.684
"254",2014-10-22,0.046,271.81
"255",2014-10-29,0.034,109.014
"256",2014-11-06,0.036,576.015
"257",2014-11-12,0.034,188.165
"258",2014-11-19,0.032,69.786
"259",2014-12-05,0.022,186.43
"260",2014-12-10,0.03,307.009
"261",2014-12-17,0.05,577.247
"262",2015-01-05,0.11,1142.144
"263",2015-01-07,0.032,716.027
"264",2015-01-14,0.026,292.96
"265",2015-01-21,0.022,158.689
"266",2015-01-28,0.015,94.636
"267",2015-02-04,0.014,139.066
"268",2015-02-11,0.016,95.242
"269",2015-02-18,0.02,97.768
"270",2015-02-25,0.038,316.131
"271",2015-03-05,0.118,1980.39
"272",2015-03-10,0.0855,2152.163
"273",2015-03-14,0.396,7185.943
"274",2015-03-19,0.048,1468.438
"275",2015-03-26,0.288,3679.828
"276",2015-04-01,0.058,732.827
"277",2015-04-13,0.038,396.55
"278",2015-04-22,0.05,605.18
"279",2015-04-24,0.186,609.928
"280",2015-04-29,0.036,292.602
"281",2015-05-08,0.144,892.628
"282",2015-05-11,0.572,13724.746
"283",2015-05-17,0.59,8008.566
"284",2015-06-01,0.056,2483.713
"285",2015-06-19,0.47,13390
