"","Site","Const","I_10","I_1000"
"1","NC","NO3",NA,NA
"2","NC","TN",1,NA
"3","NC","SRP",NA,NA
"4","NC","TP",NA,NA
"5","NC","TSS",NA,NA
"6","NC","Cl",NA,NA
"7","NC","SO4",NA,NA
