"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2011-07-14,0.02,2.1,-3.91202300542815,0.741937344729377,-0.259968705978109,-0.285804460348136,0.492076206381897,0.75,0.689219521918227,-8.19023550260312,-4.7972690971676
"2",2011-08-10,0.23,5.3,-1.46967597005894,1.66770682055808,1.09713020540431,1.24528751449225,NA,NA,NA,NA,NA
"3",2011-08-17,0.02,1.2,-3.91202300542815,0.182321556793955,-0.81958449391353,-0.845420248283558,NA,NA,NA,NA,NA
"4",2011-09-17,0.08,23,-2.52572864430826,3.13549421592915,2.32608022782806,2.36852810453636,NA,NA,NA,NA,NA
"5",2011-09-21,0.14,1.3,-1.96611285637283,0.262364264467491,-0.404516999063266,-0.362619826429604,NA,NA,NA,NA,NA
"6",2011-09-27,0.16,0.8,-1.83258146374831,-0.22314355131421,-0.856709961392216,-0.792008902062846,NA,NA,NA,NA,NA
"7",2011-10-05,0.05,1,-2.99573227355399,0,-0.922570815121884,-0.864749929479281,NA,NA,NA,NA,NA
"8",2011-10-14,0.06,0.6,-2.81341071676004,-0.510825623765991,-1.39854983687269,-1.3366532490571,NA,NA,NA,NA,NA
"9",2011-10-27,1.3,13.8,0.262364264467491,2.62466859216316,1.25841611235962,1.26700957304622,NA,NA,NA,NA,NA
"10",2011-11-02,0.9,0.8,-0.105360515657826,-0.22314355131421,-0.974186190180133,-1.14250023784969,NA,NA,NA,NA,NA
"11",2011-11-09,3.5,0.7,1.25276296849537,-0.356674943938732,-3.38059482178704,-3.10956331947555,NA,NA,NA,NA,NA
"12",2011-11-16,0.75,1.3,-0.287682072451781,0.262364264467491,-0.314565106990397,-0.473667423564079,NA,NA,NA,NA,NA
"13",2011-11-30,0.58,0.3,-0.544727175441672,-1.20397280432594,-1.67597065018322,-1.75040754357893,NA,NA,NA,NA,NA
"14",2011-12-07,0.8,1.3,-0.22314355131421,0.262364264467491,-0.368860529152772,-0.536341122253511,NA,NA,NA,NA,NA
"15",2011-12-14,15,275.5,2.70805020110221,5.61858762859297,1.31611351013959,1.34065182887043,NA,NA,NA,NA,NA
"16",2012-01-04,0.6,0.6,-0.510825623765991,-0.510825623765991,-0.984822351262062,-1.07696398332265,NA,NA,NA,NA,NA
"17",2012-01-11,1,0.9,0,-0.105360515657826,-1.00100462842845,-1.13176319842678,NA,NA,NA,NA,NA
"18",2012-01-18,0.63,0.6,-0.462035459596559,-0.510825623765991,-0.986372645678389,-1.10752210766292,NA,NA,NA,NA,NA
"19",2012-01-25,17,41.4,2.83321334405622,3.72328088083127,-0.617418295253346,-0.652651605784493,NA,NA,NA,NA,NA
"20",2012-02-01,0.92,1.1,-0.083381608939051,0.0953101798043249,-0.685486925125123,-0.846681456022193,NA,NA,NA,NA,NA
"21",2012-02-08,0.65,0.8,-0.430782916092454,-0.22314355131421,-0.708093201613164,-0.840848088211479,NA,NA,NA,NA,NA
"22",2012-02-15,0.57,1,-0.562118918153541,0,-0.467787349136768,-0.536791671582491,NA,NA,NA,NA,NA
"23",2012-03-08,0.93,4,-0.0725706928348354,1.38629436111989,0.590275894074967,0.433221202147187,NA,NA,NA,NA,NA
"24",2012-03-13,0.44,0.5,-0.82098055206983,-0.693147180559945,-1.19439492848916,-1.11830197351496,NA,NA,NA,NA,NA
"25",2012-03-20,26,6.9,3.25809653802148,1.93152141160321,-2.46096145890631,-2.74228751198588,NA,NA,NA,NA,NA
"26",2012-03-28,0.48,1,-0.7339691750802,0,-0.474486691418146,-0.45669795044275,NA,NA,NA,NA,NA
"27",2012-04-11,0.34,1.3,-1.07880966137193,0.262364264467491,-0.259188028479729,-0.101406615098976,NA,NA,NA,NA,NA
"28",2012-04-15,2.4,275.1,0.8754687373539,5.61713466793053,3.14587728695809,3.37777285156949,NA,NA,NA,NA,NA
"29",2012-04-25,0.19,3.3,-1.66073120682165,1.19392246847243,0.597219374498026,0.698930930351148,NA,NA,NA,NA,NA
"30",2012-04-30,0.82,18.6,-0.198450938723838,2.92316158071916,2.26938384382435,2.09957985879613,NA,NA,NA,NA,NA
"31",2012-05-09,0.1,4.3,-2.30258509299405,1.45861502269952,0.710060163991947,0.731814343132605,NA,NA,NA,NA,NA
"32",2012-05-17,0.03,2.5,-3.50655789731998,0.916290731874155,-0.0795763638727368,-0.0495227207972977,NA,NA,NA,NA,NA
"33",2012-05-23,0.03,2,-3.50655789731998,0.693147180559945,-0.302719915186947,-0.272666272111508,NA,NA,NA,NA,NA
"34",2012-05-31,0.87,35.2,-0.139262067333508,3.56104608260405,2.84966993649797,2.67672493050828,NA,NA,NA,NA,NA
"35",2012-06-06,0.06,1.3,-2.81341071676004,0.262364264467491,-0.625359948639204,-0.563463360823613,NA,NA,NA,NA,NA
"36",2012-06-13,0.03,1.4,-3.50655789731998,0.336472236621213,-0.659394859125679,-0.62934121605024,NA,NA,NA,NA,NA
"37",2012-07-11,0.03,3.7,-3.50655789731998,1.30833281965018,0.312465723903288,0.342519366978727,NA,NA,NA,NA,NA
"38",2012-07-26,0.76,44.3,-0.27443684570176,3.79098467705109,3.20349393067568,3.042430988234,NA,NA,NA,NA,NA
"39",2012-08-15,0.01,1.9,-4.60517018598809,0.641853886172395,-0.283511631516523,-0.477007398726566,NA,NA,NA,NA,NA
"40",2012-08-16,1,22.1,0,3.09557760852371,2.19993349575309,2.06917492575475,NA,NA,NA,NA,NA
