"","folds.5","folds.6","folds.7","folds.8","folds.9","folds.10","folds.11","folds.12","folds.13","folds.14","folds.15","folds.16","folds.17","folds.18","folds.19","folds.20","folds.21","folds.22","folds.23","folds.24","folds.25","folds.26","folds.27","folds.28","folds.29","folds.30","folds.31","folds.32","folds.33","folds.34","folds.35","folds.36","folds.37","folds.38","folds.39","folds.40","folds.41","folds.42","folds.43","folds.44","folds.45"
"447",0.35,0.4,0.3,0.5,0.5,0.45,0.45,0.6,0.45,0.45,0.55,0.3,0.45,0.55,0.45,0.5,0.45,0.55,0.45,0.5,0.45,0.35,0.4,0.5,0.45,0.45,0.45,0.55,0.5,0.55,0.55,0.4,0.5,0.5,0.5,0.45,0.45,0.45,0.5,0.55,0.4
"448",0.5,0.55,0.45,0.3,0.55,0.6,0.55,0.25,0.45,0.45,0.55,0.3,0.45,0.25,0.5,0.4,0.5,0.5,0.5,0.45,0.45,0.6,0.5,0.5,0.4,0.5,0.45,0.45,0.5,0.45,0.45,0.5,0.6,0.5,0.45,0.45,0.5,0.45,0.45,0.5,0.4
"449",0.3,0.5,0.35,0.25,0.45,0.4,0.4,0.25,0.55,0.6,0.5,0.3,0.3,0.55,0.4,0.45,0.45,0.4,0.45,0.55,0.45,0.5,0.6,0.35,0.5,0.25,0.45,0.5,0.3,0.3,0.3,0.3,0.45,0.3,0.5,0.55,0.35,0.4,0.5,0.5,0.5
"450",0.45,0.45,0.55,0.25,0.55,0.6,0.6,0.4,0.5,0.5,0.6,0.35,0.35,0.6,0.6,0.45,0.4,0.45,0.5,0.45,0.4,0.55,0.4,0.45,0.25,0.35,0.4,0.35,0.4,0.2,0.4,0.25,0.5,0.5,0.25,0.4,0.45,0.55,0.5,0.35,0.45
"451",0.4,0.6,0.4,0.4,0.35,0.55,0.45,0.6,0.55,0.45,0.45,0.5,0.4,0.4,0.6,0.4,0.45,0.45,0.45,0.45,0.5,0.45,0.5,0.4,0.35,0.4,0.4,0.4,0.4,0.45,0.45,0.45,0.5,0.45,0.5,0.5,0.4,0.45,0.45,0.4,0.4
"452",0.5,0.5,0.3,0.5,0.55,0.55,0.35,0.4,0.6,0.4,0.45,0.5,0.5,0.3,0.4,0.3,0.45,0.35,0.4,0.45,0.45,0.55,0.45,0.4,0.3,0.55,0.5,0.3,0.45,0.45,0.3,0.4,0.45,0.4,0.5,0.6,0.5,0.55,0.55,0.45,0.45
"453",0.5,0.5,0.55,0.3,0.4,0.55,0.2,0.25,0.25,0.5,0.55,0.4,0.45,0.5,0.6,0.5,0.6,0.5,0.45,0.4,0.4,0.6,0.45,0.35,0.55,0.5,0.55,0.6,0.4,0.5,0.5,0.4,0.5,0.45,0.35,0.5,0.4,0.5,0.45,0.45,0.3
"454",0.55,0.25,0.5,0.3,0.5,0.3,0.45,0.25,0.45,0.4,0.6,0.35,0.6,0.3,0.4,0.5,0.45,0.35,0.45,0.3,0.45,0.5,0.4,0.45,0.5,0.45,0.5,0.45,0.5,0.5,0.45,0.35,0.5,0.55,0.4,0.3,0.55,0.45,0.4,0.5,0.4
"455",0.6,0.55,0.45,0.55,0.35,0.4,0.45,0.45,0.5,0.4,0.35,0.35,0.5,0.45,0.35,0.5,0.45,0.45,0.45,0.35,0.45,0.45,0.5,0.55,0.5,0.5,0.55,0.3,0.45,0.5,0.6,0.5,0.45,0.45,0.4,0.3,0.55,0.5,0.5,0.4,0.4
"456",0.55,0.5,0.5,0.55,0.5,0.4,0.45,0.45,0.45,0.5,0.3,0.45,0.5,0.5,0.35,0.3,0.45,0.5,0.45,0.45,0.45,0.4,0.5,0.55,0.5,0.45,0.5,0.5,0.45,0.45,0.45,0.5,0.45,0.45,0.4,0.45,0.45,0.4,0.5,0.45,0.5
