"","Date","concentrations.SRP","Flow"
"197",2013-10-06,0.096,1780
"198",2013-10-21,0.043,262
"199",2013-10-30,0.035,237
"200",2013-11-07,0.052,605
"201",2013-11-14,0.035,293
"202",2013-11-21,0.024,252
"203",2013-12-03,0.018,236
"204",2013-12-13,0.008,256
"205",2013-12-20,0.026,588
"206",2013-12-21,0.162,2570
"207",2014-01-08,0.034,407
"208",2014-01-11,0.1375,2290
"209",2014-01-23,0.019,438
"210",2014-01-29,0.009,348
"211",2014-02-07,0.012,322
"212",2014-02-13,0.008,309
"213",2014-02-20,0.006,301
"214",2014-02-26,0.005,259
"215",2014-03-06,0.008,303
"216",2014-03-13,0.019,426
"217",2014-03-17,0.142,5500
"218",2014-03-28,0.03,600
"219",2014-03-29,0.035,1260
"220",2014-04-03,0.031,636
"221",2014-04-04,0.02,1320
"222",2014-04-08,0.047,1420
"223",2014-04-15,0.027,671
"224",2014-04-24,0.007,402
"225",2014-04-29,0.019,379
"226",2014-05-09,0.035,979
"227",2014-05-13,0.064,1330
"228",2014-05-15,0.06,1040
"229",2014-05-21,0.033,400
"230",2014-05-29,0.044,306
"231",2014-06-03,0.054,513
"232",2014-06-16,0.044,435
"233",2014-07-02,0.061,290
"234",2014-07-07,0.054,200
"235",2014-07-22,0.041,154
"236",2014-07-31,0.049,235
"237",2014-08-06,0.044,154
"238",2014-08-13,0.051,213
"239",2014-08-21,0.054,160
"240",2014-08-28,0.046,128
"241",2014-09-03,0.068,594
"242",2014-09-11,0.056,167
"243",2014-09-18,0.051,290
"244",2014-09-24,0.051,175
"245",2014-10-01,0.045,142
"246",2014-10-09,0.038,149
"247",2014-10-11,0.081,2630
"248",2014-10-13,0.156,2450
"249",2014-10-23,0.056,329
"250",2014-10-29,0.044,244
"251",2014-11-06,0.045,446
"252",2014-11-13,0.035,214
"253",2014-11-19,0.021,184
"254",2014-12-03,0.03,214
"255",2014-12-11,0.03,309
"256",2014-12-17,0.0555,648
"257",2015-01-05,0.058,786
"258",2015-01-08,0.031,515
"259",2015-01-15,0.021,354
"260",2015-01-21,0.01,301
"261",2015-01-29,0.01,263
"262",2015-02-04,0.011,302
"263",2015-02-11,0.01,255
"264",2015-02-18,0.008,259
"265",2015-02-25,0.007,437
"266",2015-03-05,0.007,863
"267",2015-03-11,0.044,1260
"268",2015-03-14,0.134,3700
"269",2015-03-19,0.04,1450
"270",2015-03-26,0.078,2290
"271",2015-04-01,0.032,775
"272",2015-04-14,0.025,566
"273",2015-04-22,0.028,567
"274",2015-04-29,0.012,382
"275",2015-05-08,0.145,1590
"276",2015-05-11,0.083,5880
"277",2015-05-17,0.065,2260
"278",2015-05-24,0.197,8140
"279",2015-06-01,0.065,2200
"280",2015-06-20,0.179,6640
