"","X.5.30.","NO3test5to30modes","NO3test5to30stdevs","X.5.30..1","TNtest5to30modes","TNtest5to30stdevs","X.5.30..2","SRPtest5to30modes","SRPtest5to30stdevs","X.5.30..3","TPtest5to30modes","TPtest5to30stdevs","X.5.30..4","TSStest5to30modes","TSStest5to30stdevs","X.5.30..5","Cltest5to30modes","Cltest5to30stdevs","X.5.30..6","SO4test5to30modes","SO4test5to30stdevs"
"folds.5",5,0.7,0.107380688416949,5,0.65,0.128349013972664,5,0.55,0.096890428330361,5,0.55,0.11426785574755,5,0.55,0.15193983771781,5,0.9,0.0298977850520805,5,0.25,0.111524683823989
"folds.6",6,0.7,0.0813721609116322,6,0.7,0.0858570240075241,6,0.6,0.0742925821001131,6,0.5,0.10713809513227,6,0.5,0.143573205390569,6,0.9,0.028642768079662,6,0.2,0.0812466639817492
"folds.7",7,0.7,0.097567349841543,7,0.65,0.0894484231731519,7,0.55,0.0655354709999377,7,0.5,0.101035455486211,7,0.2,0.165186968898511,7,0.9,0.0202030508910442,7,0.25,0.087854239208696
"folds.8",8,0.7,0.0534522483824849,8,0.65,0.118597243317241,8,0.55,0.0713999942834274,8,0.5,0.0890081399625441,8,0.5,0.150648259064563,8,0.9,0.0253344969299546,8,0.25,0.0838122293935579
"folds.9",9,0.65,0.0705372965464486,9,0.65,0.0871545659581122,9,0.5,0.0744777737013547,9,0.45,0.0865671851859607,9,0.2,0.154724904001804,9,0.9,0.0192724822331886,9,0.3,0.0755928946018455
"folds.10",10,0.7,0.0684299134971285,10,0.65,0.063599512255863,10,0.45,0.0697224819537853,10,0.5,0.0824930423782293,10,0.55,0.147163660110582,10,0.9,0.018516401995451,10,0.25,0.0837208676105867
"folds.11",11,0.7,0.0552268050859363,11,0.65,0.0984367610111555,11,0.5,0.0606848668221699,11,0.45,0.104885749309252,11,0.2,0.149201958733108,11,0.9,0.0151522881682831,11,0.25,0.0790569415042095
"folds.12",12,0.7,0.0667083203206316,12,0.65,0.0775649826314184,12,0.5,0.0738448456189719,12,0.5,0.0864551316922157,12,0.45,0.142029746812391,12,0.9,0.018516401995451,12,0.2,0.068332918532008
"folds.13",13,0.65,0.0629949787438552,13,0.65,0.0732900305050323,13,0.55,0.0671276578541185,13,0.5,0.0978545359402498,13,0.45,0.12969351627304,13,0.9,0.00989743318610786,13,0.2,0.0759699188589048
"folds.14",14,0.65,0.0671960275793813,14,0.65,0.0562066159225885,14,0.45,0.0630840061880561,14,0.4,0.0858629662869379,14,0.2,0.13393952336173,14,0.9,0.0119948968741047,14,0.2,0.0749421545634514
"folds.15",15,0.65,0.0484557445889904,15,0.65,0.0559609922451454,15,0.5,0.0611872335624059,15,0.5,0.0840614449709987,15,0.2,0.158632549353169,15,0.9,0.00989743318610786,15,0.3,0.0667083203206317
"folds.16",16,0.65,0.0483292280686779,16,0.65,0.0582482372510717,16,0.5,0.0589101702871865,16,0.45,0.0914732033918979,16,0.5,0.144013179668971,16,0.9,0.00989743318610786,16,0.3,0.067005939426049
"folds.17",17,0.65,0.061120489900804,17,0.65,0.0617433793856409,17,0.5,0.0568653978214147,17,0.5,0.0920292766194652,17,0.55,0.138538287642287,17,0.9,0.00989743318610786,17,0.3,0.0553283335172488
