"","Site","Const","Opt_MSE","f05_MSE"
"1","Watts","NO3",0.0551200326372596,0.0555097811171298
"2","Watts","TN",0.0315226099640982,0.0316184979286754
"3","Watts","SRP",0.405689191955642,0.407858003107003
"4","Watts","TP",0.269553104088172,0.269553104088172
"5","Watts","TSS",0.629801885590826,0.631712841271898
"6","Watts","Cl",0.2558447380843,0.259897742019419
"7","Watts","SO4",0.0360038850861372,0.0360381474812898
