"","Date","concentrations.TSS","Flow"
"200",2013-11-07,5.6,605
"201",2013-11-14,2.6,293
"202",2013-11-21,4.2,252
"203",2013-12-03,3.5,236
"204",2013-12-13,0.9,256
"205",2013-12-20,6.6,588
"206",2013-12-21,123.4,2570
"207",2014-01-08,1.4,407
"208",2014-01-11,130.85,2290
"209",2014-01-23,1.9,438
"210",2014-01-29,0.5,348
"211",2014-02-07,1.6,322
"212",2014-02-13,2.9,309
"213",2014-02-20,4.6,301
"214",2014-02-26,1.9,259
"215",2014-03-06,1.5,303
"216",2014-03-13,3.5,426
"217",2014-03-17,167.1,5500
"218",2014-03-28,11,600
"219",2014-03-29,23.4,1260
"220",2014-04-03,10.7,636
"221",2014-04-04,32.3,1320
"222",2014-04-08,27.3,1420
"223",2014-04-15,6.8,671
"224",2014-04-24,8.1,402
"225",2014-04-29,13.1,379
"226",2014-05-09,29.1,979
"227",2014-05-13,55.7,1330
"228",2014-05-15,18.9,1040
"229",2014-05-21,15.3,400
"230",2014-05-29,14.4,306
"231",2014-06-03,17.9,513
"232",2014-06-16,14.05,435
"233",2014-07-02,12.3,290
"234",2014-07-07,8.6,200
"235",2014-07-22,6.7,154
"236",2014-07-31,12.7,235
"237",2014-08-06,8.3,154
"238",2014-08-13,9.7,213
"239",2014-08-21,8.6,160
"240",2014-08-28,7.7,128
"241",2014-09-03,21.6,594
"242",2014-09-11,10.1,167
"243",2014-09-18,11.5,290
"244",2014-09-24,10.9,175
"245",2014-10-01,8.75,142
"246",2014-10-09,6.5,149
"247",2014-10-11,160,2630
"248",2014-10-13,368.1,2450
"249",2014-10-23,10.1,329
"250",2014-10-29,10.45,244
"251",2014-11-06,10.3,446
"252",2014-11-13,3.2,214
"253",2014-11-19,1,184
"254",2014-12-03,1.9,214
"255",2014-12-11,4.7,309
"256",2014-12-17,7.25,648
"257",2015-01-05,11.1,786
"258",2015-01-08,1.9,515
"259",2015-01-15,2.1,354
"260",2015-01-21,3.6,301
"261",2015-01-29,3.75,263
"262",2015-02-04,2.5,302
"263",2015-02-11,4.7,255
"264",2015-02-18,0.4,259
"265",2015-02-25,3.1,437
"266",2015-03-05,9.1,863
"267",2015-03-11,21,1260
"268",2015-03-14,331.1,3700
"269",2015-03-19,19.3,1450
"270",2015-03-26,306.1,2290
"271",2015-04-01,14.1,775
"272",2015-04-14,11.2,566
"273",2015-04-22,11.2,567
"274",2015-04-29,11.7,382
"275",2015-05-08,68.4,1590
"276",2015-05-11,297.5,5880
"277",2015-05-17,415.8,2260
"278",2015-05-24,328,8140
"279",2015-06-01,20.65,2200
"280",2015-06-20,341.1,6640
