"","Date","concentrations.TSS","Flow"
"195",2013-08-28,2.3,10
"196",2013-09-04,2.7,4.5
"197",2013-09-11,4.3,2
"198",2013-09-18,2.2,1.6
"199",2013-09-23,4,1.7
"200",2013-10-02,4.4,1
"201",2013-10-06,8.8,21
"202",2013-10-24,1.1,18
"203",2013-10-30,2.1,12
"204",2013-11-06,1,14
"205",2013-11-13,2.88,23
"206",2013-11-22,0.5,110
"207",2013-12-02,0.4,26
"208",2013-12-12,2.1,33
"209",2013-12-18,2.8,197
"210",2013-12-21,252.6,1160
"211",2014-01-09,1.15,140
"212",2014-01-10,57,343
"213",2014-01-22,5.5,82
"214",2014-01-28,2.4,42
"215",2014-02-06,5.4,53
"216",2014-02-12,1.3,42
"217",2014-02-21,0.9,49
"218",2014-02-25,2.88,41
"219",2014-03-07,6.9,304
"220",2014-03-11,3.2,210
"221",2014-03-16,370.9,2810
"222",2014-03-27,1,106
"223",2014-04-03,3.2,211
"224",2014-04-04,330.9,707
"225",2014-04-07,51.5,974
"226",2014-04-14,7.6,338
"227",2014-04-22,2.9,98
"228",2014-04-28,1,72
"229",2014-05-09,3.3,52
"230",2014-05-13,18,273
"231",2014-05-20,1.7,70
"232",2014-05-28,3.1,27
"233",2014-06-02,4.2,20
"234",2014-06-10,2.5,18
"235",2014-07-01,3.3,20
"236",2014-07-09,4.5,8.1
"237",2014-07-23,3.7,5.3
"238",2014-07-29,5.2,2.8
"239",2014-08-05,4.1,2.5
"240",2014-08-12,7.4,16
"241",2014-08-19,36.5,27
"242",2014-08-27,6.1,0.6
"243",2014-09-02,74.3,94
"244",2014-09-10,5.7,9.4
"245",2014-09-17,4.9,5.8
"246",2014-09-24,4.1,3.9
"247",2014-10-01,4.25,2.5
"248",2014-10-08,3.6,3.7
"249",2014-10-10,64.1,184
"250",2014-10-13,258.6,817
"251",2014-10-22,2.3,48
"252",2014-10-29,2.05,23
"253",2014-11-06,2.2,134
"254",2014-11-12,0.5,40
"255",2014-11-19,2.88,24
"256",2014-12-05,1.8,33
"257",2014-12-10,0.5,75
"258",2014-12-17,1.3,153
"259",2015-01-05,6.7,344
"260",2015-01-07,1.65,230
"261",2015-01-14,0.2,95
"262",2015-01-21,0.7,55
"263",2015-01-28,1,35
"264",2015-02-04,0.55,38
"265",2015-02-11,1,29
"266",2015-02-18,0.2,28
"267",2015-02-25,1.6,132
"268",2015-03-05,7.1,487
"269",2015-03-10,13.8,535
"270",2015-03-14,58.75,1300
"271",2015-03-19,4.7,410
"272",2015-03-26,70.3,906
"273",2015-04-01,3.3,245
"274",2015-04-13,7.4,110
"275",2015-04-14,23.1,448
"276",2015-04-22,3.3,148
"277",2015-04-24,379.2,166
"278",2015-04-29,1.55,67
