Site,Const,Opt_MSE,f05_MSE,Opt_RMSE,f05_RMSE,per_chg_RMSE
Sager,SRP,0.664770887,0.670502202,0.815334831,0.818841988,-0.428306941
Sager,TP,0.439875916,0.443887827,0.66323142,0.666249073,-0.452931663
Sager,TSS,0.82066735,0.864118752,0.905906922,0.929579879,-2.546629757
Sager,Cl,0.127687787,0.130375775,0.357334279,0.361075858,-1.036230665
Sager,SO4,0.058199546,0.058868028,0.241245821,0.242627343,-0.569401041
Savoy,NO3,0.12065044,0.120955994,0.347347723,0.347787282,-0.126387536
Savoy,TN,0.061468387,0.062515074,0.247928189,0.250030147,-0.840681615
Savoy,SRP,0.53969112,0.540321929,0.734636726,0.735065935,-0.058390454
Savoy,TP,0.327946606,0.328373293,0.572666226,0.573038649,-0.064990842
Savoy,TSS,0.844338155,0.845759455,0.918878749,0.919651812,-0.084060395
Savoy,Cl,0.060133926,0.060858362,0.245222198,0.246694876,-0.596963379
Savoy,SO4,0.049842555,0.050128536,0.223254463,0.223894027,-0.285654779
Spring,NO3,0.092222845,0.095562977,0.303682145,0.30913262,-1.763151118
Spring,TN,0.055953677,0.057796408,0.236545296,0.240408834,-1.607070028
Spring,SRP,0.26367111,0.265870298,0.513489153,0.515626122,-0.414441561
Spring,TP,0.28306081,0.284309767,0.532034594,0.533207058,-0.219889003
Spring,TSS,1.216897329,1.236276632,1.103130694,1.111879774,-0.786872813
Spring,Cl,0.227074174,0.239315752,0.476523005,0.489199092,-2.591191935
Spring,SO4,0.828999805,0.848543214,0.910494264,0.921164054,-1.158294183
Watts,NO3,0.055120033,0.055509781,0.234776559,0.235605138,-0.351681285
Watts,TN,0.03152261,0.031618498,0.177546078,0.17781591,-0.151747838
Watts,SRP,0.405689192,0.407858003,0.636937353,0.638637615,-0.266232613
Watts,TP,0.269553104,0.269553104,0.519185038,0.519185038,0
Watts,TSS,0.629801886,0.631712841,0.793600583,0.79480365,-0.151366485
Watts,Cl,0.255844738,0.259897742,0.505810971,0.509801669,-0.782794336
Watts,SO4,0.036003885,0.036038147,0.189746897,0.18983716,-0.047547592
Kings,NO3,0.598248588,0.59977827,0.773465311,0.77445353,-0.127602
Kings,TN,0.170658536,0.170561289,0.413108383,0.412990665,0.028503842
Kings,SRP,1.594200219,1.640164522,1.262616418,1.280689081,-1.411167122
Kings,TP,0.864420237,0.873720975,0.929742027,0.934730429,-0.533672794
Kings,TSS,0.741135368,0.742634423,0.860892193,0.861762394,-0.100979223
Kings,Cl,0.051838783,0.052323052,0.227681319,0.228742327,-0.463844238
Kings,SO4,0.084312533,0.08485358,0.290366205,0.291296378,-0.319322036
RC45,NO3,0.834871634,0.83612135,0.913713103,0.914396714,-0.074760916
RC45,TN,0.239757711,0.240353912,0.489650601,0.490259026,-0.124102692
RC45,SRP,0.655985585,0.663629736,0.80992937,0.814634726,-0.577603102
RC45,TP,0.807047167,0.807195277,0.898358039,0.89844047,-0.009174826
RC45,TSS,1.360273955,1.360273955,1.16630783,1.16630783,0
RC45,Cl,0.068041826,0.068868584,0.260848281,0.262428245,-0.602055582
RC45,SO4,0.099164393,0.099145,0.314903783,0.31487299,0.009779533
TB62,NO3,0.274823393,0.276106165,0.524236009,0.525458053,-0.232567336
TB62,TN,0.221136265,0.222920267,0.470251279,0.472144329,-0.40094734
TB62,SRP,0.85373879,0.870867125,0.923979864,0.933202617,-0.988290524
TB62,TP,0.813948153,0.825252131,0.902190752,0.908433889,-0.687241789
TB62,TSS,2.499221551,2.530018579,1.580892644,1.590603212,-0.610495979
TB62,Cl,0.569271277,0.566896304,0.75450068,0.752925165,0.209252584
TB62,SO4,0.322708965,0.323037768,0.568074788,0.568364115,-0.050905313
TBT,NO3,0.39759374,0.397199781,0.630550347,0.630237876,0.049579786
TBT,TN,0.168945439,0.170918477,0.41102973,0.413422879,-0.578862161
TBT,SRP,0.468084357,0.469896988,0.684166907,0.685490327,-0.193061687
TBT,TP,0.773776961,0.784696263,0.879645929,0.885830832,-0.698203578
TBT,TSS,2.916012914,2.950090493,1.707633718,1.717582747,-0.579245991
TBT,Cl,0.788272536,0.792093678,0.887847136,0.889996449,-0.241496808
TBT,SO4,0.256597411,0.259814382,0.50655445,0.509719906,-0.621018626
WEC,NO3,0.142204863,0.142020442,0.377100601,0.376855997,0.06490648
WEC,TN,0.09716839,0.097782869,0.311718446,0.312702525,-0.314701183
WEC,SRP,0.44283766,0.446627698,0.665460488,0.668302101,-0.425198936
WEC,TP,0.325461859,0.325685527,0.570492646,0.570688643,-0.034343912
WEC,TSS,0.57601601,0.575950821,0.758957186,0.758914238,0.005659088
WEC,Cl,0.121564501,0.121564501,0.348661012,0.348661012,0
WEC,SO4,0.059855136,0.059951502,0.244653093,0.244849958,-0.080402345
WFWR,NO3,0.883049386,0.888606666,0.939707075,0.942659358,-0.313186696
WFWR,TN,0.176459951,0.177959445,0.420071365,0.421852398,-0.42219341
WFWR,SRP,0.522189034,0.523334495,0.722626483,0.723418617,-0.109498708
WFWR,TP,0.658013209,0.675535691,0.811180134,0.821909783,-1.305453372
WFWR,TSS,1.037387404,1.055215915,1.018522166,1.02723703,-0.848378992
WFWR,Cl,0.217238025,0.218696319,0.466088001,0.467649783,-0.333963889
WFWR,SO4,0.091786478,0.091995049,0.302962832,0.303306856,-0.113424251
WR45,NO3,0.761245712,0.771073046,0.872493961,0.878107651,-0.63929397
WR45,TN,0.194731207,0.196159064,0.44128359,0.44289848,-0.364618451
WR45,SRP,0.603166153,0.606243079,0.776637723,0.778616131,-0.254092809
WR45,TP,0.317420707,0.318917039,0.563401018,0.564727402,-0.234871559
WR45,TSS,0.538257321,0.541876273,0.733660221,0.736122458,-0.334487333
WR45,Cl,0.220659084,0.221102688,0.469743636,0.470215576,-0.10036659
WR45,SO4,0.106153463,0.106415241,0.325812006,0.32621349,-0.123073962
Wyman,NO3,0.485157075,0.494660305,0.696532178,0.703320912,-0.965239844
Wyman,TN,0.150577312,0.152851466,0.388042926,0.390962231,-0.746697413
Wyman,SRP,0.456569463,0.458738761,0.67569924,0.677302562,-0.236721693
Wyman,TP,0.424753537,0.42643856,0.651731185,0.653022634,-0.197764821
Wyman,TSS,0.777027095,0.77886512,0.881491404,0.882533353,-0.118063466
Wyman,Cl,0.147442772,0.147221755,0.383982775,0.383694873,0.075034201
Wyman,SO4,0.162655146,0.162655146,0.403305276,0.403305276,0
