"","Date","concentrations.TP","Flow"
"192",2013-05-10,0.332,1550
"193",2013-05-21,0.086,1760
"194",2013-05-21,0.052,1760
"195",2013-05-21,0.44,1760
"196",2013-05-30,0.104,263
"197",2013-06-06,0.036,241
"198",2013-06-12,0.044,44
"199",2013-07-08,0.034,2.3
"200",2013-07-19,0.05,2.3
"201",2013-07-31,0.04,8.2
"202",2013-08-07,0.044,4.7
"203",2013-08-08,0.198,296
"204",2013-08-13,0.132,251
"205",2013-08-20,0.039,8.5
"206",2013-08-28,0.034,2.9
"207",2013-09-04,0.048,1.2
"208",2013-09-11,0.04,0.74
"209",2013-09-18,0.034,1.8
"210",2013-10-02,0.038,3.3
"211",2013-10-05,0.144,531
"212",2013-10-24,0.026,27
"213",2013-10-30,0.044,54
"214",2013-11-06,0.034,66
"215",2013-11-13,0.026,31
"216",2013-11-21,0.496,424
"217",2013-12-02,0.014,28
"218",2013-12-12,0.022,36
"219",2013-12-18,0.044,216
"220",2013-12-21,0.398,1980
"221",2014-01-09,0.04,195
"222",2014-01-10,0.132,689
"223",2014-01-22,0.02,104
"224",2014-01-22,0.022,104
"225",2014-01-28,0.038,49
"226",2014-02-06,0.024,54
"227",2014-02-12,0.018,45
"228",2014-02-21,0.018,53
"229",2014-02-25,0.016,42
"230",2014-03-07,0.22,485
"231",2014-03-11,0.036,236
"232",2014-03-16,0.174,3150
"233",2014-03-27,0.034,110
"234",2014-04-03,0.074,228
"235",2014-04-04,0.124,746
"236",2014-04-07,0.204,1420
"237",2014-04-07,0.222,1420
"238",2014-04-14,0.068,599
"239",2014-04-22,0.03,184
"240",2014-04-28,0.042,133
"241",2014-05-09,0.08,157
"242",2014-05-13,0.148,724
"243",2014-05-13,0.138,724
"244",2014-05-20,0.044,134
"245",2014-05-28,0.046,48
"246",2014-06-02,0.04,95
"247",2014-06-10,0.118,221
"248",2014-07-01,0.034,10
"249",2014-07-09,0.04,2.7
"250",2014-07-23,0.04,1.9
"251",2014-07-29,0.04,0.78
"252",2014-08-05,0.036,0.79
"253",2014-08-12,0.038,9
"254",2014-08-19,0.04,6.1
"255",2014-08-27,0.066,1.7
"256",2014-09-02,0.194,274
"257",2014-09-10,0.03,9.6
"258",2014-09-17,0.029,49
"259",2014-09-18,0.162,271
"260",2014-09-24,0.036,19
"261",2014-10-01,0.034,8
"262",2014-10-03,0.06,64
"263",2014-10-08,0.034,5.4
"264",2014-10-10,0.586,631
"265",2014-10-13,0.716,1870
"266",2014-10-22,0.03,27
"267",2014-10-29,0.03,6.3
"268",2014-11-04,0.11,180
"269",2014-11-12,0.026,19
"270",2014-11-19,0.02,6.2
"271",2014-12-05,0.018,82
"272",2014-12-10,0.026,75
"273",2014-12-17,0.044,197
"274",2015-01-04,0.076,699
"275",2015-01-07,0.022,169
"276",2015-01-14,0.016,64
"277",2015-01-21,0.03,32
"278",2015-01-28,0.016,15
"279",2015-02-04,0.006,34
"280",2015-02-11,0.01,17
"281",2015-02-18,0.02,20
"282",2015-02-25,0.036,88
"283",2015-03-05,0.097,799
"284",2015-03-10,0.132,1020
"285",2015-03-14,0.29,2360
"286",2015-03-19,0.054,572
"287",2015-03-26,0.28,1510
"288",2015-04-01,0.06,207
"289",2015-04-13,0.062,127
"290",2015-04-22,0.04,159
"291",2015-04-24,0.278,269
"292",2015-04-29,0.074,61
"293",2015-05-08,1.216,796
"294",2015-05-11,0.542,4070
"295",2015-05-17,1.608,2810
"296",2015-06-01,0.05,746
"297",2015-06-19,0.4,4280
