"","Date","concentrations.TN","Flow"
"192",2013-05-10,1.09,1550
"193",2013-05-21,0.77,1760
"194",2013-05-21,0.64,1760
"195",2013-05-21,1.19,1760
"196",2013-05-30,0.78,263
"197",2013-06-06,0.36,241
"198",2013-06-12,0.32,44
"199",2013-07-08,0.28,2.3
"200",2013-07-19,0.82,2.3
"201",2013-07-31,0.44,8.2
"202",2013-08-07,1.32,4.7
"203",2013-08-08,1.57,296
"204",2013-08-13,0.8,251
"205",2013-08-20,1.08,8.5
"206",2013-08-28,0.24,2.9
"207",2013-09-04,0.4,1.2
"208",2013-09-11,0.33,0.74
"209",2013-09-18,0.32,1.8
"210",2013-10-02,0.47,3.3
"211",2013-10-05,1.51,531
"212",2013-10-24,0.3,27
"213",2013-10-30,0.52,54
"214",2013-11-06,0.52,66
"215",2013-11-13,0.38,31
"216",2013-11-21,0.93,424
"217",2013-12-02,0.61,28
"218",2013-12-12,0.57,36
"219",2013-12-18,0.74,216
"220",2013-12-21,1.43,1980
"221",2014-01-09,1.02,195
"222",2014-01-10,0.96,689
"223",2014-01-22,0.75,104
"224",2014-01-22,0.7,104
"225",2014-01-28,0.63,49
"226",2014-02-06,0.61,54
"227",2014-02-12,0.67,45
"228",2014-02-21,0.45,53
"229",2014-02-25,0.41,42
"230",2014-03-07,0.81,485
"231",2014-03-11,0.56,236
"232",2014-03-16,1.64,3150
"233",2014-03-27,0.73,110
"234",2014-04-03,0.52,228
"235",2014-04-04,0.57,746
"236",2014-04-07,0.82,1420
"237",2014-04-07,0.82,1420
"238",2014-04-14,1.02,599
"239",2014-04-22,0.34,184
"240",2014-04-28,0.64,133
"241",2014-05-09,0.63,157
"242",2014-05-13,0.62,724
"243",2014-05-13,0.6,724
"244",2014-05-20,0.27,134
"245",2014-05-28,0.45,48
"246",2014-06-02,0.36,95
"247",2014-06-10,0.65,221
"248",2014-07-01,0.37,10
"249",2014-07-09,0.34,2.7
"250",2014-07-23,0.42,1.9
"251",2014-07-29,0.3,0.78
"252",2014-08-05,0.555,0.79
"253",2014-08-12,0.58,9
"254",2014-08-19,0.35,6.1
"255",2014-08-27,0.51,1.7
"256",2014-09-02,0.9,274
"257",2014-09-10,0.82,9.6
"258",2014-09-17,0.66,49
"259",2014-09-18,0.84,271
"260",2014-09-24,0.48,19
"261",2014-10-01,0.44,8
"262",2014-10-03,0.54,64
"263",2014-10-08,0.34,5.4
"264",2014-10-10,1.23,631
"265",2014-10-13,1.53,1870
"266",2014-10-22,0.6,27
"267",2014-10-29,0.36,6.3
"268",2014-11-04,0.62,180
"269",2014-11-12,0.305,19
"270",2014-11-19,0.3,6.2
"271",2014-12-05,0.27,82
"272",2014-12-10,0.4,75
"273",2014-12-17,0.55,197
"274",2015-01-04,0.705,699
"275",2015-01-07,0.58,169
"276",2015-01-14,0.53,64
"277",2015-01-21,0.34,32
"278",2015-01-28,0.3,15
"279",2015-02-04,0.34,34
"280",2015-02-11,0.28,17
"281",2015-02-18,0.37,20
"282",2015-02-25,0.53,88
"283",2015-03-05,0.74,799
"284",2015-03-10,0.8,1020
"285",2015-03-14,1.06,2360
"286",2015-03-19,0.66,572
"287",2015-03-26,1,1510
"288",2015-04-01,0.44,207
"289",2015-04-13,0.45,127
"290",2015-04-22,0.26,159
"291",2015-04-24,0.83,269
"292",2015-04-29,0.41,61
"293",2015-05-08,2.1,796
"294",2015-05-11,1.03,4070
"295",2015-05-17,2.19,2810
"296",2015-06-01,0.39,746
"297",2015-06-19,0.7,4280
