"","folds.5","folds.6","folds.7","folds.8","folds.9","folds.10","folds.11","folds.12","folds.13","folds.14","folds.15","folds.16","folds.17","folds.18","folds.19","folds.20","folds.21","folds.22","folds.23","folds.24","folds.25","folds.26","folds.27","folds.28","folds.29","folds.30","folds.31","folds.32","folds.33","folds.34","folds.35","folds.36","folds.37","folds.38","folds.39","folds.40","folds.41","folds.42","folds.43","folds.44","folds.45"
"435",0.4,0.2,0.2,0.25,0.25,0.3,0.25,0.25,0.2,0.2,0.25,0.25,0.25,0.25,0.25,0.2,0.25,0.3,0.25,0.3,0.3,0.25,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.25,0.2,0.25,0.25,0.25,0.25,0.25
"436",0.2,0.25,0.2,0.25,0.25,0.25,0.25,0.3,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.25,0.3,0.25,0.2,0.25,0.2,0.3,0.25,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.25
"437",0.35,0.25,0.25,0.2,0.25,0.25,0.2,0.25,0.3,0.2,0.25,0.25,0.3,0.25,0.3,0.25,0.25,0.25,0.3,0.25,0.25,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.3,0.25,0.25,0.25,0.25,0.25,0.2,0.25,0.25,0.25,0.25,0.25
"438",0.3,0.2,0.2,0.25,0.25,0.3,0.25,0.25,0.3,0.3,0.25,0.25,0.25,0.3,0.25,0.25,0.2,0.2,0.25,0.2,0.25,0.3,0.25,0.2,0.25,0.25,0.25,0.25,0.25,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.25,0.25,0.25
"439",0.35,0.3,0.25,0.2,0.3,0.25,0.3,0.25,0.2,0.25,0.25,0.25,0.25,0.2,0.25,0.2,0.3,0.3,0.2,0.25,0.25,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.2,0.25,0.25,0.3,0.25
"440",0.3,0.3,0.2,0.25,0.25,0.2,0.2,0.2,0.25,0.2,0.25,0.2,0.25,0.25,0.25,0.2,0.25,0.25,0.3,0.25,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.25,0.25,0.2,0.25,0.2,0.25,0.25,0.2,0.25,0.25,0.25,0.25,0.25
"441",0.25,0.2,0.2,0.2,0.3,0.25,0.2,0.25,0.3,0.25,0.25,0.3,0.2,0.25,0.2,0.3,0.25,0.3,0.25,0.2,0.2,0.3,0.2,0.2,0.25,0.25,0.2,0.25,0.25,0.25,0.2,0.2,0.25,0.2,0.25,0.3,0.25,0.3,0.2,0.25,0.25
"442",0.2,0.25,0.3,0.2,0.2,0.3,0.2,0.25,0.2,0.3,0.25,0.2,0.25,0.3,0.25,0.3,0.25,0.25,0.3,0.3,0.25,0.25,0.25,0.2,0.25,0.25,0.25,0.2,0.2,0.3,0.25,0.25,0.2,0.2,0.3,0.2,0.25,0.25,0.2,0.2,0.25
"443",0.25,0.2,0.25,0.25,0.25,0.25,0.2,0.3,0.25,0.25,0.25,0.2,0.3,0.25,0.25,0.25,0.2,0.25,0.2,0.25,0.25,0.25,0.2,0.25,0.25,0.25,0.25,0.2,0.3,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"444",0.25,0.3,0.25,0.3,0.3,0.25,0.2,0.25,0.2,0.2,0.25,0.2,0.3,0.25,0.25,0.25,0.3,0.25,0.3,0.25,0.25,0.25,0.25,0.25,0.3,0.2,0.2,0.25,0.25,0.3,0.3,0.25,0.25,0.2,0.25,0.2,0.2,0.3,0.25,0.2,0.3
