"","Date","concentrations.TN","Flow"
"197",2013-08-14,2.33,1040
"198",2013-08-20,2.68,180
"199",2013-08-28,2.39,45
"200",2013-09-04,2.25,30
"201",2013-09-11,2.13,21
"202",2013-09-18,2.06,26
"203",2013-09-23,2.1,24
"204",2013-10-02,2.11,19
"205",2013-10-06,1.9,536
"206",2013-10-24,1.36,71
"207",2013-10-30,1.645,44
"208",2013-11-06,1.62,60
"209",2013-11-13,1.25,94
"210",2013-11-22,1.67,503
"211",2013-12-02,1.91,81
"212",2013-12-12,1.59,101
"213",2013-12-18,1.655,650
"214",2014-01-09,1.86,323
"215",2014-01-11,1.84,1590
"216",2014-01-22,2.12,231
"217",2014-01-28,2.21,138
"218",2014-02-06,2,105
"219",2014-02-12,2.02,80
"220",2014-02-21,1.54,110
"221",2014-02-25,1.48,83
"222",2014-03-07,1.51,408
"223",2014-03-11,1.56,477
"224",2014-03-17,1.84,3740
"225",2014-03-27,1.92,349
"226",2014-04-03,1.28,457
"227",2014-04-04,1.47,3150
"228",2014-04-07,1.41,2930
"229",2014-04-14,1.32,696
"230",2014-04-22,1.26,298
"231",2014-04-28,1.29,233
"232",2014-05-09,0.93,365
"233",2014-05-13,0.67,964
"234",2014-05-20,0.65,246
"235",2014-05-28,1.19,53
"236",2014-06-02,1.32,71
"237",2014-06-10,1.27,468
"238",2014-07-01,0.82,36
"239",2014-07-09,1.07,16
"240",2014-07-23,1.03,11
"241",2014-07-29,0.89,6.7
"242",2014-08-05,0.97,7.6
"243",2014-08-12,0.95,8.6
"244",2014-08-19,0.41,259
"245",2014-08-27,0.94,13
"246",2014-09-04,1.28,23
"247",2014-09-10,1.25,13
"248",2014-09-17,1.33,15
"249",2014-09-24,1.22,12
"250",2014-10-01,1.2,10
"251",2014-10-08,1.55,16
"252",2014-10-10,1.92,75
"253",2014-10-11,2.09,726
"254",2014-10-13,1.69,1720
"255",2014-10-22,1.77,114
"256",2014-10-29,1.49,48
"257",2014-11-06,1.9,391
"258",2014-11-12,1.22,56
"259",2014-11-19,1.54,19
"260",2014-12-05,1.02,24
"261",2014-12-10,1.09,60
"262",2014-12-17,1.05,258
"263",2015-01-05,1.36,642
"264",2015-01-07,1.62,368
"265",2015-01-14,1.64,105
"266",2015-01-21,1.62,46
"267",2015-01-28,1.54,30
"268",2015-02-04,1.59,31
"269",2015-02-11,1.47,23
"270",2015-02-18,1.41,22
"271",2015-02-25,1.33,195
"272",2015-03-05,1.15,1390
"273",2015-03-11,1.27,915
"274",2015-03-14,1.64,4240
"275",2015-03-19,1.385,914
"276",2015-03-26,1.35,2320
"277",2015-04-01,1.44,377
"278",2015-04-14,1.01,418
"279",2015-04-22,0.69,235
"280",2015-04-29,1.17,89
"281",2015-05-11,1.08,6670
"282",2015-05-17,1.36,2520
"283",2015-06-01,1.4,1010
"284",2015-06-20,0.7,1790
