"","Date","concentrations.TSS","Flow"
"199",2013-08-20,4.7,180
"200",2013-08-28,2.1,45
"201",2013-09-04,2.9,30
"202",2013-09-11,2.4,21
"203",2013-09-18,3.1,26
"204",2013-09-23,2.3,24
"205",2013-10-02,2.9,19
"206",2013-10-06,107.8,536
"207",2013-10-24,9.7,71
"208",2013-10-30,4.05,44
"209",2013-11-06,2.4,60
"210",2013-11-13,0.9,94
"211",2013-11-22,21.6,503
"212",2013-12-02,1.2,81
"213",2013-12-12,0.9,101
"214",2013-12-18,7.2,650
"215",2014-01-09,1.4,323
"216",2014-01-11,79.1,1590
"217",2014-01-22,2.5,231
"218",2014-01-28,0.1,138
"219",2014-02-06,1.5,105
"220",2014-02-12,0.9,80
"221",2014-02-21,2.1,110
"222",2014-02-25,1.3,83
"223",2014-03-07,13.7,408
"224",2014-03-11,4.9,477
"225",2014-03-17,51.3,3740
"226",2014-03-27,5.1,349
"227",2014-04-03,5,457
"228",2014-04-04,404.3,3150
"229",2014-04-07,154.5,2930
"230",2014-04-14,24.2,696
"231",2014-04-22,2.6,298
"232",2014-04-28,3.9,233
"233",2014-05-09,7.6,365
"234",2014-05-13,80.1,964
"235",2014-05-20,3.9,246
"236",2014-05-28,5.5,53
"237",2014-06-02,5.8,71
"238",2014-06-10,22.5,468
"239",2014-07-01,4.05,36
"240",2014-07-09,3.1,16
"241",2014-07-23,2.8,11
"242",2014-07-29,3.8,6.7
"243",2014-08-05,3.9,7.6
"244",2014-08-12,3.9,8.6
"245",2014-08-19,8.3,259
"246",2014-08-27,7.2,13
"247",2014-09-04,5.5,23
"248",2014-09-10,6,13
"249",2014-09-17,4.8,15
"250",2014-09-24,3.9,12
"251",2014-10-01,3.1,10
"252",2014-10-08,3.1,16
"253",2014-10-10,5.2,75
"254",2014-10-11,29.8,726
"255",2014-10-13,214.6,1720
"256",2014-10-22,4.6,114
"257",2014-10-29,2.9,48
"258",2014-11-06,3.3,391
"259",2014-11-12,1.3,56
"260",2014-11-19,0.3,19
"261",2014-12-05,1.9,24
"262",2014-12-10,1.65,60
"263",2014-12-17,4.9,258
"264",2015-01-05,27,642
"265",2015-01-07,3.8,368
"266",2015-01-14,1.9,105
"267",2015-01-21,1.9,46
"268",2015-01-28,2,30
"269",2015-02-04,0.7,31
"270",2015-02-11,1.2,23
"271",2015-02-18,0.1,22
"272",2015-02-25,2.5,195
"273",2015-03-05,30.4,1390
"274",2015-03-11,7.8,915
"275",2015-03-14,105.9,4240
"276",2015-03-19,12.3,914
"277",2015-03-26,181.3,2320
"278",2015-04-01,5.6,377
"279",2015-04-14,10.5,418
"280",2015-04-22,5.2,235
"281",2015-04-29,3.7,89
"282",2015-05-11,199.2,6670
"283",2015-05-17,460.8,2520
"284",2015-06-01,9.8,1010
"285",2015-06-20,105.4,1790
