"","id","folds","span","const","id.1","folds.1","span.1","const.1","id.2","folds.2","span.2","const.2","id.3","folds.3","span.3","const.3","id.4","folds.4","span.4","const.4","id.5","folds.5","span.5","const.5","id.6","folds.6","span.6","const.6","REALID"
"11",11,"folds.5",0.3,"NO3",11,"folds.5",0.45,"TN",11,"folds.5",0.85,"SRP",11,"folds.5",0.7,"TP",11,"folds.5",0.25,"TSS",11,"folds.5",0.5,"Cl",11,"folds.5",0.35,"SO4",11
"12",12,"folds.5",0.75,"NO3",12,"folds.5",0.6,"TN",12,"folds.5",0.9,"SRP",12,"folds.5",0.6,"TP",12,"folds.5",0.25,"TSS",12,"folds.5",0.75,"Cl",12,"folds.5",0.55,"SO4",12
"13",13,"folds.5",0.4,"NO3",13,"folds.5",0.55,"TN",13,"folds.5",0.9,"SRP",13,"folds.5",0.55,"TP",13,"folds.5",0.55,"TSS",13,"folds.5",0.75,"Cl",13,"folds.5",0.35,"SO4",13
"14",14,"folds.5",0.55,"NO3",14,"folds.5",0.6,"TN",14,"folds.5",0.75,"SRP",14,"folds.5",0.4,"TP",14,"folds.5",0.6,"TSS",14,"folds.5",0.5,"Cl",14,"folds.5",0.4,"SO4",14
"15",15,"folds.5",0.5,"NO3",15,"folds.5",0.75,"TN",15,"folds.5",0.8,"SRP",15,"folds.5",0.55,"TP",15,"folds.5",0.4,"TSS",15,"folds.5",0.55,"Cl",15,"folds.5",0.45,"SO4",15
"16",16,"folds.5",0.45,"NO3",16,"folds.5",0.65,"TN",16,"folds.5",0.8,"SRP",16,"folds.5",0.6,"TP",16,"folds.5",0.6,"TSS",16,"folds.5",0.65,"Cl",16,"folds.5",0.55,"SO4",16
"17",17,"folds.5",0.5,"NO3",17,"folds.5",0.7,"TN",17,"folds.5",0.85,"SRP",17,"folds.5",0.6,"TP",17,"folds.5",0.6,"TSS",17,"folds.5",0.5,"Cl",17,"folds.5",0.6,"SO4",17
"18",18,"folds.5",0.45,"NO3",18,"folds.5",0.55,"TN",18,"folds.5",0.75,"SRP",18,"folds.5",0.4,"TP",18,"folds.5",0.35,"TSS",18,"folds.5",0.4,"Cl",18,"folds.5",0.5,"SO4",18
"19",19,"folds.5",0.65,"NO3",19,"folds.5",0.75,"TN",19,"folds.5",0.65,"SRP",19,"folds.5",0.45,"TP",19,"folds.5",0.5,"TSS",19,"folds.5",0.6,"Cl",19,"folds.5",0.45,"SO4",19
"20",20,"folds.5",0.55,"NO3",20,"folds.5",0.35,"TN",20,"folds.5",0.9,"SRP",20,"folds.5",0.3,"TP",20,"folds.5",0.5,"TSS",20,"folds.5",0.45,"Cl",20,"folds.5",0.5,"SO4",20
"21",21,"folds.5",0.5,"NO3",21,"folds.5",0.6,"TN",21,"folds.5",0.75,"SRP",21,"folds.5",0.65,"TP",21,"folds.5",0.25,"TSS",21,"folds.5",0.5,"Cl",21,"folds.5",0.5,"SO4",21
"22",22,"folds.5",0.55,"NO3",22,"folds.5",0.7,"TN",22,"folds.5",0.7,"SRP",22,"folds.5",0.5,"TP",22,"folds.5",0.25,"TSS",22,"folds.5",0.55,"Cl",22,"folds.5",0.55,"SO4",22
"23",23,"folds.5",0.55,"NO3",23,"folds.5",0.5,"TN",23,"folds.5",0.85,"SRP",23,"folds.5",0.7,"TP",23,"folds.5",0.25,"TSS",23,"folds.5",0.55,"Cl",23,"folds.5",0.5,"SO4",23
"24",24,"folds.5",0.5,"NO3",24,"folds.5",0.55,"TN",24,"folds.5",0.75,"SRP",24,"folds.5",0.65,"TP",24,"folds.5",0.55,"TSS",24,"folds.5",0.65,"Cl",24,"folds.5",0.7,"SO4",24
"25",25,"folds.5",0.6,"NO3",25,"folds.5",0.7,"TN",25,"folds.5",0.7,"SRP",25,"folds.5",0.45,"TP",25,"folds.5",0.5,"TSS",25,"folds.5",0.45,"Cl",25,"folds.5",0.65,"SO4",25
"26",26,"folds.5",0.7,"NO3",26,"folds.5",0.6,"TN",26,"folds.5",0.7,"SRP",26,"folds.5",0.7,"TP",26,"folds.5",0.45,"TSS",26,"folds.5",0.5,"Cl",26,"folds.5",0.55,"SO4",26
"27",27,"folds.5",0.6,"NO3",27,"folds.5",0.6,"TN",27,"folds.5",0.7,"SRP",27,"folds.5",0.7,"TP",27,"folds.5",0.45,"TSS",27,"folds.5",0.55,"Cl",27,"folds.5",0.75,"SO4",27
"28",28,"folds.5",0.55,"NO3",28,"folds.5",0.55,"TN",28,"folds.5",0.8,"SRP",28,"folds.5",0.5,"TP",28,"folds.5",0.6,"TSS",28,"folds.5",0.55,"Cl",28,"folds.5",0.7,"SO4",28
"29",29,"folds.5",0.55,"NO3",29,"folds.5",0.5,"TN",29,"folds.5",0.8,"SRP",29,"folds.5",0.65,"TP",29,"folds.5",0.5,"TSS",29,"folds.5",0.6,"Cl",29,"folds.5",0.55,"SO4",29
"30",30,"folds.5",0.6,"NO3",30,"folds.5",0.8,"TN",30,"folds.5",0.6,"SRP",30,"folds.5",0.6,"TP",30,"folds.5",0.25,"TSS",30,"folds.5",0.65,"Cl",30,"folds.5",0.3,"SO4",30
"31",31,"folds.5",0.75,"NO3",31,"folds.5",0.55,"TN",31,"folds.5",0.65,"SRP",31,"folds.5",0.45,"TP",31,"folds.5",0.3,"TSS",31,"folds.5",0.6,"Cl",31,"folds.5",0.45,"SO4",31
"32",32,"folds.5",0.45,"NO3",32,"folds.5",0.45,"TN",32,"folds.5",0.8,"SRP",32,"folds.5",0.75,"TP",32,"folds.5",0.45,"TSS",32,"folds.5",0.75,"Cl",32,"folds.5",0.5,"SO4",32
"33",33,"folds.5",0.55,"NO3",33,"folds.5",0.55,"TN",33,"folds.5",0.65,"SRP",33,"folds.5",0.45,"TP",33,"folds.5",0.55,"TSS",33,"folds.5",0.75,"Cl",33,"folds.5",0.25,"SO4",33
"34",34,"folds.5",0.7,"NO3",34,"folds.5",0.6,"TN",34,"folds.5",0.8,"SRP",34,"folds.5",0.7,"TP",34,"folds.5",0.25,"TSS",34,"folds.5",0.7,"Cl",34,"folds.5",0.6,"SO4",34
"35",35,"folds.5",0.3,"NO3",35,"folds.5",0.55,"TN",35,"folds.5",0.8,"SRP",35,"folds.5",0.4,"TP",35,"folds.5",0.25,"TSS",35,"folds.5",0.9,"Cl",35,"folds.5",0.4,"SO4",35
"36",36,"folds.5",0.5,"NO3",36,"folds.5",0.65,"TN",36,"folds.5",0.75,"SRP",36,"folds.5",0.3,"TP",36,"folds.5",0.2,"TSS",36,"folds.5",0.5,"Cl",36,"folds.5",0.55,"SO4",36
"37",37,"folds.5",0.55,"NO3",37,"folds.5",0.7,"TN",37,"folds.5",0.85,"SRP",37,"folds.5",0.6,"TP",37,"folds.5",0.25,"TSS",37,"folds.5",0.25,"Cl",37,"folds.5",0.75,"SO4",37
"38",38,"folds.5",0.35,"NO3",38,"folds.5",0.4,"TN",38,"folds.5",0.85,"SRP",38,"folds.5",0.65,"TP",38,"folds.5",0.5,"TSS",38,"folds.5",0.7,"Cl",38,"folds.5",0.3,"SO4",38
"39",39,"folds.5",0.35,"NO3",39,"folds.5",0.5,"TN",39,"folds.5",0.85,"SRP",39,"folds.5",0.8,"TP",39,"folds.5",0.25,"TSS",39,"folds.5",0.6,"Cl",39,"folds.5",0.65,"SO4",39
"40",40,"folds.5",0.65,"NO3",40,"folds.5",0.8,"TN",40,"folds.5",0.8,"SRP",40,"folds.5",0.4,"TP",40,"folds.5",0.25,"TSS",40,"folds.5",0.75,"Cl",40,"folds.5",0.65,"SO4",40
"41",41,"folds.5",0.75,"NO3",41,"folds.5",0.8,"TN",41,"folds.5",0.75,"SRP",41,"folds.5",0.6,"TP",41,"folds.5",0.3,"TSS",41,"folds.5",0.8,"Cl",41,"folds.5",0.45,"SO4",41
"42",42,"folds.5",0.45,"NO3",42,"folds.5",0.65,"TN",42,"folds.5",0.65,"SRP",42,"folds.5",0.65,"TP",42,"folds.5",0.2,"TSS",42,"folds.5",0.7,"Cl",42,"folds.5",0.6,"SO4",42
"43",43,"folds.5",0.55,"NO3",43,"folds.5",0.75,"TN",43,"folds.5",0.75,"SRP",43,"folds.5",0.4,"TP",43,"folds.5",0.25,"TSS",43,"folds.5",0.7,"Cl",43,"folds.5",0.45,"SO4",43
"44",44,"folds.5",0.5,"NO3",44,"folds.5",0.65,"TN",44,"folds.5",0.85,"SRP",44,"folds.5",0.45,"TP",44,"folds.5",0.45,"TSS",44,"folds.5",0.8,"Cl",44,"folds.5",0.75,"SO4",44
"45",45,"folds.5",0.5,"NO3",45,"folds.5",0.5,"TN",45,"folds.5",0.55,"SRP",45,"folds.5",0.35,"TP",45,"folds.5",0.55,"TSS",45,"folds.5",0.45,"Cl",45,"folds.5",0.75,"SO4",45
"46",46,"folds.5",0.75,"NO3",46,"folds.5",0.75,"TN",46,"folds.5",0.75,"SRP",46,"folds.5",0.6,"TP",46,"folds.5",0.25,"TSS",46,"folds.5",0.6,"Cl",46,"folds.5",0.65,"SO4",46
"47",47,"folds.5",0.55,"NO3",47,"folds.5",0.75,"TN",47,"folds.5",0.9,"SRP",47,"folds.5",0.45,"TP",47,"folds.5",0.25,"TSS",47,"folds.5",0.85,"Cl",47,"folds.5",0.65,"SO4",47
"48",48,"folds.5",0.7,"NO3",48,"folds.5",0.65,"TN",48,"folds.5",0.8,"SRP",48,"folds.5",0.35,"TP",48,"folds.5",0.25,"TSS",48,"folds.5",0.7,"Cl",48,"folds.5",0.65,"SO4",48
"49",49,"folds.5",0.5,"NO3",49,"folds.5",0.65,"TN",49,"folds.5",0.75,"SRP",49,"folds.5",0.6,"TP",49,"folds.5",0.45,"TSS",49,"folds.5",0.5,"Cl",49,"folds.5",0.6,"SO4",49
"50",50,"folds.5",0.35,"NO3",50,"folds.5",0.8,"TN",50,"folds.5",0.65,"SRP",50,"folds.5",0.5,"TP",50,"folds.5",0.3,"TSS",50,"folds.5",0.85,"Cl",50,"folds.5",0.9,"SO4",50
"51",1,"folds.6",0.45,"NO3",1,"folds.6",0.6,"TN",1,"folds.6",0.7,"SRP",1,"folds.6",0.55,"TP",1,"folds.6",0.25,"TSS",1,"folds.6",0.35,"Cl",1,"folds.6",0.55,"SO4",51
"52",2,"folds.6",0.35,"NO3",2,"folds.6",0.7,"TN",2,"folds.6",0.8,"SRP",2,"folds.6",0.35,"TP",2,"folds.6",0.55,"TSS",2,"folds.6",0.65,"Cl",2,"folds.6",0.3,"SO4",52
"53",3,"folds.6",0.6,"NO3",3,"folds.6",0.6,"TN",3,"folds.6",0.7,"SRP",3,"folds.6",0.75,"TP",3,"folds.6",0.3,"TSS",3,"folds.6",0.65,"Cl",3,"folds.6",0.65,"SO4",53
"54",4,"folds.6",0.5,"NO3",4,"folds.6",0.65,"TN",4,"folds.6",0.55,"SRP",4,"folds.6",0.45,"TP",4,"folds.6",0.5,"TSS",4,"folds.6",0.55,"Cl",4,"folds.6",0.65,"SO4",54
"55",5,"folds.6",0.55,"NO3",5,"folds.6",0.7,"TN",5,"folds.6",0.85,"SRP",5,"folds.6",0.6,"TP",5,"folds.6",0.35,"TSS",5,"folds.6",0.55,"Cl",5,"folds.6",0.5,"SO4",55
"56",6,"folds.6",0.6,"NO3",6,"folds.6",0.75,"TN",6,"folds.6",0.85,"SRP",6,"folds.6",0.3,"TP",6,"folds.6",0.25,"TSS",6,"folds.6",0.65,"Cl",6,"folds.6",0.45,"SO4",56
"57",7,"folds.6",0.5,"NO3",7,"folds.6",0.6,"TN",7,"folds.6",0.8,"SRP",7,"folds.6",0.75,"TP",7,"folds.6",0.45,"TSS",7,"folds.6",0.8,"Cl",7,"folds.6",0.65,"SO4",57
"58",8,"folds.6",0.3,"NO3",8,"folds.6",0.5,"TN",8,"folds.6",0.9,"SRP",8,"folds.6",0.5,"TP",8,"folds.6",0.65,"TSS",8,"folds.6",0.6,"Cl",8,"folds.6",0.55,"SO4",58
"59",9,"folds.6",0.5,"NO3",9,"folds.6",0.8,"TN",9,"folds.6",0.6,"SRP",9,"folds.6",0.65,"TP",9,"folds.6",0.35,"TSS",9,"folds.6",0.7,"Cl",9,"folds.6",0.5,"SO4",59
"60",10,"folds.6",0.45,"NO3",10,"folds.6",0.65,"TN",10,"folds.6",0.85,"SRP",10,"folds.6",0.55,"TP",10,"folds.6",0.3,"TSS",10,"folds.6",0.55,"Cl",10,"folds.6",0.65,"SO4",60
