Date,NO3,TN,SRP,TP,TSS,Cl,SO4
2012-02-08,4.289,4.77,0.149,0.174,1.9,34.439,45.833
2012-02-15,4.109,4.33,0.039,0.048,0.6,7.268,4.861
2012-02-29,3.863,4.22,0.188,0.21,2.7,39.853,58.139
2012-03-15,3.3,4.16,0.124,0.142,2.7,43.688,68.344
2012-03-20,1.717,2.31,0.168,0.252,16.5,12.729,18.251
2012-03-28,3.778,5.05,0.15,0.16,1.9,24.736,41.094
2012-04-11,3.909,4.43,0.145,0.166,2.1,37.029,45.667
2012-04-15,1.627,2.44,0.124,0.262,157.6,14.127,20.143
2012-04-25,4.111,4.49,0.235,0.262,2.7,42.931,24.659
2012-04-30,3.382,3.85,0.148,0.188,5,44.258,51.579
2012-05-09,3.681,4.06,0.227,0.254,5.7,45.257,71.075
2012-05-17,3.457,3.99,0.158,0.176,4.5,60.351,72.083
2012-05-23,3.772,4.56,0.14,0.166,4.3,53.976,75.681
2012-05-31,0.618,3.74,0.142,0.18,6.2,7.249,10.586
2012-06-06,3.163,3.3,0.05,0.07,5.1,31.768,24.568
2012-06-13,3.165,3.82,0.179,0.198,2.6,65.393,82.443
2012-06-20,3.1035,3.5,0.222,0.247,4.25,62.992,100.573
2012-06-28,3.112,3.55,0.154,0.18,4.1,70.13,97.457
2012-07-11,2.821,3.38,0.948,0.96,4.7,75.646,83.645
2012-07-18,2.946,3.5,0.594,0.634,7.5,108.52,206.11
2012-07-25,2.509,2.94,0.353,0.39,4.5,78.794,113.39
2012-08-01,2.456,3.04,0.335,0.366,2.3,65.22,127.16
2012-08-16,2.922,3.24,0.352,0.36,5,64.487,105.91
2012-08-22,3.143,3.615,0.3355,0.361,4.05,65.4985,105.895
2012-08-27,2.275,2.82,0.223,0.272,12.5,26.912,41.594
2012-09-06,3.448,3.66,0.402,0.43,4.8,54.808,77.172
2012-09-12,3.556,3.62,0.313,0.326,1.1,47.289,77.319
2012-09-27,3.37,3.63,0.221,0.246,2.3,50.746,72.407
2012-10-03,3.253,3.83,0.258,0.296,3,61.718,93.612
2012-10-10,3.9495,4.05,0.257,0.304,1.9,58.9195,92.403
2012-10-12,1.618,2.51,0.212,0.346,35.2,20.756,30.244
2012-10-16,3.059,3.24,0.236,0.266,3.4,40.19,58.989
2012-10-25,3.215,3.57,0.179,0.215,1.8,53.732,77.014
2012-11-01,3.732,3.96,0.19,0.208,2.7,55.303,76.209
2012-11-08,4.076,3.88,0.276,0.302,3.2,59.648,88.004
2012-11-15,4.144,4.5,0.236,0.262,1.7,67.162,99.45
2012-11-29,4.4555,4.91,0.196,0.227,1.15,62.739,86.256
2012-12-06,3.719,3.93,0.154,0.198,1.8,52.02,79.772
2012-12-13,4.204,4.34,0.276,0.292,0.3,63.368,92.526
2013-01-03,3.577,3.88,0.188,0.202,0.8,47.581,41.924
2013-01-11,3.927,4.37,0.158,0.21,4.3,72.511,84.699
2013-01-14,3.5,3.62,0.141,0.158,0.3,63.905,76.722
