"","folds.5","folds.6","folds.7","folds.8","folds.9","folds.10","folds.11","folds.12","folds.13","folds.14","folds.15","folds.16","folds.17","folds.18","folds.19","folds.20","folds.21","folds.22","folds.23","folds.24","folds.25","folds.26","folds.27","folds.28","folds.29","folds.30","folds.31","folds.32","folds.33","folds.34","folds.35","folds.36","folds.37","folds.38","folds.39","folds.40","folds.41","folds.42","folds.43","folds.44","folds.45"
"493",0.85,0.7,0.85,0.9,0.9,0.75,0.85,0.9,0.9,0.9,0.9,0.9,0.85,0.9,0.85,0.9,0.85,0.85,0.9,0.85,0.85,0.9,0.8,0.9,0.9,0.85,0.85,0.85,0.85,0.85,0.85,0.8,0.85,0.9,0.85,0.85,0.9,0.85,0.9,0.85,0.9
"494",0.9,0.85,0.65,0.85,0.85,0.9,0.9,0.85,0.9,0.9,0.85,0.75,0.85,0.9,0.9,0.9,0.85,0.9,0.8,0.85,0.9,0.65,0.8,0.85,0.85,0.85,0.85,0.85,0.75,0.85,0.9,0.85,0.9,0.9,0.85,0.9,0.8,0.85,0.85,0.9,0.9
"495",0.9,0.85,0.9,0.85,0.85,0.9,0.85,0.8,0.85,0.9,0.85,0.9,0.9,0.85,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.8,0.8,0.85,0.85,0.85,0.9,0.9,0.8,0.9,0.75,0.85,0.85,0.85,0.9,0.9,0.9,0.85,0.9,0.9,0.85
"496",0.9,0.85,0.8,0.9,0.85,0.85,0.9,0.9,0.8,0.85,0.9,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.9,0.9,0.9,0.85,0.85,0.9,0.85,0.9,0.9,0.8,0.85,0.9,0.85,0.9,0.85,0.85,0.8,0.85,0.9,0.85,0.85,0.8,0.9
"497",0.8,0.75,0.85,0.85,0.85,0.85,0.8,0.85,0.85,0.7,0.9,0.9,0.9,0.85,0.8,0.9,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.9,0.85,0.9,0.75,0.85,0.85,0.9,0.9,0.8
"498",0.8,0.75,0.85,0.85,0.85,0.9,0.85,0.9,0.9,0.8,0.9,0.9,0.9,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.85,0.9,0.8,0.85,0.9,0.9,0.9,0.8,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.85,0.8,0.85,0.9
"499",0.8,0.75,0.85,0.85,0.8,0.8,0.85,0.9,0.9,0.9,0.9,0.85,0.8,0.85,0.9,0.85,0.9,0.75,0.85,0.9,0.85,0.9,0.85,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.85,0.9,0.9,0.9,0.9,0.85,0.85,0.85,0.9,0.85,0.85
"500",0.9,0.8,0.8,0.85,0.85,0.8,0.9,0.9,0.8,0.9,0.85,0.8,0.9,0.85,0.85,0.9,0.85,0.85,0.9,0.85,0.85,0.85,0.9,0.9,0.85,0.85,0.85,0.8,0.85,0.85,0.9,0.85,0.85,0.85,0.9,0.85,0.8,0.9,0.85,0.85,0.8
"501",0.75,0.85,0.8,0.75,0.9,0.7,0.9,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.85,0.85,0.9,0.9,0.85,0.85,0.85,0.75,0.8,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.9,0.85,0.9,0.85,0.85,0.75,0.9,0.85,0.75
"502",0.9,0.9,0.8,0.85,0.85,0.9,0.9,0.9,0.85,0.9,0.9,0.85,0.9,0.8,0.85,0.9,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.85,0.9,0.9,0.85,0.85,0.9,0.9,0.85,0.85,0.9,0.85,0.85,0.9,0.85,0.8,0.85,0.85,0.8
"503",0.85,0.8,0.85,0.85,0.85,0.9,0.9,0.8,0.9,0.85,0.9,0.85,0.85,0.9,0.7,0.8,0.85,0.9,0.85,0.85,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.9,0.85,0.85,0.85,0.9,0.8,0.9,0.85,0.9,0.85
"504",0.8,0.9,0.8,0.9,0.85,0.9,0.8,0.8,0.85,0.9,0.75,0.9,0.85,0.85,0.85,0.9,0.8,0.8,0.85,0.85,0.9,0.6,0.8,0.85,0.9,0.85,0.85,0.75,0.85,0.85,0.9,0.85,0.85,0.9,0.75,0.85,0.85,0.9,0.85,0.85,0.85
"505",0.9,0.85,0.9,0.9,0.9,0.85,0.85,0.8,0.9,0.75,0.85,0.9,0.85,0.85,0.85,0.8,0.9,0.8,0.85,0.9,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.9,0.9,0.9,0.85,0.9,0.85,0.85,0.85,0.85,0.85
"506",0.9,0.9,0.9,0.9,0.9,0.85,0.9,0.9,0.9,0.85,0.8,0.9,0.85,0.85,0.9,0.85,0.85,0.9,0.85,0.85,0.85,0.9,0.85,0.85,0.9,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.9,0.9,0.9,0.9,0.75,0.85,0.9,0.8,0.8
"507",0.9,0.75,0.85,0.9,0.9,0.9,0.9,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.9,0.85,0.9,0.9,0.85,0.9,0.85,0.85,0.85,0.85,0.85,0.8,0.85,0.85,0.85,0.9,0.85,0.85,0.85,0.85,0.9,0.9,0.8,0.9,0.85,0.9,0.85
"508",0.85,0.8,0.85,0.85,0.8,0.8,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.85,0.8,0.9,0.85,0.85,0.85,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.85,0.9,0.7,0.9,0.65,0.9,0.9,0.85,0.85
"509",0.85,0.9,0.85,0.8,0.85,0.75,0.8,0.85,0.8,0.9,0.9,0.85,0.85,0.9,0.85,0.85,0.9,0.85,0.85,0.9,0.9,0.85,0.85,0.85,0.85,0.9,0.85,0.9,0.8,0.9,0.85,0.85,0.9,0.85,0.85,0.85,0.85,0.9,0.9,0.8,0.85
"510",0.85,0.85,0.85,0.8,0.85,0.9,0.85,0.9,0.8,0.85,0.9,0.85,0.9,0.9,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.9,0.9,0.9,0.8,0.85,0.9,0.8,0.75,0.8,0.85,0.85,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.85,0.75
"511",0.9,0.8,0.9,0.85,0.85,0.8,0.85,0.9,0.9,0.85,0.9,0.8,0.85,0.85,0.85,0.9,0.9,0.9,0.85,0.8,0.85,0.85,0.9,0.9,0.85,0.85,0.85,0.9,0.85,0.9,0.9,0.9,0.9,0.85,0.9,0.9,0.8,0.8,0.8,0.85,0.85
"512",0.8,0.85,0.9,0.75,0.8,0.9,0.85,0.9,0.9,0.85,0.9,0.9,0.9,0.9,0.9,0.85,0.9,0.9,0.85,0.85,0.9,0.85,0.85,0.85,0.8,0.9,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.85,0.9,0.9,0.85,0.85,0.85,0.9,0.85
"513",0.85,0.8,0.9,0.9,0.85,0.85,0.85,0.9,0.85,0.8,0.85,0.85,0.8,0.9,0.8,0.85,0.9,0.85,0.9,0.9,0.9,0.9,0.85,0.8,0.85,0.85,0.9,0.85,0.85,0.9,0.85,0.85,0.85,0.9,0.9,0.85,0.9,0.9,0.85,0.85,0.85
"514",0.9,0.85,0.7,0.8,0.85,0.85,0.8,0.8,0.9,0.9,0.85,0.9,0.75,0.75,0.8,0.9,0.85,0.85,0.9,0.85,0.85,0.9,0.85,0.85,0.85,0.9,0.85,0.7,0.85,0.85,0.85,0.9,0.85,0.9,0.85,0.85,0.9,0.9,0.85,0.85,0.85
"515",0.85,0.85,0.8,0.9,0.85,0.85,0.9,0.85,0.9,0.85,0.8,0.7,0.9,0.8,0.85,0.8,0.85,0.9,0.85,0.85,0.85,0.85,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.9,0.85,0.8,0.9,0.85,0.85,0.85,0.9
"516",0.9,0.8,0.7,0.9,0.9,0.8,0.85,0.85,0.9,0.8,0.9,0.85,0.9,0.8,0.9,0.85,0.9,0.85,0.9,0.9,0.9,0.85,0.8,0.8,0.85,0.9,0.85,0.85,0.85,0.85,0.9,0.9,0.9,0.85,0.9,0.9,0.9,0.85,0.85,0.9,0.9
"517",0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.85,0.9,0.8,0.9,0.75,0.85,0.9,0.85,0.85,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.85,0.85,0.9,0.8,0.7,0.85,0.9,0.9,0.85,0.9,0.9,0.85,0.85,0.85,0.85,0.85,0.8
"518",0.85,0.85,0.9,0.9,0.85,0.85,0.8,0.9,0.85,0.85,0.8,0.9,0.85,0.9,0.85,0.85,0.85,0.9,0.85,0.85,0.85,0.75,0.85,0.85,0.9,0.9,0.9,0.9,0.9,0.85,0.9,0.8,0.85,0.9,0.85,0.85,0.9,0.85,0.85,0.85,0.9
"519",0.8,0.9,0.85,0.85,0.8,0.85,0.85,0.85,0.85,0.9,0.9,0.8,0.85,0.9,0.9,0.85,0.9,0.85,0.85,0.85,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.9,0.9,0.85,0.85,0.85,0.85,0.85,0.9,0.8,0.85,0.7,0.9,0.9,0.85
"520",0.9,0.8,0.9,0.85,0.8,0.85,0.9,0.9,0.85,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.85,0.85,0.9,0.9,0.85,0.85,0.85,0.9,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.8,0.9,0.85,0.9,0.9,0.9
"521",0.85,0.9,0.85,0.85,0.85,0.85,0.8,0.85,0.8,0.9,0.8,0.75,0.85,0.85,0.85,0.9,0.85,0.85,0.9,0.9,0.85,0.85,0.9,0.85,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.9,0.9,0.9,0.75,0.85,0.9,0.85,0.9,0.85,0.7
"522",0.8,0.75,0.85,0.9,0.9,0.9,0.8,0.85,0.9,0.85,0.75,0.85,0.85,0.85,0.9,0.9,0.85,0.85,0.9,0.85,0.85,0.85,0.7,0.85,0.9,0.85,0.85,0.8,0.85,0.9,0.9,0.85,0.85,0.9,0.9,0.9,0.8,0.9,0.9,0.85,0.85
"523",0.8,0.85,0.9,0.9,0.8,0.9,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.9,0.85,0.85,0.9,0.85,0.9,0.85,0.9,0.85,0.9,0.85,0.85,0.9,0.85,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.8,0.7,0.85,0.9,0.85,0.9,0.85
"524",0.9,0.65,0.8,0.9,0.8,0.8,0.85,0.9,0.85,0.85,0.85,0.85,0.85,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.8,0.9,0.9,0.9,0.85,0.85,0.85,0.9,0.85,0.9,0.9,0.9,0.9,0.85,0.7,0.85,0.9,0.85,0.9,0.65,0.85
"525",0.9,0.85,0.85,0.8,0.85,0.85,0.9,0.85,0.8,0.85,0.9,0.85,0.85,0.85,0.9,0.9,0.85,0.85,0.8,0.85,0.9,0.85,0.85,0.85,0.9,0.9,0.9,0.85,0.85,0.85,0.9,0.85,0.85,0.85,0.85,0.85,0.85,0.9,0.9,0.9,0.9
"526",0.8,0.85,0.85,0.85,0.85,0.85,0.9,0.9,0.85,0.85,0.85,0.85,0.9,0.9,0.85,0.85,0.85,0.85,0.9,0.9,0.9,0.85,0.9,0.9,0.9,0.85,0.85,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.85,0.75,0.85,0.9,0.9,0.75,0.85
"527",0.9,0.85,0.75,0.85,0.85,0.9,0.85,0.9,0.9,0.8,0.65,0.9,0.8,0.9,0.85,0.9,0.9,0.75,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.8,0.9,0.9,0.9,0.9,0.9,0.85,0.9,0.85,0.8,0.8,0.9,0.85,0.9,0.85,0.9
"528",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.9,0.85,0.8,0.9,0.85,0.85,0.9,0.85,0.85,0.9,0.9,0.85,0.85,0.9,0.85,0.9,0.85,0.9,0.85,0.7,0.85,0.8,0.85,0.9,0.8,0.85
"529",0.9,0.85,0.9,0.7,0.9,0.9,0.9,0.85,0.8,0.9,0.85,0.85,0.9,0.9,0.9,0.85,0.9,0.85,0.9,0.85,0.85,0.8,0.9,0.85,0.85,0.8,0.85,0.9,0.85,0.75,0.9,0.85,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.85,0.9
"530",0.85,0.9,0.85,0.9,0.9,0.85,0.85,0.9,0.9,0.8,0.8,0.75,0.9,0.9,0.9,0.85,0.9,0.85,0.85,0.75,0.9,0.9,0.75,0.8,0.85,0.85,0.85,0.9,0.85,0.9,0.9,0.9,0.85,0.85,0.85,0.9,0.85,0.9,0.85,0.9,0.9
"531",0.75,0.85,0.9,0.7,0.85,0.85,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.85,0.9,0.9,0.9,0.9,0.85,0.85,0.85,0.8,0.8,0.8,0.85,0.8,0.85,0.85,0.9,0.8,0.85,0.85,0.85,0.9,0.85,0.9,0.9,0.9,0.9,0.9,0.85
"532",0.85,0.85,0.85,0.8,0.9,0.85,0.9,0.9,0.85,0.9,0.9,0.9,0.85,0.85,0.85,0.9,0.65,0.85,0.85,0.9,0.8,0.85,0.9,0.9,0.9,0.85,0.85,0.85,0.85,0.9,0.9,0.85,0.85,0.85,0.85,0.85,0.9,0.8,0.7,0.85,0.85
"533",0.85,0.9,0.9,0.9,0.85,0.9,0.9,0.8,0.9,0.85,0.8,0.85,0.85,0.9,0.85,0.85,0.85,0.85,0.9,0.85,0.9,0.9,0.85,0.85,0.85,0.9,0.85,0.9,0.9,0.85,0.9,0.85,0.9,0.85,0.8,0.85,0.8,0.9,0.85,0.85,0.85
"534",0.9,0.9,0.9,0.85,0.9,0.8,0.65,0.9,0.9,0.85,0.8,0.8,0.8,0.85,0.85,0.9,0.85,0.85,0.85,0.9,0.9,0.8,0.85,0.8,0.9,0.85,0.85,0.85,0.9,0.85,0.9,0.85,0.9,0.85,0.85,0.85,0.85,0.85,0.8,0.9,0.8
"535",0.85,0.9,0.7,0.75,0.85,0.9,0.9,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.9,0.9,0.75,0.8,0.85,0.9,0.9,0.85,0.9,0.9,0.9,0.85,0.85,0.9,0.85,0.7,0.9,0.9,0.9,0.85,0.85,0.9,0.9,0.8,0.9,0.85,0.85
