"","folds.5","folds.6","folds.7","folds.8","folds.9","folds.10","folds.11","folds.12","folds.13","folds.14","folds.15","folds.16","folds.17","folds.18","folds.19","folds.20","folds.21","folds.22","folds.23","folds.24","folds.25","folds.26","folds.27","folds.28","folds.29","folds.30","folds.31","folds.32","folds.33","folds.34","folds.35","folds.36","folds.37","folds.38","folds.39","folds.40","folds.41","folds.42","folds.43","folds.44","folds.45"
"418",0.7,0.55,0.8,0.7,0.75,0.6,0.75,0.75,0.75,0.85,0.65,0.85,0.65,0.65,0.9,0.65,0.75,0.75,0.85,0.8,0.85,0.8,0.75,0.9,0.75,0.65,0.85,0.9,0.75,0.75,0.85,0.65,0.8,0.75,0.9,0.65,0.7,0.8,0.75,0.75,0.75
"419",0.9,0.8,0.9,0.7,0.9,0.9,0.75,0.85,0.8,0.6,0.75,0.9,0.75,0.7,0.65,0.8,0.6,0.75,0.8,0.9,0.75,0.7,0.75,0.85,0.8,0.65,0.8,0.75,0.8,0.75,0.8,0.85,0.85,0.75,0.6,0.85,0.75,0.8,0.7,0.75,0.75
"420",0.7,0.6,0.75,0.5,0.75,0.85,0.75,0.7,0.9,0.75,0.8,0.8,0.8,0.65,0.65,0.85,0.7,0.9,0.75,0.8,0.75,0.8,0.8,0.9,0.65,0.65,0.65,0.8,0.75,0.85,0.9,0.8,0.75,0.8,0.85,0.8,0.8,0.55,0.75,0.7,0.75
"421",0.6,0.7,0.75,0.85,0.85,0.9,0.9,0.8,0.75,0.75,0.6,0.85,0.75,0.8,0.8,0.85,0.8,0.85,0.65,0.85,0.9,0.8,0.8,0.7,0.8,0.75,0.75,0.75,0.7,0.75,0.8,0.8,0.7,0.8,0.75,0.75,0.7,0.8,0.75,0.75,0.65
"422",0.75,0.75,0.7,0.75,0.6,0.85,0.7,0.75,0.75,0.9,0.7,0.7,0.7,0.65,0.75,0.8,0.85,0.75,0.75,0.75,0.8,0.8,0.8,0.7,0.75,0.7,0.8,0.7,0.75,0.8,0.8,0.75,0.75,0.8,0.75,0.8,0.65,0.75,0.75,0.85,0.8
"423",0.75,0.75,0.75,0.65,0.85,0.6,0.75,0.8,0.8,0.7,0.85,0.75,0.8,0.9,0.65,0.8,0.85,0.75,0.8,0.75,0.8,0.7,0.8,0.65,0.8,0.8,0.7,0.85,0.8,0.8,0.7,0.8,0.8,0.75,0.8,0.9,0.9,0.8,0.8,0.8,0.6
"424",0.75,0.8,0.8,0.3,0.5,0.8,0.9,0.75,0.8,0.85,0.65,0.8,0.65,0.7,0.75,0.6,0.85,0.75,0.8,0.75,0.8,0.75,0.8,0.75,0.75,0.8,0.75,0.85,0.65,0.8,0.75,0.8,0.75,0.8,0.6,0.75,0.8,0.8,0.8,0.8,0.8
"425",0.75,0.9,0.7,0.75,0.7,0.5,0.6,0.8,0.8,0.5,0.8,0.65,0.8,0.85,0.65,0.85,0.75,0.75,0.9,0.8,0.8,0.65,0.75,0.8,0.8,0.75,0.75,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.8,0.85,0.8,0.75,0.7,0.7
"426",0.75,0.9,0.7,0.85,0.8,0.8,0.65,0.7,0.75,0.65,0.8,0.8,0.75,0.8,0.7,0.65,0.8,0.75,0.65,0.7,0.75,0.8,0.75,0.75,0.9,0.7,0.85,0.8,0.9,0.9,0.75,0.8,0.8,0.75,0.7,0.8,0.7,0.75,0.8,0.6,0.85
"427",0.75,0.7,0.7,0.8,0.7,0.9,0.8,0.75,0.7,0.75,0.75,0.8,0.85,0.65,0.65,0.6,0.8,0.8,0.8,0.75,0.75,0.9,0.7,0.75,0.75,0.75,0.75,0.8,0.9,0.75,0.85,0.8,0.75,0.8,0.75,0.75,0.8,0.75,0.9,0.8,0.8
"428",0.85,0.75,0.75,0.85,0.75,0.85,0.85,0.85,0.7,0.65,0.75,0.85,0.75,0.8,0.8,0.45,0.75,0.85,0.7,0.85,0.75,0.8,0.8,0.8,0.9,0.75,0.7,0.75,0.7,0.85,0.8,0.8,0.8,0.65,0.55,0.8,0.7,0.75,0.75,0.7,0.75
"429",0.85,0.7,0.6,0.75,0.75,0.75,0.75,0.8,0.8,0.85,0.75,0.75,0.75,0.8,0.85,0.75,0.75,0.9,0.75,0.7,0.8,0.65,0.75,0.8,0.7,0.85,0.75,0.75,0.65,0.75,0.8,0.75,0.85,0.75,0.9,0.7,0.7,0.85,0.75,0.75,0.7
"430",0.8,0.5,0.85,0.5,0.4,0.7,0.8,0.85,0.9,0.85,0.75,0.7,0.8,0.75,0.8,0.85,0.85,0.7,0.8,0.6,0.9,0.8,0.75,0.85,0.8,0.7,0.8,0.8,0.75,0.75,0.8,0.8,0.75,0.8,0.7,0.7,0.8,0.75,0.8,0.8,0.8
"431",0.65,0.8,0.75,0.7,0.7,0.75,0.85,0.75,0.55,0.85,0.8,0.65,0.8,0.8,0.65,0.8,0.65,0.65,0.8,0.8,0.9,0.9,0.55,0.8,0.8,0.7,0.65,0.7,0.75,0.75,0.8,0.85,0.75,0.8,0.8,0.75,0.8,0.9,0.9,0.8,0.8
"432",0.55,0.7,0.7,0.5,0.65,0.8,0.8,0.65,0.75,0.75,0.8,0.75,0.75,0.7,0.85,0.65,0.8,0.7,0.8,0.75,0.75,0.85,0.8,0.8,0.75,0.85,0.7,0.7,0.8,0.8,0.75,0.8,0.65,0.75,0.9,0.75,0.8,0.8,0.75,0.8,0.85
"433",0.8,0.8,0.65,0.7,0.5,0.8,0.75,0.75,0.8,0.55,0.65,0.8,0.65,0.75,0.9,0.85,0.8,0.75,0.9,0.8,0.8,0.75,0.75,0.7,0.65,0.8,0.9,0.8,0.8,0.85,0.8,0.75,0.75,0.8,0.85,0.7,0.65,0.75,0.8,0.8,0.8
"434",0.8,0.75,0.6,0.75,0.75,0.75,0.8,0.75,0.7,0.75,0.8,0.7,0.75,0.8,0.85,0.8,0.75,0.75,0.85,0.75,0.75,0.85,0.75,0.8,0.75,0.8,0.65,0.7,0.7,0.8,0.7,0.8,0.75,0.6,0.8,0.9,0.8,0.9,0.75,0.7,0.75
"435",0.5,0.8,0.75,0.7,0.75,0.85,0.7,0.85,0.75,0.7,0.65,0.8,0.9,0.7,0.8,0.75,0.75,0.8,0.8,0.75,0.75,0.65,0.7,0.85,0.7,0.8,0.75,0.75,0.75,0.75,0.85,0.8,0.75,0.7,0.75,0.9,0.8,0.75,0.8,0.9,0.75
"436",0.8,0.65,0.6,0.8,0.75,0.65,0.65,0.65,0.85,0.8,0.6,0.8,0.7,0.7,0.8,0.7,0.7,0.75,0.65,0.8,0.8,0.75,0.85,0.85,0.75,0.75,0.8,0.85,0.8,0.8,0.75,0.8,0.8,0.75,0.75,0.65,0.8,0.85,0.8,0.75,0.9
"437",0.75,0.8,0.85,0.5,0.9,0.6,0.8,0.8,0.8,0.75,0.8,0.55,0.8,0.75,0.75,0.75,0.75,0.75,0.8,0.75,0.65,0.9,0.65,0.75,0.8,0.8,0.9,0.85,0.8,0.85,0.55,0.8,0.8,0.7,0.8,0.75,0.65,0.8,0.8,0.8,0.85
"438",0.8,0.7,0.8,0.65,0.9,0.75,0.75,0.85,0.85,0.7,0.9,0.8,0.7,0.85,0.75,0.55,0.7,0.7,0.8,0.8,0.8,0.55,0.65,0.7,0.75,0.8,0.75,0.75,0.6,0.8,0.75,0.8,0.8,0.75,0.9,0.8,0.75,0.85,0.75,0.8,0.8
"439",0.85,0.75,0.75,0.85,0.7,0.85,0.9,0.8,0.75,0.75,0.65,0.9,0.8,0.75,0.7,0.65,0.65,0.7,0.75,0.8,0.8,0.7,0.7,0.9,0.85,0.8,0.8,0.85,0.8,0.8,0.75,0.7,0.8,0.7,0.7,0.7,0.8,0.75,0.8,0.7,0.8
"440",0.75,0.9,0.8,0.65,0.65,0.8,0.75,0.85,0.75,0.85,0.65,0.9,0.7,0.8,0.8,0.8,0.8,0.85,0.8,0.85,0.6,0.8,0.8,0.65,0.75,0.75,0.75,0.75,0.8,0.7,0.75,0.75,0.65,0.85,0.75,0.8,0.75,0.85,0.75,0.75,0.7
"441",0.45,0.8,0.9,0.45,0.85,0.75,0.9,0.75,0.7,0.85,0.7,0.8,0.7,0.6,0.8,0.8,0.75,0.8,0.85,0.75,0.65,0.8,0.8,0.55,0.85,0.85,0.7,0.8,0.65,0.75,0.85,0.85,0.75,0.8,0.75,0.9,0.8,0.8,0.7,0.8,0.75
"442",0.65,0.5,0.75,0.8,0.7,0.6,0.9,0.7,0.75,0.9,0.75,0.75,0.9,0.75,0.85,0.55,0.8,0.85,0.8,0.75,0.8,0.7,0.8,0.75,0.85,0.65,0.75,0.9,0.65,0.8,0.8,0.8,0.8,0.75,0.7,0.7,0.75,0.8,0.75,0.9,0.7
"443",0.8,0.75,0.85,0.8,0.65,0.7,0.8,0.85,0.8,0.8,0.8,0.8,0.65,0.75,0.8,0.8,0.75,0.9,0.8,0.65,0.75,0.7,0.75,0.6,0.8,0.75,0.7,0.5,0.9,0.8,0.8,0.8,0.85,0.8,0.8,0.7,0.65,0.75,0.8,0.75,0.75
"444",0.45,0.9,0.75,0.75,0.7,0.9,0.7,0.65,0.8,0.6,0.8,0.85,0.65,0.75,0.85,0.7,0.9,0.85,0.75,0.85,0.85,0.75,0.75,0.6,0.8,0.75,0.8,0.75,0.75,0.8,0.7,0.8,0.9,0.8,0.8,0.75,0.75,0.8,0.85,0.8,0.75
"445",0.8,0.6,0.8,0.85,0.85,0.8,0.75,0.8,0.85,0.9,0.75,0.8,0.65,0.6,0.75,0.75,0.7,0.75,0.6,0.8,0.75,0.7,0.7,0.9,0.7,0.85,0.75,0.75,0.75,0.75,0.8,0.75,0.7,0.85,0.75,0.85,0.8,0.75,0.6,0.7,0.85
"446",0.65,0.4,0.7,0.65,0.75,0.85,0.65,0.7,0.8,0.7,0.65,0.9,0.8,0.7,0.8,0.8,0.65,0.75,0.8,0.65,0.75,0.6,0.8,0.6,0.85,0.75,0.75,0.8,0.75,0.65,0.85,0.8,0.85,0.7,0.6,0.8,0.7,0.7,0.8,0.9,0.75
"447",0.7,0.75,0.7,0.85,0.75,0.8,0.8,0.85,0.65,0.75,0.8,0.9,0.7,0.75,0.75,0.9,0.8,0.8,0.8,0.7,0.75,0.75,0.85,0.65,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.85,0.8,0.8,0.75,0.85,0.7,0.8,0.75,0.75
"448",0.5,0.75,0.85,0.8,0.55,0.5,0.65,0.9,0.8,0.85,0.75,0.8,0.8,0.75,0.9,0.75,0.8,0.75,0.85,0.8,0.75,0.7,0.7,0.8,0.85,0.75,0.7,0.8,0.65,0.8,0.75,0.8,0.75,0.8,0.85,0.75,0.8,0.75,0.7,0.75,0.75
"449",0.75,0.8,0.9,0.6,0.7,0.9,0.75,0.9,0.75,0.8,0.75,0.75,0.8,0.8,0.55,0.75,0.8,0.9,0.8,0.65,0.75,0.8,0.8,0.8,0.8,0.8,0.85,0.75,0.75,0.85,0.8,0.85,0.7,0.75,0.8,0.8,0.8,0.75,0.75,0.85,0.8
"450",0.75,0.65,0.6,0.7,0.75,0.65,0.8,0.3,0.75,0.9,0.8,0.7,0.7,0.75,0.7,0.8,0.8,0.8,0.55,0.8,0.65,0.7,0.9,0.55,0.8,0.8,0.7,0.8,0.75,0.75,0.9,0.75,0.75,0.8,0.6,0.7,0.85,0.75,0.6,0.75,0.75
"451",0.5,0.55,0.85,0.8,0.65,0.7,0.6,0.85,0.4,0.55,0.8,0.7,0.85,0.85,0.7,0.8,0.8,0.75,0.55,0.8,0.8,0.75,0.65,0.7,0.75,0.8,0.8,0.8,0.8,0.75,0.75,0.65,0.8,0.85,0.65,0.85,0.8,0.9,0.75,0.85,0.8
"452",0.8,0.85,0.65,0.8,0.85,0.75,0.65,0.7,0.75,0.8,0.8,0.75,0.75,0.7,0.9,0.75,0.75,0.85,0.7,0.85,0.6,0.8,0.8,0.75,0.65,0.65,0.8,0.75,0.7,0.7,0.7,0.75,0.8,0.8,0.7,0.7,0.75,0.8,0.8,0.55,0.8
"453",0.9,0.8,0.65,0.7,0.8,0.8,0.8,0.85,0.8,0.65,0.9,0.8,0.75,0.65,0.75,0.85,0.85,0.9,0.65,0.65,0.8,0.65,0.75,0.8,0.75,0.7,0.8,0.65,0.9,0.85,0.75,0.8,0.9,0.65,0.65,0.65,0.65,0.6,0.75,0.6,0.8
"454",0.65,0.9,0.75,0.8,0.9,0.65,0.75,0.9,0.75,0.7,0.8,0.9,0.8,0.75,0.8,0.9,0.65,0.75,0.75,0.8,0.85,0.6,0.9,0.8,0.75,0.7,0.8,0.7,0.75,0.65,0.75,0.8,0.85,0.75,0.75,0.8,0.85,0.75,0.8,0.9,0.75
"455",0.75,0.65,0.75,0.75,0.9,0.8,0.75,0.5,0.8,0.7,0.8,0.75,0.8,0.8,0.7,0.8,0.7,0.7,0.65,0.8,0.75,0.75,0.75,0.7,0.75,0.8,0.8,0.8,0.85,0.65,0.75,0.75,0.8,0.75,0.8,0.6,0.75,0.8,0.8,0.8,0.8
"456",0.75,0.75,0.55,0.75,0.8,0.75,0.75,0.8,0.6,0.75,0.8,0.75,0.8,0.8,0.75,0.8,0.8,0.75,0.65,0.65,0.75,0.7,0.65,0.65,0.8,0.8,0.8,0.7,0.8,0.75,0.7,0.75,0.8,0.75,0.7,0.8,0.75,0.75,0.75,0.8,0.75
"457",0.75,0.8,0.8,0.7,0.75,0.65,0.6,0.9,0.8,0.55,0.65,0.65,0.55,0.85,0.85,0.75,0.8,0.65,0.8,0.8,0.55,0.75,0.75,0.85,0.85,0.9,0.75,0.75,0.75,0.8,0.9,0.85,0.8,0.9,0.45,0.65,0.75,0.75,0.65,0.7,0.8
"458",0.9,0.75,0.8,0.55,0.8,0.4,0.7,0.9,0.85,0.8,0.8,0.7,0.65,0.75,0.85,0.7,0.8,0.75,0.8,0.6,0.6,0.8,0.9,0.8,0.75,0.8,0.75,0.8,0.8,0.85,0.75,0.65,0.75,0.8,0.75,0.85,0.85,0.85,0.8,0.7,0.85
"459",0.65,0.8,0.6,0.8,0.75,0.75,0.8,0.7,0.7,0.7,0.75,0.85,0.8,0.8,0.9,0.8,0.8,0.7,0.75,0.8,0.8,0.8,0.8,0.7,0.8,0.65,0.65,0.8,0.8,0.65,0.8,0.8,0.75,0.75,0.85,0.85,0.8,0.75,0.75,0.7,0.7
"460",0.75,0.8,0.8,0.85,0.9,0.85,0.8,0.75,0.7,0.8,0.65,0.65,0.75,0.85,0.8,0.75,0.8,0.75,0.85,0.8,0.9,0.9,0.85,0.7,0.75,0.8,0.75,0.8,0.9,0.75,0.8,0.75,0.75,0.8,0.75,0.75,0.75,0.85,0.75,0.85,0.75
"461",0.9,0.5,0.75,0.85,0.7,0.85,0.65,0.7,0.6,0.8,0.7,0.7,0.7,0.8,0.75,0.7,0.8,0.75,0.8,0.75,0.75,0.8,0.8,0.8,0.8,0.65,0.85,0.85,0.8,0.65,0.85,0.85,0.75,0.85,0.75,0.8,0.85,0.7,0.75,0.8,0.8
"462",0.75,0.9,0.55,0.75,0.65,0.8,0.65,0.75,0.75,0.8,0.65,0.75,0.8,0.85,0.65,0.85,0.75,0.8,0.9,0.8,0.8,0.8,0.85,0.75,0.85,0.7,0.75,0.8,0.8,0.85,0.8,0.8,0.85,0.7,0.9,0.8,0.75,0.8,0.7,0.75,0.75
"463",0.9,0.8,0.75,0.9,0.7,0.5,0.65,0.7,0.75,0.7,0.8,0.85,0.8,0.9,0.9,0.8,0.75,0.75,0.85,0.65,0.8,0.7,0.75,0.75,0.8,0.65,0.75,0.7,0.8,0.7,0.65,0.75,0.75,0.75,0.7,0.8,0.75,0.6,0.85,0.75,0.65
"464",0.45,0.6,0.55,0.8,0.75,0.8,0.8,0.65,0.8,0.8,0.8,0.8,0.75,0.8,0.9,0.85,0.75,0.75,0.8,0.8,0.8,0.8,0.75,0.75,0.75,0.75,0.75,0.65,0.8,0.8,0.75,0.8,0.8,0.7,0.7,0.6,0.8,0.8,0.75,0.75,0.8
"465",0.7,0.85,0.75,0.7,0.75,0.85,0.5,0.85,0.8,0.75,0.75,0.65,0.9,0.8,0.75,0.8,0.75,0.75,0.8,0.8,0.8,0.9,0.75,0.7,0.65,0.7,0.75,0.75,0.9,0.75,0.8,0.75,0.8,0.8,0.8,0.8,0.75,0.75,0.8,0.75,0.8
"466",0.7,0.8,0.65,0.8,0.65,0.85,0.55,0.85,0.6,0.8,0.7,0.8,0.75,0.75,0.8,0.55,0.75,0.8,0.75,0.8,0.7,0.75,0.65,0.75,0.8,0.6,0.8,0.7,0.75,0.8,0.75,0.75,0.75,0.8,0.85,0.65,0.75,0.75,0.8,0.8,0.85
"467",0.65,0.55,0.55,0.9,0.7,0.5,0.8,0.8,0.75,0.65,0.7,0.8,0.7,0.7,0.8,0.85,0.8,0.9,0.8,0.75,0.85,0.75,0.75,0.8,0.8,0.75,0.8,0.75,0.7,0.75,0.65,0.65,0.8,0.9,0.8,0.8,0.8,0.75,0.8,0.7,0.7
"468",0.7,0.75,0.8,0.6,0.7,0.75,0.75,0.65,0.5,0.85,0.85,0.75,0.6,0.85,0.85,0.9,0.75,0.75,0.85,0.85,0.8,0.85,0.7,0.8,0.8,0.8,0.75,0.9,0.85,0.75,0.7,0.7,0.75,0.85,0.75,0.85,0.8,0.8,0.8,0.9,0.8
"469",0.85,0.5,0.85,0.8,0.85,0.75,0.75,0.75,0.8,0.75,0.65,0.75,0.55,0.85,0.85,0.75,0.65,0.8,0.8,0.65,0.85,0.8,0.9,0.75,0.7,0.8,0.75,0.55,0.8,0.7,0.8,0.7,0.7,0.75,0.8,0.85,0.8,0.75,0.65,0.8,0.75
"470",0.9,0.85,0.7,0.75,0.8,0.7,0.65,0.75,0.7,0.9,0.6,0.85,0.75,0.8,0.8,0.55,0.7,0.75,0.85,0.65,0.8,0.7,0.8,0.7,0.85,0.9,0.75,0.75,0.7,0.65,0.75,0.8,0.75,0.8,0.7,0.75,0.85,0.75,0.75,0.9,0.9
"471",0.75,0.9,0.75,0.75,0.8,0.85,0.7,0.7,0.85,0.85,0.85,0.8,0.75,0.9,0.85,0.75,0.75,0.9,0.8,0.85,0.7,0.75,0.75,0.75,0.65,0.75,0.8,0.65,0.8,0.65,0.75,0.75,0.7,0.8,0.75,0.85,0.85,0.8,0.85,0.75,0.75
"472",0.85,0.55,0.65,0.5,0.8,0.9,0.7,0.75,0.65,0.85,0.9,0.8,0.65,0.8,0.9,0.9,0.65,0.7,0.7,0.9,0.8,0.75,0.8,0.8,0.8,0.9,0.75,0.8,0.8,0.75,0.8,0.8,0.8,0.75,0.75,0.7,0.45,0.75,0.75,0.9,0.75
"473",0.8,0.75,0.65,0.65,0.65,0.9,0.4,0.9,0.8,0.7,0.75,0.8,0.7,0.65,0.75,0.9,0.8,0.75,0.8,0.8,0.9,0.7,0.6,0.9,0.8,0.8,0.8,0.9,0.8,0.75,0.85,0.75,0.8,0.8,0.75,0.85,0.8,0.75,0.8,0.7,0.8
"474",0.7,0.65,0.75,0.85,0.8,0.9,0.85,0.7,0.8,0.9,0.75,0.85,0.7,0.65,0.85,0.7,0.85,0.75,0.8,0.7,0.75,0.8,0.75,0.75,0.8,0.8,0.8,0.75,0.7,0.75,0.75,0.75,0.75,0.75,0.8,0.75,0.75,0.75,0.6,0.75,0.8
"475",0.85,0.8,0.85,0.75,0.7,0.6,0.7,0.8,0.8,0.75,0.8,0.75,0.75,0.9,0.75,0.9,0.65,0.8,0.75,0.8,0.75,0.8,0.75,0.9,0.8,0.85,0.8,0.8,0.8,0.8,0.8,0.85,0.8,0.8,0.85,0.7,0.8,0.85,0.7,0.8,0.7
"476",0.65,0.75,0.8,0.8,0.85,0.65,0.8,0.8,0.8,0.75,0.75,0.6,0.8,0.85,0.75,0.7,0.8,0.8,0.85,0.7,0.75,0.75,0.8,0.8,0.85,0.75,0.7,0.9,0.8,0.9,0.8,0.75,0.7,0.8,0.8,0.7,0.75,0.8,0.75,0.65,0.75
"477",0.75,0.7,0.7,0.8,0.7,0.7,0.8,0.7,0.8,0.75,0.8,0.5,0.45,0.8,0.9,0.65,0.85,0.8,0.8,0.65,0.8,0.75,0.75,0.8,0.8,0.8,0.7,0.8,0.65,0.7,0.7,0.8,0.7,0.8,0.7,0.9,0.75,0.85,0.7,0.75,0.7
"478",0.75,0.75,0.9,0.8,0.8,0.7,0.7,0.7,0.9,0.8,0.9,0.8,0.75,0.85,0.75,0.65,0.9,0.65,0.75,0.8,0.75,0.75,0.8,0.75,0.75,0.8,0.75,0.7,0.85,0.8,0.65,0.75,0.75,0.85,0.8,0.7,0.75,0.7,0.85,0.7,0.85
