"","TN.Date","TN.Flow","TN.concentrations.TN","lnC","lnQ"
"1",2012-02-08,64,4.77,1.56234630490025,4.15888308335967
"2",2012-02-15,47,4.33,1.4655675420144,3.85014760171006
"3",2012-02-29,47,4.22,1.43983512804792,3.85014760171006
"4",2012-03-15,37,4.16,1.42551507427317,3.61091791264422
"5",2012-03-20,262,2.31,0.837247524533702,5.5683445037611
"6",2012-03-28,116,5.05,1.61938824328727,4.75359019110636
"7",2012-04-11,40,4.43,1.48839958405704,3.68887945411394
"8",2012-04-15,99,2.44,0.89199803930511,4.59511985013459
"9",2012-04-25,36,4.49,1.50185270175416,3.58351893845611
"10",2012-04-30,77,3.85,1.34807314829969,4.34380542185368
"11",2012-05-09,33,4.06,1.40118297361364,3.49650756146648
"12",2012-05-17,28,3.99,1.38379123090177,3.3322045101752
"13",2012-05-23,25,4.56,1.51732262352629,3.2188758248682
"14",2012-05-31,28,3.74,1.31908561142644,3.3322045101752
"15",2012-06-06,25,3.3,1.19392246847243,3.2188758248682
"16",2012-06-13,23,3.82,1.34025042261848,3.13549421592915
"17",2012-06-20,21,3.5,1.25276296849537,3.04452243772342
"18",2012-06-28,23,3.55,1.26694760348732,3.13549421592915
"19",2012-07-11,15,3.38,1.21787570949493,2.70805020110221
"20",2012-07-18,18,3.5,1.25276296849537,2.89037175789616
"21",2012-07-25,19,2.94,1.07840958135059,2.94443897916644
"22",2012-08-01,24,3.04,1.11185751541813,3.17805383034795
"23",2012-08-16,29,3.24,1.17557332980424,3.36729582998647
"24",2012-08-22,26,3.615,1.28509185561073,3.25809653802148
"25",2012-08-27,272,2.82,1.03673688495002,5.605802066296
"26",2012-09-06,30,3.66,1.29746314741327,3.40119738166216
"27",2012-09-12,39,3.62,1.28647402583768,3.66356164612965
"28",2012-09-27,40,3.63,1.28923264827676,3.68887945411394
"29",2012-10-03,31,3.83,1.34286480319255,3.43398720448515
"30",2012-10-10,24,4.05,1.39871688111845,3.17805383034795
"31",2012-10-12,138,2.51,0.920282753143692,4.92725368515721
"32",2012-10-16,55,3.24,1.17557332980424,4.00733318523247
"33",2012-10-25,30,3.57,1.27256559579155,3.40119738166216
"34",2012-11-01,24,3.96,1.37624402526639,3.17805383034795
"35",2012-11-08,25,3.88,1.35583515363518,3.2188758248682
"36",2012-11-15,27,4.5,1.50407739677627,3.29583686600433
"37",2012-11-29,24,4.91,1.59127394180643,3.17805383034795
"38",2012-12-06,29,3.93,1.36863942588117,3.36729582998647
"39",2012-12-13,24,4.34,1.46787434811231,3.17805383034795
"40",2013-01-03,27,3.88,1.35583515363518,3.29583686600433
"41",2013-01-11,25,4.37,1.4747630091075,3.2188758248682
"42",2013-01-14,25,3.62,1.28647402583768,3.2188758248682
"43",2013-01-24,26,4.48,1.49962304642689,3.25809653802148
"44",2013-01-30,154,2.26,0.815364813284194,5.03695260241363
"45",2013-02-07,29,4.24,1.44456326924387,3.36729582998647
"46",2013-02-13,38,4.14,1.42069578783722,3.63758615972639
"47",2013-02-21,72,4.8,1.56861591791385,4.27666611901606
"48",2013-02-28,34,4.21,1.43746264769429,3.52636052461616
"49",2013-03-07,27,4.77,1.56234630490025,3.29583686600433
"50",2013-03-10,251,2.33,0.845868267577609,5.52545293913178
"51",2013-03-20,35,4.59,1.52388002407245,3.55534806148941
"52",2013-03-28,33,4.32,1.46325540225602,3.49650756146648
"53",2013-04-04,52,4.05,1.39871688111845,3.95124371858143
"54",2013-04-18,743,5.3,1.66770682055808,6.61069604471776
"55",2013-04-25,62,4.78,1.56444054650336,4.12713438504509
"56",2013-04-29,87,3.67,1.30019166206648,4.46590811865458
"57",2013-05-09,211,4.46,1.49514876603197,5.35185813347607
"58",2013-05-20,72,3.79,1.33236601909433,4.27666611901606
"59",2013-05-31,169,2.55,0.936093359170335,5.12989871492307
"60",2013-06-07,67,3.95,1.37371557891303,4.20469261939097
"61",2013-06-13,54,4.35,1.47017584510059,3.98898404656427
"62",2013-06-26,47,3.43,1.23256026117785,3.85014760171006
"63",2013-07-10,42,3.49,1.24990173621434,3.73766961828337
"64",2013-07-17,41,3.43,1.23256026117785,3.71357206670431
"65",2013-08-01,78,3.23,1.17248213723457,4.35670882668959
"66",2013-08-08,1400,2.29,0.828551817566148,7.24422751560335
"67",2013-08-21,28,3.58,1.27536280041261,3.3322045101752
"68",2013-08-29,22,3.24,1.17557332980424,3.09104245335832
"69",2013-09-05,19,4.3,1.45861502269952,2.94443897916644
"70",2013-09-12,18,4.2,1.43508452528932,2.89037175789616
"71",2013-09-19,17,3.64,1.29198368164865,2.83321334405622
"72",2013-09-20,180,2.45,0.896088024556636,5.19295685089021
"73",2013-10-03,35,4.07,1.4036429994545,3.55534806148941
"74",2013-10-05,397,2.49,0.912282710476616,5.98393628068719
"75",2013-10-21,35,3.53,1.26129787094521,3.55534806148941
"76",2013-10-30,96,3.72,1.31372366828506,4.56434819146784
"77",2013-11-07,62,3.59,1.27815220250019,4.12713438504509
"78",2013-11-14,40,4.17,1.42791603581071,3.68887945411394
"79",2013-11-21,95,2.55,0.936093359170335,4.55387689160054
"80",2013-12-03,34,4.01,1.38879124131848,3.52636052461616
"81",2013-12-13,48,4.11,1.41342302850814,3.87120101090789
"82",2013-12-20,54,4.1,1.41098697371026,3.98898404656427
"83",2013-12-21,577,1.24,0.215111379616945,6.3578422665081
"84",2014-01-08,50,4.76,1.56024766824333,3.91202300542815
"85",2014-01-10,144,3.3,1.19392246847243,4.969813299576
"86",2014-01-23,49,4.39,1.47932922708708,3.89182029811063
