"","TSS.Date","TSS.Flow","TSS.concentrations.TSS","lnC","lnQ"
"1",2012-02-08,64,1.9,0.641853886172395,4.15888308335967
"2",2012-02-15,47,0.6,-0.510825623765991,3.85014760171006
"3",2012-02-29,47,2.7,0.993251773010283,3.85014760171006
"4",2012-03-15,37,2.7,0.993251773010283,3.61091791264422
"5",2012-03-20,262,16.5,2.80336038090653,5.5683445037611
"6",2012-03-28,116,1.9,0.641853886172395,4.75359019110636
"7",2012-04-11,40,2.1,0.741937344729377,3.68887945411394
"8",2012-04-15,99,157.6,5.06006017742378,4.59511985013459
"9",2012-04-25,36,2.7,0.993251773010283,3.58351893845611
"10",2012-04-30,77,5,1.6094379124341,4.34380542185368
"11",2012-05-09,33,5.7,1.7404661748405,3.49650756146648
"12",2012-05-17,28,4.5,1.50407739677627,3.3322045101752
"13",2012-05-23,25,4.3,1.45861502269952,3.2188758248682
"14",2012-05-31,28,6.2,1.82454929205105,3.3322045101752
"15",2012-06-06,25,5.1,1.62924053973028,3.2188758248682
"16",2012-06-13,23,2.6,0.955511445027436,3.13549421592915
"17",2012-06-20,21,4.25,1.44691898293633,3.04452243772342
"18",2012-06-28,23,4.1,1.41098697371026,3.13549421592915
"19",2012-07-11,15,4.7,1.54756250871601,2.70805020110221
"20",2012-07-18,18,7.5,2.01490302054226,2.89037175789616
"21",2012-07-25,19,4.5,1.50407739677627,2.94443897916644
"22",2012-08-01,24,2.3,0.832909122935104,3.17805383034795
"23",2012-08-16,29,5,1.6094379124341,3.36729582998647
"24",2012-08-22,26,4.05,1.39871688111845,3.25809653802148
"25",2012-08-27,272,12.5,2.52572864430826,5.605802066296
"26",2012-09-06,30,4.8,1.56861591791385,3.40119738166216
"27",2012-09-12,39,1.1,0.0953101798043249,3.66356164612965
"28",2012-09-27,40,2.3,0.832909122935104,3.68887945411394
"29",2012-10-03,31,3,1.09861228866811,3.43398720448515
"30",2012-10-10,24,1.9,0.641853886172395,3.17805383034795
"31",2012-10-12,138,35.2,3.56104608260405,4.92725368515721
"32",2012-10-16,55,3.4,1.22377543162212,4.00733318523247
"33",2012-10-25,30,1.8,0.587786664902119,3.40119738166216
"34",2012-11-01,24,2.7,0.993251773010283,3.17805383034795
"35",2012-11-08,25,3.2,1.16315080980568,3.2188758248682
"36",2012-11-15,27,1.7,0.53062825106217,3.29583686600433
"37",2012-11-29,24,1.15,0.139761942375159,3.17805383034795
"38",2012-12-06,29,1.8,0.587786664902119,3.36729582998647
"39",2012-12-13,24,0.3,-1.20397280432594,3.17805383034795
"40",2013-01-03,27,0.8,-0.22314355131421,3.29583686600433
"41",2013-01-11,25,4.3,1.45861502269952,3.2188758248682
"42",2013-01-14,25,0.3,-1.20397280432594,3.2188758248682
"43",2013-01-24,26,1.1,0.0953101798043249,3.25809653802148
"44",2013-01-30,154,169.3,5.13167228913909,5.03695260241363
"45",2013-02-07,29,1.5,0.405465108108164,3.36729582998647
"46",2013-02-13,38,1.5,0.405465108108164,3.63758615972639
"47",2013-02-21,72,1.9,0.641853886172395,4.27666611901606
"48",2013-02-28,34,0.4,-0.916290731874155,3.52636052461616
"49",2013-03-07,27,1.3,0.262364264467491,3.29583686600433
"50",2013-03-10,251,23.4,3.15273602236366,5.52545293913178
"51",2013-03-20,35,1.7,0.53062825106217,3.55534806148941
"52",2013-03-28,33,2.3,0.832909122935104,3.49650756146648
"53",2013-04-04,52,0.5,-0.693147180559945,3.95124371858143
"54",2013-04-18,743,2629.2,7.87443489638942,6.61069604471776
"55",2013-04-25,62,2.4,0.8754687373539,4.12713438504509
"56",2013-04-29,87,2,0.693147180559945,4.46590811865458
"57",2013-05-09,211,2.9,1.06471073699243,5.35185813347607
"58",2013-05-20,72,37.4,3.62167070442049,4.27666611901606
"59",2013-05-31,169,7.7,2.04122032885964,5.12989871492307
"60",2013-06-07,67,5,1.6094379124341,4.20469261939097
"61",2013-06-13,54,1.7,0.53062825106217,3.98898404656427
"62",2013-06-26,47,4.1,1.41098697371026,3.85014760171006
"63",2013-07-10,42,2.4,0.8754687373539,3.73766961828337
"64",2013-07-17,41,1.7,0.53062825106217,3.71357206670431
"65",2013-08-01,78,2.8,1.02961941718116,4.35670882668959
"66",2013-08-08,1400,468.3,6.1491091161895,7.24422751560335
"67",2013-08-21,28,1,0,3.3322045101752
"68",2013-08-29,22,0.9,-0.105360515657826,3.09104245335832
"69",2013-09-05,19,3.1,1.1314021114911,2.94443897916644
"70",2013-09-12,18,2.2,0.78845736036427,2.89037175789616
"71",2013-09-19,17,2.9,1.06471073699243,2.83321334405622
"72",2013-09-20,180,18.4,2.91235066461494,5.19295685089021
"73",2013-10-03,35,2,0.693147180559945,3.55534806148941
"74",2013-10-05,397,833.6,6.7257536709991,5.98393628068719
"75",2013-10-21,35,1.7,0.53062825106217,3.55534806148941
