"","Site","Const","I_10","I_1000"
"1","TB62","NO3",0.35,0.45
"2","TB62","TN",1,1
"3","TB62","SRP",0.85,0.85
"4","TB62","TP",0.775,0.7
"5","TB62","TSS",0.725,0.65
"6","TB62","Cl",0.425,0.35
"7","TB62","SO4",0.625,0.55
