"","Site","Const","Opt_MSE","f05_MSE"
"1","TB62","NO3",0.274823393012344,0.276106165124137
"2","TB62","TN",0.221136264933571,0.22292026705619
"3","TB62","SRP",0.853738789785393,0.870867125162668
"4","TB62","TP",0.813948153018287,0.825252131283087
"5","TB62","TSS",2.49922155123168,2.53001857949467
"6","TB62","Cl",0.56927127680048,0.566896304222924
"7","TB62","SO4",0.322708964559307,0.323037767619863
