"","Site","Const","MSE","RMSE"
"1","FCWSS","NO3",0.212814493417324,0.461318212752677
"2","FCWSS","TN",0.157620629656156,0.397014646651929
"3","FCWSS","SRP",0.206243769855791,0.4541406938998
"4","FCWSS","TP",0.187998162050323,0.433587548310976
"5","FCWSS","TSS",0.487346934626585,0.698102381192462
"6","FCWSS","Cl",0.0136223016981184,0.116714616471625
"7","FCWSS","SO4",0.0780963400286737,0.279457223969383
