"","Site","Const","Trend_0.5","p_0.5","Span_MSE","Trend_MSE","p_MSE"
"1","FCWSS","NO3","2.80866420361292","0.0698177298301038","0.15","2.78833063838135","0.0522443972706082"
"2","FCWSS","TN","2.80639192524745","0.0368923910105121","0.1","2.64952699140508","0.0261756707222033"
"3","FCWSS","SRP","-0.112972498556019","0.940820433589155","0.25","-0.456166359086296","0.758260113615577"
"4","FCWSS","TP","1.87676048142293","0.194521103877341","0.5","1.87676048142293","0.194521103877341"
"5","FCWSS","TSS","-5.49056993630614","0.0173851960285786","0.475","-5.46682025088785","0.0177893087017217"
"6","FCWSS","Cl","0.0731736655268378","0.843502041994204","0.575","0.0789142319490566","0.831698469078609"
"7","FCWSS","SO4","-2.14354451788523","0.0209632999045759","0.55","-2.15014637934274","0.0207648752609789"
