"","Date","concentrations.TP","Flow"
"196",2013-11-14,0.016,22
"197",2013-11-21,0.023,18
"198",2013-12-03,0.02,22
"199",2013-12-13,0.02,23
"200",2013-12-20,0.028,46
"201",2014-01-08,0.026,17
"202",2014-01-11,0.04,83
"203",2014-01-23,0.028,19
"204",2014-01-29,0.028,13
"205",2014-02-06,0.016,13
"206",2014-02-13,0.024,11
"207",2014-02-20,0.014,11
"208",2014-02-26,0.018,10
"209",2014-03-06,0.02,15
"210",2014-03-13,0.026,13
"211",2014-03-16,0.138,115
"212",2014-04-03,0.042,32
"213",2014-04-08,0.03,31
"214",2014-04-15,0.028,26
"215",2014-04-24,0.026,24
"216",2014-04-29,0.024,22
"217",2014-05-08,0.042,23
"218",2014-05-13,0.048,37
"219",2014-05-15,0.038,32
"220",2014-05-21,0.062,20
"221",2014-05-29,0.042,20
"222",2014-06-03,0.044,25
"223",2014-06-16,0.046,47
"224",2014-06-19,0.042,26
"225",2014-07-02,0.038,22
"226",2014-07-07,0.046,16
"227",2014-07-22,0.044,12
"228",2014-07-31,0.068,27
"229",2014-07-31,0.046,27
"230",2014-08-06,0.044,16
"231",2014-08-13,0.046,18
"232",2014-08-21,0.03,18
"233",2014-08-28,0.044,16
"234",2014-09-02,0.088,37
"235",2014-09-11,0.036,13
"236",2014-09-18,0.053,33
"237",2014-09-24,0.034,12
"238",2014-10-01,0.04,12
"239",2014-10-09,0.042,20
"240",2014-10-10,0.589,293
"241",2014-10-13,0.246,304
"242",2014-10-23,0.044,34
"243",2014-10-29,0.034,26
"244",2014-11-06,0.03,38
"245",2014-11-13,0.033,31
"246",2014-11-19,0.04,33
"247",2014-12-02,0.03,27
"248",2014-12-11,0.03,24
"249",2014-12-17,0.044,50
"250",2015-01-08,0.028,39
"251",2015-01-15,0.032,28
"252",2015-01-21,0.032,24
"253",2015-01-29,0.022,26
"254",2015-02-04,0.016,25
"255",2015-02-11,0.024,23
"256",2015-02-18,0.022,22
"257",2015-02-25,0.026,41
"258",2015-03-06,0.028,37
"259",2015-03-11,0.024,43
"260",2015-03-14,0.134,180
"261",2015-03-19,0.042,90
"262",2015-03-26,0.138,164
"263",2015-04-01,0.086,75
"264",2015-04-14,0.04,40
"265",2015-04-22,0.042,48
"266",2015-04-29,0.03,38
"267",2015-05-08,0.022,48
"268",2015-05-11,0.082,178
"269",2015-05-24,0.668,930
"270",2015-06-01,0.086,311
"271",2015-06-19,0.23,552
