"","SO4.Date","SO4.Flow","SO4.concentrations.SO4","lnC","lnQ"
"1",2009-07-07,316,11.921,2.47830155073586,5.75574221358691
"2",2009-07-14,260,14.396,2.66695039021678,5.56068163101553
"3",2009-07-21,267,14.883,2.70021962198702,5.58724865840025
"4",2009-07-28,285,14.908,2.70189798161701,5.65248918026865
"5",2009-08-04,217,15.196,2.72103223532538,5.37989735354046
"6",2009-08-11,468,14.354,2.66402864900788,6.14846829591765
"7",2009-08-18,185,15.608,2.74778360332081,5.22035582507832
"8",2009-08-25,193,16.877,2.82595174825435,5.26269018890489
"9",2009-09-01,162,17.787,2.87846785339334,5.08759633523238
"10",2009-09-08,213,15.5395,2.7433851693897,5.36129216570943
"11",2009-09-10,486,15.049,2.71131154380458,6.18620862390049
"12",2009-09-15,257,15.005,2.70838347889233,5.54907608489522
"13",2009-09-22,3160,13.839,2.62749069324379,8.05832730658096
"14",2009-09-29,360,15.773,2.75829961750534,5.88610403145016
"15",2009-10-06,270,16.79,2.82078347108945,5.59842195899838
"16",2009-10-09,18900,4.571,1.51973199934961,9.84691720104773
"17",2009-10-13,2570,11.023,2.39998399898118,7.85166117788927
"18",2009-10-20,768,12.362,2.51462725123708,6.64378973314767
"19",2009-10-27,1010,12.8115,2.55034320507217,6.9177056098353
"20",2009-10-30,9940,9.228,2.22224234031151,9.20432229965062
"21",2009-11-03,1310,10.929,2.39141980669454,7.1777824161952
"22",2009-11-10,662,12.654,2.53797337072469,6.49526555593701
"23",2009-11-17,704,13.638,2.61286001409846,6.55677835615804
"24",2009-11-23,492,14.1,2.64617479738412,6.19847871649231
"25",2009-12-01,410,12.77,2.54709867004445,6.01615715969835
"26",2009-12-08,351,14.68,2.68648602318637,5.86078622346587
"27",2009-12-15,332,15.205,2.72162432112933,5.80513496891649
"28",2009-12-21,289,16.825,2.82286587553079,5.66642668811243
"29",2009-12-29,385,15.108,2.71522440485021,5.95324333428778
"30",2010-01-05,353,14.993,2.70758342551277,5.8664680569333
"31",2010-01-12,292,16.611,2.81006512650894,5.67675380226828
"32",2010-01-19,311,16.784,2.82042605165394,5.73979291217923
"33",2010-01-26,853,15.805,2.76032634566758,6.74875954749168
"34",2010-02-03,1170,17.061,2.83679515699277,7.0647590277918
"35",2010-02-10,1170,13.821,2.62618917462189,7.0647590277918
"36",2010-02-16,777,14.725,2.68954672953765,6.65544035036765
"37",2010-02-23,982,15.994,2.7722136519097,6.88959130835447
"38",2010-03-02,608,14.284,2.6591400297322,6.41017488196617
"39",2010-03-08,513,15.202,2.72142699814385,6.24027584517077
"40",2010-03-16,475,14.814,2.6955726795911,6.16331480403464
"41",2010-03-22,1570,16.175,2.78346684038696,7.35883089834235
"42",2010-03-30,1320,11.997,2.48465661853279,7.18538701558042
"43",2010-04-07,931,11.884,2.47519295760036,6.83625927727707
"44",2010-04-13,621,12.23,2.50389194969908,6.43133108193348
"45",2010-04-20,493,12.334,2.5123596765693,6.20050917404269
"46",2010-04-27,557,13.305,2.58813990442965,6.32256523992728
"47",2010-05-04,418,13.68,2.6159349121944,6.03548143252476
"48",2010-05-11,628,14.842,2.69746099954794,6.4425401664682
"49",2010-05-14,1700,14.965,2.70571414130466,7.43838353004431
"50",2010-05-14,1700,11.925,2.4786370367744,7.43838353004431
"51",2010-05-15,4440,8.223,2.10693510598876,8.39840965542627
"52",2010-05-18,1360,10.68,2.36837283353205,7.2152399787301
"53",2010-05-26,3710,11.06,2.40333499609419,8.21878715560148
"54",2010-06-01,597,12.181,2.49987736071782,6.3919171133926
"55",2010-06-08,613,12.486,2.52460801663955,6.41836493593621
"56",2010-06-15,440,13.183,2.57892812077583,6.08677472691231
"57",2010-06-23,338,13.975,2.63727001904116,5.82304589548302
"58",2010-08-04,273,14.342,2.66319229546038,5.60947179518496
"59",2010-08-09,233,16.527,2.80499540715869,5.4510384535657
"60",2010-08-18,200,16.874,2.82577397574343,5.29831736654804
"61",2010-08-25,171,17.608,2.86835334422416,5.14166355650266
"62",2010-09-02,602,18.377,2.91109988271329,6.40025744530882
"63",2010-09-08,216,15.495,2.74051739123971,5.37527840768417
"64",2010-09-15,946,14.428,2.66917076304129,6.85224256905188
"65",2010-09-23,247,16.171,2.78321951459581,5.50938833662798
"66",2010-09-30,246,16.282,2.79006020315179,5.50533153593236
"67",2010-10-07,202,18.558,2.92090096293099,5.30826769740121
"68",2010-10-13,188,18.877,2.9379442497866,5.23644196282995
"69",2010-10-21,205,18.77,2.93225985059842,5.32300997913841
"70",2010-10-28,210,18.544,2.9201462865974,5.34710753071747
"71",2010-11-03,200,18.066,2.89403171872765,5.29831736654804
"72",2010-11-11,177,20.055,2.99847849922202,5.17614973257383
"73",2010-11-16,177,19.109,2.95015942825923,5.17614973257383
"74",2010-11-29,283,15.936,2.76858070084224,5.64544689764324
"75",2010-12-09,196,19.753,2.98330537854586,5.27811465923052
"76",2010-12-16,183,21.803,3.08204757500591,5.20948615284142
"77",2011-01-06,218,37.033,3.61180940703688,5.38449506278909
"78",2011-01-12,178,20.712,3.03071324244924,5.18178355029209
"79",2011-01-21,177,22.47,3.11218108619724,5.17614973257383
"80",2011-01-26,174,22.118,3.09639175665317,5.15905529921453
"81",2011-02-06,213,22.605,3.11817112074657,5.36129216570943
"82",2011-02-12,275,24.403,3.194706075561,5.61677109766657
"83",2011-02-14,673,25.426,3.23577227252793,6.51174532964473
"84",2011-02-25,753,20.298,3.01052235902663,6.62406522779989
"85",2011-02-28,2180,11.985,2.48365586788635,7.68708015578313
