"","Date","concentrations.TP","Flow"
"197",2013-09-19,0.074,170
"198",2013-09-20,0.17,699
"199",2013-10-03,0.08,208
"200",2013-10-06,0.236,1630
"201",2013-10-21,0.068,216
"202",2013-10-31,0.106,671
"203",2013-11-07,0.06,505
"204",2013-11-14,0.048,253
"205",2013-11-21,0.038,259
"206",2013-12-03,0.03,216
"207",2013-12-13,0.028,233
"208",2013-12-20,0.05,493
"209",2013-12-21,0.254,3200
"210",2014-01-08,0.046,341
"211",2014-01-11,0.304,2380
"212",2014-01-23,0.03,359
"213",2014-01-29,0.038,288
"214",2014-02-07,0.02,261
"215",2014-02-13,0.022,256
"216",2014-02-20,0.02,255
"217",2014-02-26,0.02,215
"218",2014-03-06,0.013,260
"219",2014-03-13,0.28,347
"220",2014-03-17,0.384,5980
"221",2014-03-28,0.056,565
"222",2014-03-29,0.116,1240
"223",2014-04-03,0.062,588
"224",2014-04-04,0.23,1250
"225",2014-04-08,0.128,1270
"226",2014-04-15,0.044,598
"227",2014-04-24,0.03,397
"228",2014-04-29,0.043,376
"229",2014-05-09,0.234,1010
"230",2014-05-13,0.276,1480
"231",2014-05-15,0.092,1000
"232",2014-05-21,0.062,399
"233",2014-05-29,0.066,315
"234",2014-06-03,0.092,514
"235",2014-06-16,0.09,415
"236",2014-07-02,0.076,262
"237",2014-07-07,0.078,200
"238",2014-07-22,0.072,165
"239",2014-07-31,0.09,252
"240",2014-08-06,0.082,166
"241",2014-08-13,0.074,195
"242",2014-08-21,0.082,160
"243",2014-08-28,0.078,134
"244",2014-09-03,0.162,604
"245",2014-09-11,0.08,163
"246",2014-09-18,0.102,324
"247",2014-09-24,0.074,166
"248",2014-10-01,0.068,140
"249",2014-10-09,0.069,141
"250",2014-10-10,0.876,1360
"251",2014-10-13,0.622,3230
"252",2014-10-23,0.08,328
"253",2014-10-29,0.068,264
"254",2014-11-06,0.072,430
"255",2014-11-13,0.05,221
"256",2014-11-19,0.046,199
"257",2014-12-02,0.041,219
"258",2014-12-11,0.044,290
"259",2014-12-17,0.086,568
"260",2015-01-05,0.142,658
