"","Date","concentrations.SRP","Flow"
"197",2013-09-19,0.059,170
"198",2013-09-20,0.066,699
"199",2013-10-03,0.061,208
"200",2013-10-06,0.089,1630
"201",2013-10-21,0.053,216
"202",2013-10-31,0.047,671
"203",2013-11-07,0.058,505
"204",2013-11-14,0.042,253
"205",2013-11-21,0.027,259
"206",2013-12-03,0.019,216
"207",2013-12-13,0.011,233
"208",2013-12-20,0.029,493
"209",2013-12-21,0.121,3200
"210",2014-01-08,0.03,341
"211",2014-01-11,0.126,2380
"212",2014-01-23,0.022,359
"213",2014-01-29,0.011,288
"214",2014-02-07,0.014,261
"215",2014-02-13,0.009,256
"216",2014-02-20,0.0085,255
"217",2014-02-26,0.009,215
"218",2014-03-06,0.01,260
"219",2014-03-13,0.03,347
"220",2014-03-17,0.115,5980
"221",2014-03-28,0.031,565
"222",2014-03-29,0.027,1240
"223",2014-04-03,0.031,588
"224",2014-04-04,0.05,1250
"225",2014-04-08,0.053,1270
"226",2014-04-15,0.029,598
"227",2014-04-24,0.002,397
"228",2014-04-29,0.018,376
"229",2014-05-09,0.066,1010
"230",2014-05-13,0.068,1480
"231",2014-05-15,0.054,1000
"232",2014-05-21,0.027,399
"233",2014-05-29,0.043,315
"234",2014-06-03,0.053,514
"235",2014-06-16,0.047,415
"236",2014-07-02,0.06,262
"237",2014-07-07,0.054,200
"238",2014-07-22,0.044,165
"239",2014-07-31,0.058,252
"240",2014-08-06,0.048,166
"241",2014-08-13,0.053,195
"242",2014-08-21,0.058,160
"243",2014-08-28,0.058,134
"244",2014-09-03,0.078,604
"245",2014-09-11,0.059,163
"246",2014-09-18,0.064,324
"247",2014-09-24,0.053,166
"248",2014-10-01,0.049,140
"249",2014-10-09,0.0435,141
"250",2014-10-10,0.107,1360
"251",2014-10-13,0.175,3230
"252",2014-10-23,0.054,328
"253",2014-10-29,0.044,264
"254",2014-11-06,0.048,430
"255",2014-11-13,0.036,221
"256",2014-11-19,0.024,199
"257",2014-12-02,0.03,219
"258",2014-12-11,0.029,290
"259",2014-12-17,0.05,568
"260",2015-01-05,0.075,658
"261",2015-01-08,0.032,424
"262",2015-01-15,0.022,305
"263",2015-01-21,0.013,265
"264",2015-01-29,0.01,238
"265",2015-02-04,0.012,262
"266",2015-02-11,0.011,230
"267",2015-02-18,0.009,230
"268",2015-02-25,0.009,375
"269",2015-03-05,0.01,815
"270",2015-03-11,0.055,1140
"271",2015-03-14,0.168,4350
"272",2015-03-19,0.043,1330
"273",2015-03-26,0.1225,2560
"274",2015-04-01,0.035,678
"275",2015-04-14,0.022,519
"276",2015-04-22,0.025,486
"277",2015-04-29,0.01,353
"278",2015-05-08,0.047,1790
"279",2015-05-11,0.091,7270
"280",2015-05-17,0.071,2610
"281",2015-05-24,0.198,8380
"282",2015-06-01,0.061,2210
"283",2015-06-20,0.192,6800
