"","Date","concentrations.TN","Flow"
"198",2013-10-21,2.42,216
"199",2013-10-31,2.63,671
"200",2013-11-07,2.48,505
"201",2013-11-14,2.64,253
"202",2013-11-21,2.57,259
"203",2013-12-03,2.54,216
"204",2013-12-13,2.94,233
"205",2013-12-20,3.27,493
"206",2013-12-21,3.13,3200
"207",2014-01-08,3.76,341
"208",2014-01-11,2.74,2380
"209",2014-01-23,3.57,359
"210",2014-01-29,3.55,288
"211",2014-02-07,3.5,261
"212",2014-02-13,3.31,256
"213",2014-02-20,3.095,255
"214",2014-02-26,3.11,215
"215",2014-03-06,3.12,260
"216",2014-03-13,2.6,347
"217",2014-03-17,2.6,5980
"218",2014-03-28,8.39,565
"219",2014-03-29,2.91,1240
"220",2014-04-03,2.79,588
"221",2014-04-04,2.75,1250
"222",2014-04-08,2.18,1270
"223",2014-04-15,2.39,598
"224",2014-04-24,2.29,397
"225",2014-04-29,2.54,376
"226",2014-05-09,2.76,1010
"227",2014-05-13,4.66,1480
"228",2014-05-15,2.27,1000
"229",2014-05-21,2.59,399
"230",2014-05-29,2.7,315
"231",2014-06-03,2.66,514
"232",2014-06-16,2.64,415
"233",2014-07-02,2.17,262
"234",2014-07-07,2.07,200
"235",2014-07-22,2.2,165
"236",2014-07-31,1.9,252
"237",2014-08-06,1.74,166
"238",2014-08-13,1.82,195
"239",2014-08-21,1.7,160
"240",2014-08-28,1.66,134
"241",2014-09-03,1.98,604
"242",2014-09-11,1.69,163
"243",2014-09-18,2.37,324
"244",2014-09-24,1.88,166
"245",2014-10-01,1.98,140
"246",2014-10-09,2.035,141
"247",2014-10-10,2.3,1360
"248",2014-10-13,1.89,3230
"249",2014-10-23,2.96,328
"250",2014-10-29,2.71,264
"251",2014-11-06,2.48,430
"252",2014-11-13,2.55,221
"253",2014-11-19,2.88,199
"254",2014-12-02,2.67,219
"255",2014-12-11,2.65,290
"256",2014-12-17,2.43,568
"257",2015-01-05,2.53,658
"258",2015-01-08,3.07,424
"259",2015-01-15,3.33,305
"260",2015-01-21,2.9,265
"261",2015-01-29,5.94,238
"262",2015-02-04,2.84,262
"263",2015-02-11,2.74,230
"264",2015-02-18,2.69,230
"265",2015-02-25,2.61,375
"266",2015-03-05,2.36,815
"267",2015-03-11,2.4,1140
"268",2015-03-14,2.69,4350
"269",2015-03-19,2.93,1330
"270",2015-03-26,2.86,2560
"271",2015-04-01,3.1,678
"272",2015-04-14,2.67,519
"273",2015-04-22,2.41,486
"274",2015-04-29,5.7,353
"275",2015-05-08,2.71,1790
"276",2015-05-11,1.79,7270
"277",2015-05-17,2.15,2610
"278",2015-05-24,2.8,8380
"279",2015-06-01,2.69,2210
"280",2015-06-20,1.54,6800
