"","TSS.Date","TSS.Flow","TSS.concentrations.TSS","lnC","lnQ"
"1",2009-07-09,78,5.3,1.66770682055808,4.35670882668959
"2",2009-07-15,152,8.2,2.10413415427021,5.02388052084628
"3",2009-07-22,310,10.1,2.31253542384721,5.73657229747919
"4",2009-07-29,97,5.3,1.66770682055808,4.57471097850338
"5",2009-08-05,75,4.9,1.58923520511658,4.31748811353631
"6",2009-08-12,50,8.1,2.09186406167839,3.91202300542815
"7",2009-08-19,41,6.3,1.84054963339749,3.71357206670431
"8",2009-08-26,44,4.9,1.58923520511658,3.78418963391826
"9",2009-09-02,30,4.3,1.45861502269952,3.40119738166216
"10",2009-09-02,30,4.7,1.54756250871601,3.40119738166216
"11",2009-09-09,139,8.7,2.16332302566054,4.93447393313069
"12",2009-09-16,449,17,2.83321334405622,6.10702288774225
"13",2009-09-17,1470,130.8,4.8736694390231,7.29301767977278
"14",2009-09-23,3530,43,3.76120011569356,8.16905314992734
"15",2009-09-30,302,1.8,0.587786664902119,5.71042701737487
"16",2009-10-07,187,2.2,0.78845736036427,5.23110861685459
"17",2009-10-09,24500,783.4,6.66364342123173,10.1064283965328
"18",2009-10-14,4430,51.9,3.94931879017184,8.39615486303918
"19",2009-10-21,687,5,1.6094379124341,6.53233429222235
"20",2009-10-28,808,2.1,0.741937344729377,6.69456205852109
"21",2009-10-30,9400,461.5,6.13448205394291,9.14846496825809
"22",2009-11-04,896,2.9,1.06471073699243,6.79794041297493
"23",2009-11-11,407,1.4,0.336472236621213,6.00881318544259
"24",2009-11-18,560,1.5,0.405465108108164,6.32793678372919
"25",2009-11-24,327,0.5,-0.693147180559945,5.78996017089725
"26",2009-12-02,229,1,0,5.43372200355424
"27",2009-12-02,229,0.7,-0.356674943938732,5.43372200355424
"28",2009-12-09,210,1.1,0.0953101798043249,5.34710753071747
"29",2009-12-16,179,0.9,-0.105360515657826,5.18738580584075
"30",2009-12-22,156,1.8,0.587786664902119,5.04985600724954
