"","Date","concentrations.SO4","Flow"
"1",2009-07-07,18.153,33
"2",2009-07-14,23.538,22
"3",2009-07-21,27.06,38
"4",2009-07-28,23.096,32
"5",2009-08-04,23.558,24
"6",2009-08-11,18.13,52
"7",2009-08-18,18.506,23
"8",2009-08-20,18.226,67
"9",2009-08-25,19.143,24
"10",2009-09-01,18.467,20
"11",2009-09-05,14.081,153
"12",2009-09-08,19.165,36
"13",2009-09-10,21.518,273
"14",2009-09-15,16.292,66
"15",2009-09-22,6.526,2730
"16",2009-09-29,16.237,86
"17",2009-10-06,17.354,62
"18",2009-10-09,6.24,9880
"19",2009-10-13,10.466,1310
"20",2009-10-20,13.81,213
"21",2009-10-27,14.377,604
"22",2009-11-03,13.16,313
"23",2009-11-10,13.882,139
"24",2009-11-17,17.64,183
"25",2009-11-23,15.873,116
"26",2009-12-01,16.636,92
"27",2009-12-08,17.312,69
"28",2009-12-15,18.987,61
"29",2009-12-21,18.428,51
"30",2009-12-29,18.875,117
"31",2010-01-05,19.591,87
"32",2010-01-12,20.303,59
"33",2010-01-19,20.949,64
"34",2010-01-26,17.482,370
"35",2010-02-03,20.345,611
"36",2010-02-10,17.239,426
"37",2010-02-16,17.406,305
"38",2010-02-23,17.708,367
"39",2010-03-02,17.951,211
"40",2010-03-08,18.225,171
"41",2010-03-16,19.204,152
"42",2010-03-22,17.501,892
"43",2010-03-30,14.825,346
"44",2010-04-07,15.412,213
"45",2010-04-13,14.829,113
"46",2010-04-20,15.105,78
"47",2010-04-27,16.831,94
"48",2010-05-04,17.5415,60
"49",2010-05-11,18.102,96
"50",2010-05-14,17.585,1240
"51",2010-05-14,8.847,1240
"52",2010-05-18,13.542,319
"53",2010-05-25,14.057,873
"54",2010-06-01,14.801,107
"55",2010-06-08,13.875,105
"56",2010-06-15,15.253,52
"57",2010-06-23,16.9215,27
"58",2010-08-04,13.163,45
"59",2010-08-09,12.805,35
"60",2010-08-18,13.576,28
"61",2010-08-25,14.381,21
"62",2010-09-02,15.026,58
"63",2010-09-08,19.19,27
"64",2010-09-15,17.254,152
"65",2010-09-23,16.144,27
"66",2010-09-30,20.044,24
