"","Site","Const","Trend_0.5","p_0.5","Span_MSE","Trend_MSE","p_MSE"
"1","Savoy","NO3","-5.41589040494728","1.25653529501599e-06","0.6","-5.45863374661337","1.0577399261586e-06"
"2","Savoy","TN","-2.64562140355196","0.00113898801188738","1","-2.74957901407191","0.000764748442814194"
"3","Savoy","SRP","-7.32841318669131","0.0021580571912384","0.575","-7.39895465056151","0.00200310761421346"
"4","Savoy","TP","-0.800032449888022","0.66866997978568","0.55","-0.838131800762199","0.654388582190701"
"5","Savoy","TSS","-0.789770784770383","0.792395705886471","0.55","-0.787534218638086","0.793333651110608"
"6","Savoy","Cl","1.48217951831953","0.0631679606460927","0.25","1.58543688897339","0.0410287247207818"
"7","Savoy","SO4","3.50080019373422","8.82134630909258e-07","0.35","3.49599374729337","6.54349068752499e-07"
