"","Date","concentrations.TN","Flow"
"199",2013-11-14,4.63,118
"200",2013-11-21,4.2,143
"201",2013-12-03,4.13,88
"202",2013-12-13,4.75,100
"203",2013-12-20,4.51,138
"204",2014-01-08,5.41,112
"205",2014-01-10,3.5,260
"206",2014-01-23,4.586666667,118
"207",2014-01-29,5.67,105
"208",2014-02-06,6.6,95
"209",2014-02-13,6.14,93
"210",2014-02-20,4.19,92
"211",2014-02-26,7.72,84
"212",2014-03-06,5.76,99
"213",2014-03-13,5.2,93
"214",2014-03-16,2.36,598
"215",2014-03-28,4.66,181
"216",2014-04-03,4.44,164
"217",2014-04-08,4.335,167
"218",2014-04-15,3.74,139
"219",2014-04-24,4.615,122
"220",2014-04-29,4.14,118
"221",2014-05-08,5.1,293
"222",2014-05-13,3.04,429
"223",2014-05-15,3.21,214
"224",2014-05-21,3.86,134
"225",2014-05-29,5.54,128
"226",2014-06-03,3.96,176
"227",2014-06-16,3.45,146
"228",2014-07-02,3.34,118
"229",2014-07-07,3.55,94
"230",2014-07-22,3.62,84
"231",2014-07-31,2.86,163
"232",2014-08-06,3.335,89
"233",2014-08-13,3.4,91
"234",2014-08-21,3.14,82
"235",2014-08-28,3.08,73
"236",2014-09-02,2.51,253
"237",2014-09-06,2.86,127
"238",2014-09-11,2.99,108
"239",2014-09-17,3.96,140
"240",2014-09-24,1.7,119
"241",2014-10-01,3.37,104
"242",2014-10-09,3.77,110
"243",2014-10-10,2.58,1500
"244",2014-10-13,1.65,1470
"245",2014-10-23,3.73,132
"246",2014-10-29,3.58,114
"247",2014-11-06,3.39,133
"248",2014-11-13,3.95,104
"249",2014-11-19,4.31,96
"250",2014-12-02,3.92,104
"251",2014-12-11,4.08,114
"252",2014-12-17,3.6,154
"253",2015-01-08,4.54,128
"254",2015-01-15,4.36,115
"255",2015-01-21,3.99,109
"256",2015-01-29,4.28,99
"257",2015-02-04,3.92,106
"258",2015-02-11,3.81,96
"259",2015-02-18,3.87,93
"260",2015-02-25,3.89,123
"261",2015-03-06,3.14,154
"262",2015-03-11,3.07,167
"263",2015-03-14,2.14,434
"264",2015-03-19,3.25,219
"265",2015-03-26,2.13,666
"266",2015-04-01,3.7,197
"267",2015-04-14,3.95,162
"268",2015-04-22,3.935,161
"269",2015-04-29,3.82,146
"270",2015-05-08,2.1,492
"271",2015-05-24,2,1270
"272",2015-06-01,3.43,355
"273",2015-06-19,1.59,3080
