"","Date","concentrations.TP","Flow"
"199",2013-10-30,0.09,235
"200",2013-11-07,0.077,198
"201",2013-11-14,0.06,118
"202",2013-11-21,0.12,143
"203",2013-12-03,0.062,88
"204",2013-12-13,0.06,100
"205",2013-12-20,0.064,138
"206",2014-01-08,0.068,112
"207",2014-01-10,0.154,260
"208",2014-01-23,0.034666667,118
"209",2014-01-29,0.058,105
"210",2014-02-06,0.066,95
"211",2014-02-13,0.064,93
"212",2014-02-20,0.056,92
"213",2014-02-26,0.086,84
"214",2014-03-06,0.078,99
"215",2014-03-13,0.084,93
"216",2014-03-16,0.284,598
"217",2014-03-28,0.076,181
"218",2014-04-03,0.088,164
"219",2014-04-08,0.064,167
"220",2014-04-15,0.064,139
"221",2014-04-24,0.061,122
"222",2014-04-29,0.068,118
"223",2014-05-08,0.413,293
"224",2014-05-13,0.174,429
"225",2014-05-15,0.084,214
"226",2014-05-21,0.076,134
"227",2014-05-29,0.078,128
"228",2014-06-03,0.098,176
"229",2014-06-16,0.09,146
"230",2014-07-02,0.078,118
"231",2014-07-07,0.08,94
"232",2014-07-22,0.082,84
"233",2014-07-31,0.116,163
"234",2014-08-06,0.088,89
"235",2014-08-13,0.156,91
"236",2014-08-21,0.134,82
"237",2014-08-28,0.128,73
"238",2014-09-02,0.342,253
"239",2014-09-06,0.176,127
"240",2014-09-11,0.12,108
"241",2014-09-17,0.149,140
"242",2014-09-24,0.056,119
"243",2014-10-01,0.11,104
"244",2014-10-09,0.146,110
"245",2014-10-10,1.144,1500
"246",2014-10-13,0.79,1470
"247",2014-10-23,0.098,132
"248",2014-10-29,0.088,114
"249",2014-11-06,0.08,133
"250",2014-11-13,0.08,104
"251",2014-11-19,0.078,96
"252",2014-12-02,0.08,104
"253",2014-12-11,0.096,114
"254",2014-12-17,0.096,154
"255",2015-01-08,0.066,128
"256",2015-01-15,0.064,115
"257",2015-01-21,0.064,109
"258",2015-01-29,0.06,99
"259",2015-02-04,0.046,106
"260",2015-02-11,0.057,96
"261",2015-02-18,0.052,93
"262",2015-02-25,0.05,123
"263",2015-03-06,0.05,154
"264",2015-03-11,0.056,167
"265",2015-03-14,0.19,434
"266",2015-03-19,0.084,219
"267",2015-03-26,0.38,666
"268",2015-04-01,0.076,197
"269",2015-04-14,0.066,162
"270",2015-04-22,0.073,161
"271",2015-04-29,0.088,146
"272",2015-05-08,0.346,492
"273",2015-05-24,0.616,1270
"274",2015-06-01,0.08,355
"275",2015-06-19,0.27,3080
