"","NO3test5to30stats.X.5.30.","NO3test5to30stats.NO3test5to30modes","NO3test5to30stats.NO3test5to30stdevs","TNtest5to30stats.X.5.30.","TNtest5to30stats.TNtest5to30modes","TNtest5to30stats.TNtest5to30stdevs","SRPtest5to30stats.X.5.30.","SRPtest5to30stats.SRPtest5to30modes","SRPtest5to30stats.SRPtest5to30stdevs","TPtest5to30stats.X.5.30.","TPtest5to30stats.TPtest5to30modes","TPtest5to30stats.TPtest5to30stdevs","TSStest5to30stats.X.5.30.","TSStest5to30stats.TSStest5to30modes","TSStest5to30stats.TSStest5to30stdevs","Cltest5to30stats.X.5.30.","Cltest5to30stats.Cltest5to30modes","Cltest5to30stats.Cltest5to30stdevs","SO4test5to30stats.X.5.30.","SO4test5to30stats.SO4test5to30modes","SO4test5to30stats.SO4test5to30stdevs"
"1",5,0.9,0.118855082399723,5,0.85,0.161927169317769,5,0.35,0.132864823126702,5,0.6,0.117112365369541,5,0.55,0.0850510051051001,5,0.4,0.140683462904116,5,0.45,0.124789618877501
"2",6,0.9,0.106660820418019,6,0.75,0.142029746812391,6,0.35,0.131490668560044,6,0.6,0.0979431321883119,6,0.5,0.0750578008563251,6,0.55,0.103751075725921,6,0.45,0.0943560343830208
"3",7,0.9,0.0884619138617385,7,0.8,0.140512908841218,7,0.35,0.125779204017458,7,0.55,0.11123151073141,7,0.6,0.070167438229959,7,0.5,0.120581076120457,7,0.45,0.101222123902569
"4",8,0.85,0.0908912784033535,8,0.7,0.144617722683929,8,0.45,0.115422913581281,8,0.55,0.0903564370384629,8,0.6,0.0787724700692845,8,0.55,0.113033316381697,8,0.4,0.0894940426702772
"5",9,0.9,0.095831484749991,9,0.75,0.111689255507942,9,0.5,0.104885749309252,9,0.55,0.0867555797182227,9,0.6,0.067005939426049,9,0.55,0.11858433664679,9,0.45,0.115285802796921
"6",10,0.9,0.0890081399625441,10,0.8,0.156804831245854,10,0.45,0.10032599923474,10,0.55,0.0823196854479225,10,0.55,0.0588668507943901,10,0.4,0.129760375700908,10,0.45,0.0936776932043143
"7",11,0.9,0.0967006742901169,11,0.75,0.138435131792063,11,0.4,0.123308969831137,11,0.55,0.0679210225638752,11,0.55,0.0624744845876282,11,0.4,0.125311855881596,11,0.45,0.0911883003594703
"8",12,0.9,0.0912721876855045,12,0.8,0.117438650940369,12,0.4,0.109213328034669,12,0.55,0.063887656499994,12,0.55,0.0626294577622371,12,0.45,0.120479484238807,12,0.4,0.0777555037752759
"9",13,0.9,0.0755996436661509,13,0.75,0.134407239843875,13,0.4,0.0896478370842128,13,0.55,0.0754645476974697,13,0.55,0.0621387519169473,13,0.5,0.117060075279703,13,0.4,0.114415105324999
"10",14,0.9,0.0960229564388918,14,0.75,0.118769198233294,14,0.5,0.093071181887624,14,0.6,0.0882077788230605,14,0.6,0.0587627537177233,14,0.55,0.105583896422103,14,0.4,0.0760571750563418
"11",15,0.9,0.0646497628513415,15,0.8,0.12717094392821,15,0.4,0.106526800307122,15,0.55,0.079179465488863,15,0.55,0.0551805940452228,15,0.55,0.12215747615104,15,0.45,0.0874876084520149
"12",16,0.9,0.0812906099454674,16,0.75,0.13093463083165,16,0.4,0.0755996436661508,16,0.55,0.0802801218184407,16,0.6,0.0597272713153339,16,0.35,0.120373568188234,16,0.45,0.0896933551562415
