"","Date","concentrations.TP","Flow"
"190",2013-08-21,0.026,8.4
"191",2013-08-29,0.032,5.2
"192",2013-09-05,0.032,5.7
"193",2013-09-12,0.036,4.5
"194",2013-09-19,0.046,4.7
"195",2013-09-25,0.084,7.5
"196",2013-10-03,0.036,7.6
"197",2013-10-21,0.036,2.3
"198",2013-10-30,0.034,3.9
"199",2013-11-07,0.026,12
"200",2013-11-14,0.028,7.9
"201",2013-11-21,0.028,19
"202",2013-12-03,0.02,3.3
"203",2013-12-20,0.038,3.8
"204",2013-12-21,0.24,183
"205",2014-01-08,0.032,1.9
"206",2014-01-10,0.308,70
"207",2014-01-23,0.016,1.2
"208",2014-01-29,0.034,0.7
"209",2014-02-07,0.022,0.95
"210",2014-02-13,0.026,0.79
"211",2014-02-20,0.028,0.76
"212",2014-02-26,0.024,0.42
"213",2014-03-06,0.024,2.1
"214",2014-03-13,0.036,1.7
"215",2014-03-16,0.416,431
"216",2014-03-28,0.048,81
"217",2014-04-03,0.046,40
"218",2014-04-08,0.04,83
"219",2014-04-15,0.036,44
"220",2014-04-24,0.044,24
"221",2014-04-29,0.036,24
"222",2014-05-08,0.056,32
"223",2014-05-12,0.638,87
"224",2014-05-15,0.074,99
"225",2014-05-21,0.052,20
"226",2014-05-29,0.042,13
"227",2014-06-03,0.044,22
"228",2014-06-16,0.038,6.8
"229",2014-06-19,0.042,5.2
"230",2014-07-02,0.044,2.9
"231",2014-07-07,0.045,1.8
"232",2014-07-22,0.034,2.7
"233",2014-07-31,0.044,3
"234",2014-08-06,0.034,1.2
"235",2014-08-13,0.032,1.1
"236",2014-08-21,0.03,0.29
"237",2014-08-28,0.084,0.31
"238",2014-09-03,0.038,3.1
"239",2014-09-11,0.044,0.95
"240",2014-09-18,0.042,1.2
"241",2014-09-24,0.026,0.44
"242",2014-10-01,0.036,0.22
"243",2014-10-09,0.036,0.26
"244",2014-10-10,0.19,24
"245",2014-10-13,0.854,350
"246",2014-10-23,0.056,6.5
"247",2014-10-29,0.05,5.2
"248",2014-11-06,0.046,15
"249",2014-11-13,0.036,5.3
"250",2014-11-19,0.038,4.2
"251",2014-12-03,0.032,6.4
"252",2014-12-11,0.034,18
"253",2014-12-17,0.052,49
"254",2015-01-08,0.032,29
"255",2015-01-15,0.024,19
"256",2015-01-21,0.028,14
"257",2015-01-29,0.022,10
"258",2015-02-04,0.012,12
"259",2015-02-11,0.028,8.6
"260",2015-02-18,0.022,9.4
"261",2015-02-25,0.028,15
"262",2015-03-05,0.062,69
"263",2015-03-11,0.06,74
"264",2015-03-14,0.31,497
"265",2015-03-19,0.073,94
"266",2015-03-26,0.218,203
"267",2015-04-01,0.048,35
"268",2015-04-14,0.074,54
"269",2015-04-22,0.062,31
"270",2015-04-29,0.034,19
"271",2015-05-08,0.21,247
"272",2015-05-11,0.31,765
"273",2015-05-24,0.542,1630
"274",2015-06-01,0.068,121
"275",2015-06-19,0.249,1300
