"","SO4.Date","SO4.Flow","SO4.concentrations.SO4","lnC","lnQ"
"1",2011-07-29,0.14,42.482,3.74908045680469,-1.96611285637283
"2",2011-08-03,0.06,42.952,3.76008321312027,-2.81341071676004
"3",2011-08-10,5.1,13.863,2.62922342055624,1.62924053973028
"4",2011-09-01,2.1,19.595,2.97527443165159,0.741937344729377
"5",2011-09-08,4,42.532,3.75025673378884,1.38629436111989
"6",2011-09-16,2.5,42.51,3.7497393423707,0.916290731874155
"7",2011-09-17,7.8,8.67,2.15986879079245,2.05412373369555
"8",2011-09-22,20,10.618,2.36255067416148,2.99573227355399
"9",2011-09-27,0.33,57.246,4.04735777099776,-1.10866262452161
"10",2011-10-06,0.84,44.161,3.78784204663998,-0.174353387144778
"11",2011-10-12,9.8,49.232,3.89654381857969,2.28238238567653
"12",2011-10-26,3,43.496,3.77266897984362,1.09861228866811
"13",2011-10-27,8.8,10.793,2.37889777584321,2.17475172148416
"14",2011-11-03,2.1,32.473,3.48040897482492,0.741937344729377
"15",2011-11-08,57,21.16,3.0521126069901,4.04305126783455
"16",2011-11-17,1.8,48.159,3.87450803666539,0.587786664902119
"17",2011-12-01,0.96,77.533,4.35070365218107,-0.0408219945202552
"18",2011-12-08,0.92,54.204,3.99275470646047,-0.083381608939051
"19",2011-12-14,21,3.94,1.37118072330984,3.04452243772342
"20",2012-01-05,1.7,51.427,3.94016332637246,0.53062825106217
"21",2012-01-12,1.7,50.946,3.93076624824528,0.53062825106217
"22",2012-01-19,1.3,52.197,3.95502502197269,0.262364264467491
"23",2012-01-25,23,11.412,2.43466543335125,3.13549421592915
"24",2012-02-02,1.5,55.425,4.01503075550237,0.405465108108164
"25",2012-02-09,1.1,53.678,3.98300323414519,0.0953101798043249
"26",2012-02-16,1,47.047,3.85114710204314,0
"27",2012-03-01,0.85,25.138,3.22438064550265,-0.162518929497775
"28",2012-03-08,4.9,13.899,2.63181689510262,1.58923520511658
"29",2012-03-11,3.9,12.691,2.54089308082803,1.3609765531356
"30",2012-03-20,30,24.291,3.19010591137209,3.40119738166216
"31",2012-03-29,1.1,52.126,3.95366386458722,0.0953101798043249
"32",2012-04-12,0.65,44.952,3.8055952538099,-0.430782916092454
"33",2012-04-15,8.5,9.124,2.21090830442214,2.14006616349627
"34",2012-04-26,0.63,47.176,3.8538852886982,-0.462035459596559
"35",2012-04-30,5.4,9.672,2.26923511331249,1.68639895357023
"36",2012-05-10,0.22,43.984,3.78382593142289,-1.51412773262978
"37",2012-05-16,0.23,42.406,3.74728986166036,-1.46967597005894
"38",2012-05-24,0.39,44.132,3.78718514289806,-0.941608539858445
"39",2012-05-31,5,13.468,2.60031650129883,1.6094379124341
"40",2012-06-05,0.54,50.433,3.92064572271903,-0.616186139423817
"41",2012-06-14,0.57,43.845,3.78066068723132,-0.562118918153541
"42",2012-06-21,1.3,26.4,3.27336401015227,0.262364264467491
"43",2012-06-28,0.67,43.779,3.77915425035372,-0.400477566597125
"44",2012-07-12,0.28,49.266,3.89723418795471,-1.27296567581289
"45",2012-07-19,0.4,44.421,3.79371233059469,-0.916290731874155
"46",2012-07-26,6,8.988,2.19589035432308,1.79175946922805
"47",2012-08-02,0.18,48.942,3.8906359235465,-1.71479842809193
"48",2012-08-15,0.03,45.932,3.82716204191394,-3.50655789731998
"49",2012-08-16,13,3.651,1.2950011026735,2.56494935746154
"50",2012-08-20,0.09,53.35,3.97687397774776,-2.40794560865187
"51",2012-08-27,9.4,3.512,1.25618567577287,2.24070968927596
"52",2012-08-29,0.11,60.175,4.09725698366914,-2.20727491318972
"53",2012-09-05,0.19,50.48,3.92157721823296,-1.66073120682165
"54",2012-09-10,0.05,7.639,2.03326670455922,-2.99573227355399
"55",2012-09-25,0.11,53.773,3.98477148245843,-2.20727491318972
"56",2012-10-01,0.2,47.047,3.85114710204314,-1.6094379124341
"57",2012-10-01,0.2,45.872,3.82585490914101,-1.6094379124341
"58",2012-10-12,11,9.254,2.22505589048481,2.39789527279837
"59",2012-10-31,0.37,47.3,3.85651029549789,-0.994252273343867
"60",2012-11-07,0.46,45.441,3.816414781213,-0.776528789498996
"61",2012-11-11,3.2,11.538,2.4456459358347,1.16315080980568
"62",2012-11-14,0.89,48.134,3.87398878811021,-0.116533816255952
"63",2012-11-28,1.9,45.021,3.80712904758196,0.641853886172395
"64",2012-12-05,0.61,59.165,4.08033015083652,-0.49429632181478
"65",2012-12-12,0.96,51.107,3.93392147412926,-0.0408219945202552
"66",2013-01-04,0.77,67.62,4.21390379727974,-0.261364764134408
"67",2013-01-10,1.3,62.636,4.1373401926832,0.262364264467491
"68",2013-01-15,0.74,57.024,4.04347223184834,-0.301105092783922
"69",2013-01-23,0.34,54.495,3.99810895434128,-1.07880966137193
"70",2013-01-29,34,20.248,3.00805602324282,3.52636052461616
"71",2013-02-06,1.1,65.24,4.17807277775281,0.0953101798043249
"72",2013-02-11,1.7,68.268,4.22344113555651,0.53062825106217
"73",2013-02-20,2.4,72.09,4.27791533841649,0.8754687373539
"74",2013-02-27,1.2,66.032,4.19013947301023,0.182321556793955
"75",2013-03-06,0.59,75.295,4.32141373153878,-0.527632742082372
"76",2013-03-09,4.9,20.025,2.99698149295442,1.58923520511658
"77",2013-03-19,0.92,66.437,4.19625413020367,-0.083381608939051
"78",2013-03-29,25,4.428,1.48794801484639,3.2188758248682
"79",2013-04-03,2.7,18.36,2.91017438519234,0.993251773010283
"80",2013-04-10,11,5.05,1.61938824328727,2.39789527279837
"81",2013-04-18,27,6.265,1.83497858834803,3.29583686600433
"82",2013-04-24,1.1,57.131,4.04534687652156,0.0953101798043249
"83",2013-05-03,4.1,41.777,3.7323459488591,1.41098697371026
